_step,ep_info/Goal,seed,method
37910,0,1787866265,Base SO RL
37912,0,1787866265,Base SO RL
38149,0,1787866265,Base SO RL
38190,0,1787866265,Base SO RL
38191,0,1787866265,Base SO RL
38465,0,1787866265,Base SO RL
38549,0,1787866265,Base SO RL
38705,0,1787866265,Base SO RL
38965,0,1787866265,Base SO RL
39055,0,1787866265,Base SO RL
39109,0,1787866265,Base SO RL
39134,0,1787866265,Base SO RL
39255,0,1787866265,Base SO RL
39390,0,1787866265,Base SO RL
39391,0,1787866265,Base SO RL
39512,0,1787866265,Base SO RL
39996,-1,1787866265,Base SO RL
40020,0,1787866265,Base SO RL
40055,0,1787866265,Base SO RL
40255,0,1787866265,Base SO RL
40310,0,1787866265,Base SO RL
40455,0,1787866265,Base SO RL
40475,0,1787866265,Base SO RL
40554,0,1787866265,Base SO RL
40705,0,1787866265,Base SO RL
40796,0,1787866265,Base SO RL
40820,0,1787866265,Base SO RL
40875,0,1787866265,Base SO RL
40966,0,1787866265,Base SO RL
41055,0,1787866265,Base SO RL
41057,0,1787866265,Base SO RL
41105,0,1787866265,Base SO RL
41124,0,1787866265,Base SO RL
41220,0,1787866265,Base SO RL
41505,0,1787866265,Base SO RL
42012,1,1787866265,Base SO RL
42019,0,1787866265,Base SO RL
42412,0,1787866265,Base SO RL
42420,0,1787866265,Base SO RL
42444,0,1787866265,Base SO RL
42533,0,1787866265,Base SO RL
42657,0,1787866265,Base SO RL
42705,0,1787866265,Base SO RL
42819,0,1787866265,Base SO RL
42844,0,1787866265,Base SO RL
42855,0,1787866265,Base SO RL
42888,0,1787866265,Base SO RL
42966,0,1787866265,Base SO RL
43105,0,1787866265,Base SO RL
43212,0,1787866265,Base SO RL
43220,0,1787866265,Base SO RL
43255,0,1787866265,Base SO RL
43333,0,1787866265,Base SO RL
43366,0,1787866265,Base SO RL
43490,0,1787866265,Base SO RL
43510,0,1787866265,Base SO RL
43534,0,1787866265,Base SO RL
43619,0,1787866265,Base SO RL
43688,0,1787866265,Base SO RL
43934,0,1787866265,Base SO RL
44133,0,1787866265,Base SO RL
44257,0,1787866265,Base SO RL
44334,0,1787866265,Base SO RL
44394,0,1787866265,Base SO RL
44475,0,1787866265,Base SO RL
44844,0,1787866265,Base SO RL
44917,1,1787866265,Base SO RL
45090,0,1787866265,Base SO RL
45620,0,1787866265,Base SO RL
45700,0,1787866265,Base SO RL
45733,0,1787866265,Base SO RL
45910,0,1787866265,Base SO RL
46117,0,1787866265,Base SO RL
46334,0,1787866265,Base SO RL
46420,0,1787866265,Base SO RL
46475,0,1787866265,Base SO RL
46503,0,1787866265,Base SO RL
46710,0,1787866265,Base SO RL
46875,0,1787866265,Base SO RL
46903,0,1787866265,Base SO RL
47057,0,1787866265,Base SO RL
47066,0,1787866265,Base SO RL
47303,0,1787866265,Base SO RL
47612,0,1787866265,Base SO RL
47620,0,1787866265,Base SO RL
47655,0,1787866265,Base SO RL
47675,0,1787866265,Base SO RL
47787,0,1787866265,Base SO RL
47980,0,1787866265,Base SO RL
48055,0,1787866265,Base SO RL
48187,0,1787866265,Base SO RL
48257,0,1787866265,Base SO RL
48295,0,1787866265,Base SO RL
48420,0,1787866265,Base SO RL
48500,0,1787866265,Base SO RL
48666,0,1787866265,Base SO RL
48683,1,1787866265,Base SO RL
48917,0,1787866265,Base SO RL
49212,0,1787866265,Base SO RL
49387,0,1787866265,Base SO RL
49619,0,1787866265,Base SO RL
49700,0,1787866265,Base SO RL
49703,0,1787866265,Base SO RL
49883,0,1787866265,Base SO RL
50187,0,1787866265,Base SO RL
50243,0,1787866265,Base SO RL
50266,0,1787866265,Base SO RL
50295,0,1787866265,Base SO RL
50380,0,1787866265,Base SO RL
50419,0,1787866265,Base SO RL
50500,0,1787866265,Base SO RL
50711,0,1787866265,Base SO RL
50819,0,1787866265,Base SO RL
50903,0,1787866265,Base SO RL
50917,0,1787866265,Base SO RL
51050,0,1787866265,Base SO RL
51066,0,1787866265,Base SO RL
51219,0,1787866265,Base SO RL
51255,0,1787866265,Base SO RL
51303,0,1787866265,Base SO RL
51317,0,1787866265,Base SO RL
51483,0,1787866265,Base SO RL
52075,0,1787866265,Base SO RL
52078,1,1787866265,Base SO RL
52088,0,1787866265,Base SO RL
52283,0,1787866265,Base SO RL
52369,0,1787866265,Base SO RL
52419,0,1787866265,Base SO RL
52455,0,1787866265,Base SO RL
52475,0,1787866265,Base SO RL
52500,0,1787866265,Base SO RL
52683,0,1787866265,Base SO RL
52769,0,1787866265,Base SO RL
52903,0,1787866265,Base SO RL
53015,-1,1787866265,Base SO RL
53083,0,1787866265,Base SO RL
53095,0,1787866265,Base SO RL
53678,0,1787866265,Base SO RL
53688,0,1787866265,Base SO RL
53703,0,1787866265,Base SO RL
53911,0,1787866265,Base SO RL
53980,0,1787866265,Base SO RL
54117,0,1787866265,Base SO RL
54155,0,1787866265,Base SO RL
54243,0,1787866265,Base SO RL
54339,0,1787866265,Base SO RL
54369,0,1787866265,Base SO RL
54666,0,1787866265,Base SO RL
54760,0,1787866265,Base SO RL
54819,0,1787866265,Base SO RL
54853,0,1787866265,Base SO RL
54855,0,1787866265,Base SO RL
55018,0,1787866265,Base SO RL
55219,0,1787866265,Base SO RL
55418,0,1787866265,Base SO RL
55425,0,1787866265,Base SO RL
55539,0,1787866265,Base SO RL
55568,-1,1787866265,Base SO RL
55580,0,1787866265,Base SO RL
55653,0,1787866265,Base SO RL
55700,0,1787866265,Base SO RL
55795,0,1787866265,Base SO RL
55818,0,1787866265,Base SO RL
55866,0,1787866265,Base SO RL
56019,0,1787866265,Base SO RL
56339,0,1787866265,Base SO RL
56369,0,1787866265,Base SO RL
56419,0,1787866265,Base SO RL
56455,0,1787866265,Base SO RL
56688,0,1787866265,Base SO RL
56853,0,1787866265,Base SO RL
57025,0,1787866265,Base SO RL
57235,0,1787866265,Base SO RL
57255,0,1787866265,Base SO RL
57488,0,1787866265,Base SO RL
57624,0,1787866265,Base SO RL
57653,0,1787866265,Base SO RL
57689,0,1787866265,Base SO RL
57818,0,1787866265,Base SO RL
58021,0,1787866265,Base SO RL
58024,0,1787866265,Base SO RL
58380,0,1787866265,Base SO RL
58419,0,1787866265,Base SO RL
58435,0,1787866265,Base SO RL
58489,0,1787866265,Base SO RL
58768,0,1787866265,Base SO RL
58772,0,1787866265,Base SO RL
58820,0,1787866265,Base SO RL
58855,0,1787866265,Base SO RL
58891,0,1787866265,Base SO RL
59025,0,1787866265,Base SO RL
59139,0,1787866265,Base SO RL
59220,0,1787866265,Base SO RL
59224,0,1787866265,Base SO RL
59289,0,1787866265,Base SO RL
59539,0,1787866265,Base SO RL
59572,0,1787866265,Base SO RL
59635,0,1787866265,Base SO RL
59817,-1,1787866265,Base SO RL
59880,0,1787866265,Base SO RL
60035,0,1787866265,Base SO RL
60089,0,1787866265,Base SO RL
60091,0,1787866265,Base SO RL
