_step,ep_info/Goal,seed,condition
87350,1,1778554757,nominal
87406,0,1778554757,nominal
87646,0,1778554757,nominal
87795,0,1778554757,nominal
87821,1,1778554757,nominal
87945,1,1778554757,nominal
88195,0,1778554757,nominal
88443,0,1778554757,nominal
88669,1,1778554757,nominal
89489,0,1778554757,nominal
89513,0,1778554757,nominal
89729,0,1778554757,nominal
89806,0,1778554757,nominal
89839,0,1778554757,nominal
89945,0,1778554757,nominal
89988,0,1778554757,nominal
90015,-1,1778554757,nominal
90313,0,1778554757,nominal
90345,0,1778554757,nominal
90347,0,1778554757,nominal
90436,1,1778554757,nominal
90478,1,1778554757,nominal
90745,0,1778554757,nominal
90754,0,1778554757,nominal
90799,0,1778554757,nominal
90831,0,1778554757,nominal
91138,1,1778554757,nominal
91145,0,1778554757,nominal
91350,0,1778554757,nominal
92242,1,1778554757,nominal
92254,1,1778554757,nominal
92590,0,1778554757,nominal
92638,0,1778554757,nominal
92878,0,1778554757,nominal
92973,0,1778554757,nominal
92990,0,1778554757,nominal
93145,0,1778554757,nominal
93438,0,1778554757,nominal
93598,0,1778554757,nominal
94078,0,1778554757,nominal
94203,1,1778554757,nominal
94503,0,1778554757,nominal
94903,0,1778554757,nominal
95003,0,1778554757,nominal
95032,0,1778554757,nominal
95086,1,1778554757,nominal
95097,0,1778554757,nominal
95135,0,1778554757,nominal
95220,0,1778554757,nominal
95445,-1,1778554757,nominal
95869,0,1778554757,nominal
95925,1,1778554757,nominal
96027,1,1778554757,nominal
96038,0,1778554757,nominal
96264,0,1778554757,nominal
96313,0,1778554757,nominal
96451,0,1778554757,nominal
96491,0,1778554757,nominal
96696,0,1778554757,nominal
96783,0,1778554757,nominal
96903,1,1778554757,nominal
97120,0,1778554757,nominal
97158,0,1778554757,nominal
97292,0,1778554757,nominal
97360,1,1778554757,nominal
97391,0,1778554757,nominal
97415,0,1778554757,nominal
97513,0,1778554757,nominal
97583,0,1778554757,nominal
97689,1,1778554757,nominal
97864,0,1778554757,nominal
97913,0,1778554757,nominal
97915,1,1778554757,nominal
98148,0,1778554757,nominal
98150,0,1778554757,nominal
98420,0,1778554757,nominal
98543,0,1778554757,nominal
99294,-1,1778554757,nominal
99300,-1,1778554757,nominal
99348,0,1778554757,nominal
99354,1,1778554757,nominal
99429,0,1778554757,nominal
99657,0,1778554757,nominal
99743,0,1778554757,nominal
99923,1,1778554757,nominal
99958,0,1778554757,nominal
100148,0,1778554757,nominal
100181,0,1778554757,nominal
100624,0,1778554757,nominal
100812,0,1778554757,nominal
100857,0,1778554757,nominal
101021,-1,1778554757,nominal
101137,0,1778554757,nominal
101205,0,1778554757,nominal
101232,0,1778554757,nominal
101289,0,1778554757,nominal
101655,1,1778554757,nominal
101770,0,1778554757,nominal
101938,0,1778554757,nominal
102440,0,1778554757,nominal
102570,0,1778554757,nominal
102808,1,1778554757,nominal
102845,1,1778554757,nominal
102913,0,1778554757,nominal
103138,0,1778554757,nominal
103193,0,1778554757,nominal
103262,1,1778554757,nominal
103443,0,1778554757,nominal
103511,1,1778554757,nominal
103605,0,1778554757,nominal
103661,0,1778554757,nominal
103670,0,1778554757,nominal
103763,1,1778554757,nominal
103773,1,1778554757,nominal
103939,0,1778554757,nominal
104122,0,1778554757,nominal
104207,0,1778554757,nominal
104259,1,1778554757,nominal
104355,0,1778554757,nominal
104447,1,1778554757,nominal
104470,0,1778554757,nominal
104600,0,1778554757,nominal
104858,1,1778554757,nominal
105085,1,1778554757,nominal
105291,0,1778554757,nominal
105371,1,1778554757,nominal
105442,1,1778554757,nominal
105517,0,1778554757,nominal
105686,0,1778554757,nominal
105771,0,1778554757,nominal
105915,0,1778554757,nominal
106127,0,1778554757,nominal
106245,0,1778554757,nominal
106246,0,1778554757,nominal
106292,1,1778554757,nominal
106319,1,1778554757,nominal
106453,0,1778554757,nominal
106622,0,1778554757,nominal
106660,0,1778554757,nominal
106763,1,1778554757,nominal
107151,0,1778554757,nominal
107155,0,1778554757,nominal
107214,0,1778554757,nominal
107963,0,1778554757,nominal
108127,0,1778554757,nominal
108308,1,1778554757,nominal
108361,1,1778554757,nominal
108411,1,1778554757,nominal
108541,1,1778554757,nominal
108735,0,1778554757,nominal
108926,1,1778554757,nominal
108994,1,1778554757,nominal
109177,1,1778554757,nominal
109206,1,1778554757,nominal
109341,0,1778554757,nominal
109539,0,1778554757,nominal
109597,1,1778554757,nominal
109741,0,1778554757,nominal
109888,1,1778554757,nominal
110126,0,1778554757,nominal
110162,0,1778554757,nominal
110427,1,1778554757,nominal
110541,0,1778554757,nominal
110564,1,1778554757,nominal
110590,0,1778554757,nominal
110597,1,1778554757,nominal
110674,1,1778554757,nominal
110738,1,1778554757,nominal
110760,0,1778554757,nominal
110813,0,1778554757,nominal
110862,0,1778554757,nominal
111060,0,1778554757,nominal
111214,0,1778554757,nominal
111338,-1,1778554757,nominal
111364,0,1778554757,nominal
111537,0,1778554757,nominal
111614,0,1778554757,nominal
111738,0,1778554757,nominal
111753,1,1778554757,nominal
111962,1,1778554757,nominal
112096,1,1778554757,nominal
112272,0,1778554757,nominal
112325,1,1778554757,nominal
112334,0,1778554757,nominal
112435,0,1778554757,nominal
112455,1,1778554757,nominal
112822,1,1778554757,nominal
112870,1,1778554757,nominal
112888,0,1778554757,nominal
113243,1,1778554757,nominal
113342,0,1778554757,nominal
113710,1,1778554757,nominal
113826,1,1778554757,nominal
114063,1,1778554757,nominal
114164,0,1778554757,nominal
114390,1,1778554757,nominal
114667,0,1778554757,nominal
114964,0,1778554757,nominal
115031,0,1778554757,nominal
115149,1,1778554757,nominal
115429,1,1778554757,nominal
115764,1,1778554757,nominal
116106,0,1778554757,nominal
116111,0,1778554757,nominal
116143,1,1778554757,nominal
116231,0,1778554757,nominal
116739,0,1778554757,nominal
116782,1,1778554757,nominal
116799,1,1778554757,nominal
116963,0,1778554757,nominal
117011,0,1778554757,nominal
117548,0,1778554757,nominal
117629,1,1778554757,nominal
117656,1,1778554757,nominal
118098,0,1778554757,nominal
118140,0,1778554757,nominal
118303,0,1778554757,nominal
118431,0,1778554757,nominal
118695,0,1778554757,nominal
118697,1,1778554757,nominal
118713,0,1778554757,nominal
119020,0,1778554757,nominal
119025,0,1778554757,nominal
119218,1,1778554757,nominal
119304,1,1778554757,nominal
119814,0,1778554757,nominal
119819,0,1778554757,nominal
119949,0,1778554757,nominal
120046,0,1778554757,nominal
120057,0,1778554757,nominal
120159,0,1778554757,nominal
120833,1,1778554757,nominal
120892,1,1778554757,nominal
121323,0,1778554757,nominal
121573,0,1778554757,nominal
121584,1,1778554757,nominal
121649,0,1778554757,nominal
121856,1,1778554757,nominal
121877,1,1778554757,nominal
122104,0,1778554757,nominal
122164,0,1778554757,nominal
122256,0,1778554757,nominal
122337,0,1778554757,nominal
122607,0,1778554757,nominal
122830,0,1778554757,nominal
122964,0,1778554757,nominal
123342,1,1778554757,nominal
123427,0,1778554757,nominal
123548,0,1778554757,nominal
123632,1,1778554757,nominal
123807,0,1778554757,nominal
124228,1,1778554757,nominal
124341,0,1778554757,nominal
124458,1,1778554757,nominal
124472,1,1778554757,nominal
124610,0,1778554757,nominal
