"Step","env: VSS_TUNED - ep_info/Goal","env: VSS_TUNED - ep_info/Goal__MIN","env: VSS_TUNED - ep_info/Goal__MAX"
"8264","0","0","0"
"8269","-1","-1","-1"
"8271","0","0","0"
"8278","0","0","0"
"8293","0","0","0"
"8297","0","0","0"
"8300","0","0","0"
"8317","0","0","0"
"8319","0","0","0"
"8335","0","0","0"
"8340","0","0","0"
"8359","0","0","0"
"8364","0","0","0"
"8399","0","0","0"
"8412","0","0","0"
"8437","0","0","0"
"8473","0","0","0"
"8489","0","0","0"
"8492","0","0","0"
"8493","0","0","0"
"8511","0","0","0"
"8519","0","0","0"
"8526","0","0","0"
"8527","0","0","0"
"8545","0","0","0"
"8580","0","0","0"
"8592","0","0","0"
"8596","0","0","0"
"8624","0","0","0"
"8632","0","0","0"
"8644","0","0","0"
"8646","0","0","0"
"8662","0","0","0"
"8697","0","0","0"
"8717","0","0","0"
"8728","0","0","0"
"8736","0","0","0"
"8745","0","0","0"
"8759","0","0","0"
"8767","0","0","0"
"8768","0","0","0"
"8775","0","0","0"
"8778","0","0","0"
"8799","0","0","0"
"8809","0","0","0"
"8827","0","0","0"
"8833","0","0","0"
"8844","0","0","0"
"8854","0","0","0"
"8864","0","0","0"
"8865","0","0","0"
"8892","0","0","0"
"8925","0","0","0"
"8934","0","0","0"
"8945","0","0","0"
"8992","0","0","0"
"8996","0","0","0"
"9032","0","0","0"
"9074","0","0","0"
"9101","0","0","0"
"9119","0","0","0"
"9120","-1","-1","-1"
"9168","0","0","0"
"9175","0","0","0"
"9209","0","0","0"
"9227","0","0","0"
"9230","0","0","0"
"9234","0","0","0"
"9254","0","0","0"
"9265","0","0","0"
"9273","0","0","0"
"9293","1","1","1"
"9311","0","0","0"
"9345","0","0","0"
"9353","0","0","0"
"9402","0","0","0"
"9406","0","0","0"
"9441","0","0","0"
"9453","0","0","0"
"9474","0","0","0"
"9500","0","0","0"
"9528","0","0","0"
"9535","0","0","0"
"9545","0","0","0"
"9578","0","0","0"
"9599","0","0","0"
"9601","-1","-1","-1"
"9606","0","0","0"
"9609","0","0","0"
"9627","0","0","0"
"9637","0","0","0"
"9649","0","0","0"
"9664","0","0","0"
"9665","0","0","0"
"9670","0","0","0"
"9674","0","0","0"
"9693","0","0","0"
"9694","0","0","0"
"9711","0","0","0"
"9719","0","0","0"
"9725","0","0","0"
"9727","0","0","0"
"9734","0","0","0"
"9736","0","0","0"
"9771","0","0","0"
"9793","1","1","1"
"9802","0","0","0"
"9806","0","0","0"
"9821","0","0","0"
"9823","-1","-1","-1"
"9838","0","0","0"
"9841","0","0","0"
"9844","0","0","0"
"9847","-1","-1","-1"
"9853","0","0","0"
"9871","0","0","0"
"9874","0","0","0"
"9877","0","0","0"
"9899","0","0","0"
"9914","0","0","0"
"9946","0","0","0"
"9959","0","0","0"
"9962","0","0","0"
"9964","0","0","0"
"9967","0","0","0"
"9968","0","0","0"
"9975","0","0","0"
"9999","0","0","0"
"10006","0","0","0"
"10024","0","0","0"
"10027","0","0","0"
"10030","0","0","0"
"10054","0","0","0"
"10061","0","0","0"
"10079","0","0","0"
"10087","0","0","0"
"10119","0","0","0"
"10126","0","0","0"
"10145","0","0","0"
"10152","0","0","0"
"10153","0","0","0"
"10166","0","0","0"
"10180","0","0","0"
"10192","0","0","0"
"10206","0","0","0"
"10215","0","0","0"
"10221","0","0","0"
