"Step","env: VSS - ep_info/Goal","env: VSS - ep_info/Goal__MIN","env: VSS - ep_info/Goal__MAX"
"12756","0","0","0"
"12787","0","0","0"
"12799","0","0","0"
"12821","0","0","0"
"12828","0","0","0"
"12889","0","0","0"
"12892","0","0","0"
"12895","0","0","0"
"12897","0","0","0"
"12917","0","0","0"
"12923","0","0","0"
"12931","0","0","0"
"12935","0","0","0"
"12938","0.5","0","1"
"12961","0","0","0"
"12963","0","0","0"
"12972","0","0","0"
"12989","-1","-1","-1"
"12993","0","0","0"
"13025","0","0","0"
"13053","0","0","0"
"13067","0","0","0"
"13070","0","0","0"
"13074","0","0","0"
"13078","0","0","0"
"13081","0","0","0"
"13083","0","0","0"
"13129","0","0","0"
"13135","0","0","0"
"13141","0","0","0"
"13146","0","0","0"
"13187","0","0","0"
"13199","0","0","0"
"13228","0","0","0"
"13233","0","0","0"
"13235","0","0","0"
"13269","0","0","0"
"13289","0","0","0"
"13290","0","0","0"
"13292","0","0","0"
"13300","0","0","0"
"13305","0","0","0"
"13307","0","0","0"
"13338","0","0","0"
"13347","0","0","0"
"13358","1","1","1"
"13363","0","0","0"
"13378","0","0","0"
"13389","0","0","0"
"13393","0","0","0"
"13404","0","0","0"
"13425","0","0","0"
"13451","0","0","0"
"13474","0","0","0"
"13481","0","0","0"
"13483","0","0","0"
"13492","0","0","0"
"13535","0","0","0"
"13537","0","0","0"
"13542","0","0","0"
"13544","0","0","0"
"13555","0","0","0"
"13599","0","0","0"
"13617","-1","-1","-1"
"13635","0","0","0"
"13641","0","0","0"
"13656","0","0","0"
"13669","0","0","0"
"13688","0","0","0"
"13692","0","0","0"
"13695","0","0","0"
"13700","0","0","0"
"13705","0","0","0"
"13707","0","0","0"
"13717","0","0","0"
"13731","0","0","0"
"13738","0","0","0"
"13747","0","0","0"
"13750","0","0","0"
"13758","0","0","0"
"13772","0","0","0"
"13853","0","0","0"
"13874","0","0","0"
"13887","0","0","0"
"13892","0","0","0"
"13901","0","0","0"
"13935","0","0","0"
"13944","0","0","0"
"13993","0","0","0"
"13999","0","0","0"
"14015","0","0","0"
"14017","0","0","0"
"14028","0","0","0"
"14035","0","0","0"
"14075","0","0","0"
"14088","0","0","0"
"14090","0","0","0"
"14097","0","0","0"
"14100","0","0","0"
"14117","0","0","0"
"14138","0","0","0"
"14159","0","0","0"
"14161","0","0","0"
"14163","0","0","0"
"14172","0","0","0"
"14178","0","0","0"
"14193","0","0","0"
"14227","0","0","0"
"14270","0","0","0"
"14274","0","0","0"
"14278","0","0","0"
"14301","0","0","0"
"14341","0","0","0"
"14357","0","0","0"
"14399","0","0","0"
"14435","0","0","0"
"14441","0","0","0"
"14471","0","0","0"
"14475","0","0","0"
"14492","0","0","0"
"14495","0","0","0"
"14500","0","0","0"
"14517","0","0","0"
"14531","0","0","0"
"14540","0","0","0"
"14561","0","0","0"
"14578","0","0","0"
"14625","0","0","0"
"14651","0","0","0"
"14674","0","0","0"
"14729","0","0","0"
"14735","0","0","0"
"14741","0","0","0"
"14744","0","0","0"
"14746","0","0","0"
"14759","0","0","0"
"14793","0","0","0"
"14799","0","0","0"
"14815","0","0","0"
"14821","0","0","0"
"14828","0","0","0"
"14833","0","0","0"
"14835","0","0","0"
"14871","0","0","0"
"14875","0","0","0"
"14888","0","0","0"
"14889","0","0","0"
"14890","0","0","0"
"14891","0","0","0"
"14895","0","0","0"
"14900","0","0","0"
"14917","0","0","0"
"14923","0","0","0"
"14931","0","0","0"
"14940","0","0","0"
"14947","0","0","0"
"14963","0","0","0"
"14981","0","0","0"
"14989","-1","-1","-1"
"15037","-1","-1","-1"
"15074","0","0","0"
"15078","0","0","0"
"15121","-1","-1","-1"
"15140","1","1","1"
"15142","0","0","0"
"15159","0","0","0"
"15187","0","0","0"
"15199","0","0","0"
"15221","0","0","0"
"15235","0","0","0"
"15241","0","0","0"
"15271","0","0","0"
"15275","0","0","0"
"15291","0","0","0"
"15292","0","0","0"
"15295","0","0","0"
"15297","0","0","0"
"15305","0","0","0"
"15307","0","0","0"
"15338","0","0","0"
"15347","0","0","0"
"15363","0","0","0"
"15372","0","0","0"
"15393","0","0","0"
"15427","0","0","0"
"15451","0","0","0"
"15467","0","0","0"
"15474","0","0","0"
"15478","0","0","0"
"15483","0","0","0"
"15492","0","0","0"
"15529","0","0","0"
"15535","0","0","0"
"15537","0","0","0"
"15544","0","0","0"
"15546","0","0","0"
"15557","0","0","0"
"15559","0","0","0"
"15599","0","0","0"
"15615","0","0","0"
"15630","0","0","0"
"15641","0","0","0"
"15655","-1","-1","-1"
"15669","0","0","0"
"15688","0","0","0"
"15692","0","0","0"
"15695","0","0","0"
"15697","0","0","0"
"15705","0","0","0"
"15731","0","0","0"
"15750","0","0","0"
"15757","1","1","1"
"15759","0","0","0"
"15772","0","0","0"
"15789","0","0","0"
"15793","0","0","0"
"15825","0","0","0"
"15836","0","0","0"
"15837","0","0","0"
"15851","0","0","0"
"15867","0","0","0"
"15870","0","0","0"
"15874","0","0","0"
"15901","0","0","0"
"15921","0","0","0"
"15935","0","0","0"
"15942","0","0","0"
"15944","0","0","0"
"15946","0","0","0"
"15950","0","0","0"
"15987","0","0","0"
"15999","0","0","0"
"16030","0","0","0"
"16035","0","0","0"
"16055","0","0","0"
"16088","0","0","0"
"16090","0","-1","1"
"16091","0","0","0"
"16105","0","0","0"
"16123","0","0","0"
"16127","0","0","0"
"16138","0","0","0"
"16140","0","0","0"
"16147","0","0","0"
"16150","0","0","0"
"16157","-1","-1","-1"
"16172","0","0","0"
"16204","0","0","0"
"16233","0","0","0"
"16236","0","0","0"
"16237","0","0","0"
"16251","0","0","0"
"16253","0","0","0"
"16335","0","0","0"
"16340","0","0","0"
"16341","0","0","0"
"16342","0","0","0"
"16387","0","0","0"
"16393","0","0","0"
"16399","0","0","0"
"16415","0","0","0"
"16430","0","0","0"
"16435","0","0","0"
"16455","0","0","0"
"16488","0","0","0"
"16489","0","0","0"
"16490","0","0","0"
"16492","0","0","0"
"16500","0","0","0"
"16517","0","0","0"
"16531","0","0","0"
"16540","0","0","0"
"16547","0","0","0"
"16550","0","0","0"
"16563","0","0","0"
"16572","0","0","0"
"16586","0","0","0"
"16593","0","0","0"
"16604","0","0","0"
"16625","0","0","0"
"16627","0","0","0"
"16637","0","0","0"
"16651","0","0","0"
"16653","0","0","0"
"16662","-1","-1","-1"
"16670","0","0","0"
"16674","0","0","0"
"16683","0","0","0"
"16735","0","0","0"
"16740","0","0","0"
"16742","0","0","0"
"16750","0","0","0"
"16759","0","0","0"
"16787","0","0","0"
"16793","0","0","0"
"16799","0","0","0"
"16830","0","0","0"
"16835","0","0","0"
"16875","0","0","0"
"16890","0","0","0"
"16892","0","0","0"
"16895","0","0","0"
"16917","0","0","0"
"16938","0","0","0"
"16950","0","0","0"
"16959","0","0","0"
"16979","0","0","0"
"16989","0","0","0"
"16993","0.5","0","1"
"17027","0","0","0"
"17037","0","0","0"
"17051","0","0","0"
"17062","0","0","0"
"17070","0","0","0"
"17083","0","0","0"
