"Step","env: VSS - ep_info/Move","env: VSS - ep_info/Move__MIN","env: VSS - ep_info/Move__MAX"
"4913","6.841556559319969","6.841556559319969","6.841556559319969"
"4923","-4.175556905090997","-4.175556905090997","-4.175556905090997"
"4928","5.890112017821408","5.890112017821408","5.890112017821408"
"4955","3.9614673921113095","3.9614673921113095","3.9614673921113095"
"4957","-3.158240812359391","-3.158240812359391","-3.158240812359391"
"4963","-4.181913459140841","-4.181913459140841","-4.181913459140841"
"5053","1.0823940173812463","1.0823940173812463","1.0823940173812463"
"5072","-19.53520459910857","-19.53520459910857","-19.53520459910857"
"5100","-3.876623218935026","-8.179662200702396","0.4264157628323434"
"5104","-10.118868974884442","-10.118868974884442","-10.118868974884442"
"5109","-4.000666949025572","-4.000666949025572","-4.000666949025572"
"5117","-0.8590880535181563","-0.8590880535181563","-0.8590880535181563"
"5182","-5.53093834598125","-5.53093834598125","-5.53093834598125"
