"Step","env: ROBUSTNESS_TEST1 - ep_info/Goal","env: ROBUSTNESS_TEST1 - ep_info/Goal__MIN","env: ROBUSTNESS_TEST1 - ep_info/Goal__MAX"
"15527","0","0","0"
"15531","0","0","0"
"15564","0","0","0"
"15568","0","0","0"
"15595","0","0","0"
"15599","0","0","0"
"15645","0","0","0"
"15665","0","0","0"
"15681","0","0","0"
"15683","0","0","0"
"15700","0","0","0"
"15721","0","0","0"
"15727","0","0","0"
"15752","0","0","0"
"15763","0","0","0"
"15792","0","0","0"
"15805","0","0","0"
"15817","0","0","0"
"15855","0","0","0"
"15871","0","0","0"
"15874","0","0","0"
"15875","0","0","0"
"15931","0","0","0"
"15947","0","0","0"
"15976","0","0","0"
"16065","0","0","0"
"16073","0","0","0"
"16083","0","0","0"
"16121","0","0","0"
"16152","0","0","0"
"16157","0","0","0"
"16178","0","0","0"
"16194","0","0","0"
"16232","0","0","0"
"16255","0","0","0"
"16288","0","0","0"
"16301","0","0","0"
"16316","0","0","0"
"16317","0","0","0"
"16338","0","0","0"
"16397","0","0","0"
"16399","0","0","0"
"16404","0","0","0"
"16445","0","0","0"
"16454","0","0","0"
"16500","0","0","0"
"16507","1","1","1"
"16527","0","0","0"
"16592","-0.5","-1","0"
"16605","0","0","0"
"16650","0","0","0"
"16655","0","0","0"
"16667","0","0","0"
"16671","0","0","0"
"16689","0","0","0"
"16716","0","0","0"
"16717","0","0","0"
"16738","0","0","0"
"16799","0","0","0"
"16833","-1","-1","-1"
"16845","0","0","0"
"16900","0","0","0"
"16927","0","0","0"
"16931","0","0","0"
"16952","0","0","0"
"16986","0","0","0"
"16987","0","0","0"
"16992","1","1","1"
"17017","0","0","0"
"17027","0","0","0"
"17028","0","0","0"
"17032","0","0","0"
"17050","0","0","0"
"17094","0","0","0"
"17127","0","0","0"
"17139","0","0","0"
"17146","1","1","1"
"17147","0","0","0"
"17197","0","0","0"
"17278","0","0","0"
"17294","0","0","0"
"17300","0","0","0"
"17349","0","0","0"
"17352","0","0","0"
"17387","0","0","0"
"17392","0","0","0"
"17401","0","0","0"
"17405","0","0","0"
"17474","0","0","0"
"17475","0","0","0"
"17501","0","0","0"
"17516","0","0","0"
"17517","0","0","0"
"17527","0","0","0"
"17547","0","0","0"
"17567","0","0","0"
"17595","0","0","0"
"17597","0","0","0"
"17604","0","0","0"
"17605","-1","-1","-1"
"17633","0","0","0"
"17645","0","0","0"
"17682","0","0","0"
"17700","0","0","0"
"17707","0","0","0"
"17723","0","0","0"
"17731","0","0","0"
"17732","0","0","0"
"17741","0","0","0"
"17752","0","0","0"
"17763","0","0","0"
"17778","0","0","0"
"17786","0","0","0"
"17801","0","0","0"
"17806","0","0","0"
"17814","0","0","0"
"17823","-1","-1","-1"
"17828","0","0","0"
"17832","0","0","0"
"17862","0","0","0"
"17871","0","0","0"
"17894","0","0","0"
"17929","0","0","0"
"17938","0","0","0"
"17971","0","0","0"
"17976","0","0","0"
"17995","0","0","0"
"17999","0","0","0"
"18005","0","0","0"
"18031","0","0","0"
"18085","0","0","0"
"18123","0","0","0"
"18141","0","0","0"
"18149","0","0","0"
"18152","0","0","0"
"18186","0","0","0"
"18187","0","0","0"
"18215","0","0","0"
"18251","0","0","0"
"18255","0","0","0"
"18263","0","0","0"
"18274","0","0","0"
"18307","0","0","0"
"18329","0","0","0"
"18331","0","0","0"
"18338","0","0","0"
"18367","0","0","0"
"18397","0","0","0"
"18399","0","0","0"
"18403","0","0","0"
"18449","0","0","0"
"18465","0","0","0"
"18483","0","0","0"
"18494","0","0","0"
"18527","0","0","0"
"18540","1","1","1"
"18552","0","0","0"
"18583","0","0","0"
"18650","0","0","0"
"18667","0","0","0"
"18675","0","0","0"
"18701","0","0","0"
"18717","0","0","0"
"18745","0","0","0"
"18747","0","0","0"
"18765","-1","-1","-1"
"18799","0","0","0"
"18805","0","0","0"
"18821","0","0","0"
"18865","0","0","0"
"18883","0","0","0"
"18894","0","0","0"
"18907","0","0","0"
"18931","0","0","0"
"18957","0","0","0"
"18963","0","0","0"
"18983","0","0","0"
"18986","0","0","0"
"18992","0","0","0"
"19005","0","0","0"
"19006","0","0","0"
"19023","0","0","0"
"19024","0","0","0"
"19028","0","0","0"
"19032","0","0","0"
"19048","0","0","0"
"19051","0","0","0"
"19074","0","0","0"
"19075","0","0","0"
"19107","0","0","0"
"19129","0","0","0"
"19135","0","0","0"
"19138","0","0","0"
"19146","0","0","0"
"19147","0","0","0"
"19207","-1","-1","-1"
"19233","0","0","0"
"19265","0","0","0"
"19283","0","0","0"
"19299","0","0","0"
"19401","0","0","0"
"19406","0","0","0"
"19423","0","0","0"
"19462","0","0","0"
"19531","0","0","0"
"19538","0","0","0"
"19549","0","0","0"
"19595","0","0","0"
"19603","0","0","0"
"19621","0","0","0"
"19633","0","0","0"
"19653","-1","-1","-1"
"19682","0","0","0"
"19686","0","0","0"
"19738","1","1","1"
"19801","0","0","0"
"19817","0","0","0"
"19830","0","0","0"
"19862","0","0","0"
"19863","0","0","0"
"19871","0","0","0"
"19907","0","0","0"
"19935","0","0","0"
"19938","0","0","0"
"19947","0","0","0"
"19965","0","0","0"
"19999","0","0","0"
"20003","0","0","0"
"20053","0","0","0"
"20065","0","0","0"
"20073","0","0","0"
"20099","0","0","0"
"20149","0","0","0"
"20250","0","0","0"
"20262","0","0","0"
"20274","0","0","0"
"20292","0","0","0"
"20316","0","0","0"
"20338","0","0","0"
"20345","0","0","0"
"20365","0","0","0"
"20376","0","0","0"
"20407","0","0","0"
"20420","0","0","0"
"20421","0","0","0"
"20431","0","0","0"
"20433","0","0","0"
"20445","0","0","0"
"20473","0","0","0"
"20482","0","0","0"
"20483","0","0","0"
"20523","0","0","0"
"20531","0","0","0"
"20538","0","0","0"
"20549","0","0","0"
"20564","0","0","0"
"20579","0","0","0"
"20602","0","0","0"
"20632","0","0","0"
"20662","0","0","0"
"20716","0","0","0"
"20731","0","0","0"
"20735","0","0","0"
"20765","0","0","0"
"20768","0","0","0"
"20773","0","0","0"
"20805","0","0","0"
"20862","0","0","0"
"20895","0","0","0"
"20923","0","0","0"
"21001","0","0","0"
"21030","0","0","0"
"21032","0","0","0"
"21055","0","0","0"
"21071","0","0","0"
"21092","0","0","0"
"21107","0","0","0"
"21167","0","0","0"
"21173","0","0","0"
"21205","0","0","0"
"21243","0","0","0"
"21273","0","0","0"
"21383","0","0","0"
"21402","0","0","0"
"21430","0","0","0"
"21432","0","0","0"
"21451","0","0","0"
"21462","0","0","0"
"21467","0","0","0"
"21535","0","0","0"
"21551","0","0","0"
"21603","0","0","0"
"21653","0","0","0"
"21707","0","0","0"
"21764","0","0","0"
"21792","0","0","0"
"21800","0","0","0"
"21824","0","0","0"
"21843","0","0","0"
"21867","0","0","0"
"21892","0","0","0"
"21916","0","0","0"
"21929","-1","-1","-1"
"21938","0","0","0"
"21967","0","0","0"
"21973","0","0","0"
"21976","0","0","0"
"22020","0","0","0"
"22043","0","0","0"
"22053","0","0","0"
"22078","0","0","0"
"22082","0","0","0"
"22102","-1","-1","-1"
"22131","0","0","0"
"22179","0","0","0"
"22183","0","0","0"
"22201","0","0","0"
"22202","0","0","0"
"22208","0","0","0"
"22230","0","0","0"
"22250","0","0","0"
"22316","0","0","0"
"22329","0","0","0"
"22335","0","0","0"
"22338","0","0","0"
"22361","0","0","0"
"22372","0","0","0"
"22403","0","0","0"
"22495","0","0","0"
"22531","0","0","0"
"22549","0","0","0"
"22563","0","0","0"
"22587","0","0","0"
"22662","0","0","0"
"22667","0","0","0"
"22692","0","0","0"
"22707","0","0","0"
"22745","0","0","0"
"22795","0","0","0"
"22799","0","0","0"
"22835","-1","-1","-1"
"22855","0","0","0"
"22948","-1","-1","-1"
"23012","0","0","0"
"23014","0","0","0"
"23015","0","0","0"
"23017","0","0","0"
"23129","0","0","0"
"23199","0","0","0"
"23220","0","0","0"
"23233","0","0","0"
"23245","0","0","0"
"23265","0","0","0"
"23277","0","0","0"
"23383","0","0","0"
"23414","0","0","0"
"23417","0","0","0"
"23430","0","0","0"
"23451","0","0","0"
"23455","0","0","0"
"23472","0","0","0"
"23474","0","0","0"
"23476","0","0","0"
"23518","0","0","0"
"23547","0","0","0"
"23567","0","0","0"
"23576","0","0","0"
"23599","0","0","0"
"23605","0","0","0"
"23635","0","0","0"
"23662","0","0","0"
"23673","0","0","0"
"23679","0","0","0"
"23683","0","0","0"
"23687","1","1","1"
"23707","0","0","0"
"23773","0","0","0"
"23776","0","0","0"
"23787","0","0","0"
"23808","0","0","0"
"23830","0","0","0"
"23871","0","0","0"
"23929","0","0","0"
"23946","0","0","0"
"23999","0","0","0"
"24024","0","0","0"
"24043","0","0","0"
"24077","0","0","0"
"24087","0","0","0"
"24152","0","0","0"
"24164","0","0","0"
"24200","0","0","0"
"24243","0","0","0"
"24255","0","0","0"
"24262","0","0","0"
"24265","0","0","0"
"24267","0","0","0"
"24316","0","0","0"
"24340","-1","-1","-1"
"24345","0","0","0"
"24435","0","0","0"
"24443","0","0","0"
"24462","0","0","0"
"24465","0","0","0"
"24473","0","0","0"
"24479","0","0","0"
"24579","0","0","0"
"24628","0","0","0"
"24651","0","0","0"
"24655","0","0","0"
"24659","1","1","1"
"24672","0","0","0"
"24729","0","0","0"
