"Step","env: QLUNARLANDER - ep_info/Goal","env: QLUNARLANDER - ep_info/Goal__MIN","env: QLUNARLANDER - ep_info/Goal__MAX"
"1034","-1","-1","-1"
"1035","-1","-1","-1"
"1038","-1","-1","-1"
"1039","-1","-1","-1"
"1040","-1","-1","-1"
"1046","-1","-1","-1"
"1048","-1","-1","-1"
"1057","-1","-1","-1"
"1060","-1","-1","-1"
"1064","-1","-1","-1"
"1067","-1","-1","-1"
"1070","-1","-1","-1"
"1071","-1","-1","-1"
"1077","-1","-1","-1"
"1078","-1","-1","-1"
"1080","-1","-1","-1"
"1081","-1","-1","-1"
"1083","-1","-1","-1"
"1085","-1","-1","-1"
"1087","-1","-1","-1"
"1088","-1","-1","-1"
"1090","-1","-1","-1"
"1092","-1","-1","-1"
"1095","-1","-1","-1"
"1097","-1","-1","-1"
"1102","-1","-1","-1"
"1103","-1","-1","-1"
"1104","-1","-1","-1"
"1106","-1","-1","-1"
"1107","-1","-1","-1"
"1108","-1","-1","-1"
"1110","-1","-1","-1"
"1112","-1","-1","-1"
"1116","-1","-1","-1"
"1125","-1","-1","-1"
"1127","-1","-1","-1"
"1128","-1","-1","-1"
"1133","-1","-1","-1"
"1141","-1","-1","-1"
"1145","-1","-1","-1"
"1147","-1","-1","-1"
"1149","-1","-1","-1"
"1150","-1","-1","-1"
"1153","-1","-1","-1"
"1156","-1","-1","-1"
"1157","-1","-1","-1"
"1158","-1","-1","-1"
"1159","-1","-1","-1"
"1162","-1","-1","-1"
"1163","-1","-1","-1"
"1164","-1","-1","-1"
"1166","-1","-1","-1"
"1168","-1","-1","-1"
"1169","-1","-1","-1"
"1171","-1","-1","-1"
"1174","-1","-1","-1"
"1181","-1","-1","-1"
"1184","-1","-1","-1"
"1185","-1","-1","-1"
"1189","-1","-1","-1"
"1190","-1","-1","-1"
"1193","-1","-1","-1"
"1196","-1","-1","-1"
"1200","-1","-1","-1"
"1203","-1","-1","-1"
"1210","-1","-1","-1"
"1214","-1","-1","-1"
"1215","-1","-1","-1"
"1217","-1","-1","-1"
"1218","-1","-1","-1"
"1223","-1","-1","-1"
"1226","-1","-1","-1"
"1228","-1","-1","-1"
"1229","-1","-1","-1"
"1231","-1","-1","-1"
"1236","-1","-1","-1"
"1238","-1","-1","-1"
"1239","-1","-1","-1"
"1241","-1","-1","-1"
"1243","-1","-1","-1"
"1244","-1","-1","-1"
"1246","-1","-1","-1"
"1249","-1","-1","-1"
"1250","-1","-1","-1"
"1251","-1","-1","-1"
"1255","-1","-1","-1"
"1256","-1","-1","-1"
"1258","-1","-1","-1"
"1260","-1","-1","-1"
"1265","-1","-1","-1"
"1268","-1","-1","-1"
"1270","-1","-1","-1"
"1271","-1","-1","-1"
"1274","-1","-1","-1"
"1276","-1","-1","-1"
"1279","-1","-1","-1"
"1283","-1","-1","-1"
"1287","-1","-1","-1"
"1290","-1","-1","-1"
"1294","-1","-1","-1"
"1296","-1","-1","-1"
"1298","-1","-1","-1"
"1299","-1","-1","-1"
"1302","-1","-1","-1"
"1304","-1","-1","-1"
"1307","-1","-1","-1"
"1309","-1","-1","-1"
"1311","-1","-1","-1"
"1316","-1","-1","-1"
"1319","-1","-1","-1"
"1322","-1","-1","-1"
"1324","-1","-1","-1"
"1325","-1","-1","-1"
"1330","-1","-1","-1"
"1333","-1","-1","-1"
"1334","-1","-1","-1"
"1335","-1","-1","-1"
"1336","-1","-1","-1"
"1341","-1","-1","-1"
"1347","-1","-1","-1"
"1351","-1","-1","-1"
"1354","-1","-1","-1"
"1358","-1","-1","-1"
"1360","-1","-1","-1"
"1366","-1","-1","-1"
"1367","-1","-1","-1"
"1369","-1","-1","-1"
"1371","-1","-1","-1"
"1374","-1","-1","-1"
"1377","-1","-1","-1"
"1379","-1","-1","-1"
"1381","-1","-1","-1"
"1382","-1","-1","-1"
"1383","-1","-1","-1"
"1389","-1","-1","-1"
"1390","-1","-1","-1"
"1391","-1","-1","-1"
"1393","-1","-1","-1"
"1396","-1","-1","-1"
"1397","-1","-1","-1"
"1401","-1","-1","-1"
"1403","-1","-1","-1"
"1404","-1","-1","-1"
"1405","-1","-1","-1"
"1407","-1","-1","-1"
"1409","-1","-1","-1"
"1412","-1","-1","-1"
"1413","-1","-1","-1"
"1414","-1","-1","-1"
"1417","-1","-1","-1"
"1423","-1","-1","-1"
"1424","-1","-1","-1"
"1430","-1","-1","-1"
"1431","-1","-1","-1"
"1434","-1","-1","-1"
"1438","-1","-1","-1"
"1439","-1","-1","-1"
"1440","-1","-1","-1"
"1451","-1","-1","-1"
"1453","-1","-1","-1"
"1455","-1","-1","-1"
"1456","-1","-1","-1"
