"Step","env: QLUNARLANDER - ep_info/Goal","env: QLUNARLANDER - ep_info/Goal__MIN","env: QLUNARLANDER - ep_info/Goal__MAX"
"598","-1","-1","-1"
"599","-1","-1","-1"
"600","-1","-1","-1"
"601","-1","-1","-1"
"602","-1","-1","-1"
"603","-1","-1","-1"
"605","-1","-1","-1"
"606","-1","-1","-1"
"608","-1","-1","-1"
"609","-1","-1","-1"
"611","-1","-1","-1"
"613","-1","-1","-1"
"614","-1","-1","-1"
"615","-1","-1","-1"
"617","-1","-1","-1"
"618","-1","-1","-1"
"620","-1","-1","-1"
"621","-1","-1","-1"
"622","-1","-1","-1"
"623","-1","-1","-1"
"624","-1","-1","-1"
"627","-1","-1","-1"
"629","-1","-1","-1"
"630","-1","-1","-1"
"632","-1","-1","-1"
"634","-1","-1","-1"
"636","-1","-1","-1"
"637","-1","-1","-1"
"638","-1","-1","-1"
"639","-1","-1","-1"
"643","-1","-1","-1"
"644","-1","-1","-1"
"645","-1","-1","-1"
"648","-1","-1","-1"
"650","-1","-1","-1"
"651","-1","-1","-1"
"652","-1","-1","-1"
"654","-1","-1","-1"
"655","-1","-1","-1"
"656","-1","-1","-1"
"657","-1","-1","-1"
"658","-1","-1","-1"
"659","-1","-1","-1"
"661","-1","-1","-1"
"663","-1","-1","-1"
"664","-1","-1","-1"
"667","-1","-1","-1"
"668","-1","-1","-1"
"670","-1","-1","-1"
"671","-1","-1","-1"
"672","-1","-1","-1"
"676","-1","-1","-1"
"677","-1","-1","-1"
"678","-1","-1","-1"
"679","-1","-1","-1"
"680","-1","-1","-1"
"681","-1","-1","-1"
"682","-1","-1","-1"
"684","-1","-1","-1"
"688","-1","-1","-1"
"690","-1","-1","-1"
"692","-1","-1","-1"
"693","-1","-1","-1"
"694","-1","-1","-1"
"695","-1","-1","-1"
"696","-1","-1","-1"
"698","-1","-1","-1"
"699","-1","-1","-1"
"701","-1","-1","-1"
"702","-1","-1","-1"
"707","-1","-1","-1"
"708","-1","-1","-1"
"709","-1","-1","-1"
"711","-1","-1","-1"
"714","-1","-1","-1"
"717","-1","-1","-1"
"718","-1","-1","-1"
"720","-1","-1","-1"
"721","-1","-1","-1"
"722","-1","-1","-1"
"725","-1","-1","-1"
"726","-1","-1","-1"
"727","-1","-1","-1"
"728","-1","-1","-1"
"729","-1","-1","-1"
"731","-1","-1","-1"
"734","-1","-1","-1"
"735","-1","-1","-1"
"737","-1","-1","-1"
"738","-1","-1","-1"
"741","-1","-1","-1"
"742","-1","-1","-1"
"743","-1","-1","-1"
"744","-1","-1","-1"
"745","-1","-1","-1"
"746","-1","-1","-1"
"748","-1","-1","-1"
