"Step","env: QLUNARLANDER - ep_info/Power_angular","env: QLUNARLANDER - ep_info/Power_angular__MIN","env: QLUNARLANDER - ep_info/Power_angular__MAX"
"1070","-66","-66","-66"
"1071","-60","-60","-60"
"1077","-47","-47","-47"
"1078","-86","-86","-86"
"1080","-66","-66","-66"
"1081","-82","-82","-82"
"1083","-93","-93","-93"
"1085","-71","-71","-71"
"1087","-58","-58","-58"
"1088","-79","-79","-79"
"1090","-52","-52","-52"
"1092","-55","-55","-55"
"1095","-64","-64","-64"
"1097","-83","-83","-83"
"1102","-61","-61","-61"
"1103","-65","-65","-65"
"1104","-86","-86","-86"
"1106","-63","-63","-63"
"1107","-79","-79","-79"
"1108","-58","-58","-58"
"1110","-69","-69","-69"
"1112","-60","-60","-60"
"1116","-52","-52","-52"
"1125","-59","-59","-59"
"1127","-55","-55","-55"
"1128","-60","-60","-60"
"1133","-74","-74","-74"
"1141","-62.5","-64","-61"
"1145","-51","-51","-51"
"1147","-63","-63","-63"
"1149","-75","-75","-75"
"1150","-59","-59","-59"
"1153","-71","-71","-71"
"1156","-50","-50","-50"
"1157","-65","-65","-65"
"1158","-76","-76","-76"
"1159","-76","-76","-76"
"1162","-55","-55","-55"
"1163","-55","-55","-55"
"1164","-82","-82","-82"
"1166","-80","-80","-80"
"1168","-79","-79","-79"
"1169","-55","-55","-55"
"1171","-82","-82","-82"
"1174","-64","-64","-64"
"1181","-50","-50","-50"
"1184","-79","-79","-79"
"1185","-56","-56","-56"
"1189","-82","-82","-82"
"1190","-78","-78","-78"
"1193","-80","-80","-80"
"1196","-49","-49","-49"
"1200","-51","-51","-51"
"1203","-66","-66","-66"
"1210","-51","-51","-51"
"1214","-72","-72","-72"
"1215","-51","-51","-51"
"1217","-63","-63","-63"
"1218","-69","-69","-69"
"1223","-71","-71","-71"
"1226","-72","-72","-72"
"1228","-69","-69","-69"
"1229","-53","-53","-53"
"1231","-58","-58","-58"
"1236","-65","-65","-65"
"1238","-71","-71","-71"
"1239","-57","-57","-57"
"1241","-54","-54","-54"
"1243","-84","-84","-84"
"1244","-76","-76","-76"
"1246","-84","-84","-84"
"1249","-53","-53","-53"
"1250","-80","-80","-80"
"1251","-79","-79","-79"
"1255","-50","-50","-50"
"1256","-55","-55","-55"
"1258","-72","-72","-72"
"1260","-58","-58","-58"
"1265","-81","-81","-81"
"1268","-54","-54","-54"
"1270","-78","-78","-78"
"1271","-54","-54","-54"
"1274","-75","-75","-75"
"1276","-57","-57","-57"
"1279","-59","-59","-59"
"1283","-93","-93","-93"
"1287","-83","-83","-83"
"1290","-57.5","-60","-55"
"1294","-76","-76","-76"
"1296","-57","-57","-57"
"1298","-66","-66","-66"
"1299","-68","-68","-68"
"1302","-54","-54","-54"
"1304","-52","-52","-52"
"1307","-73","-73","-73"
"1309","-63","-63","-63"
"1311","-59","-59","-59"
"1316","-61","-61","-61"
"1319","-58","-58","-58"
"1322","-78.5","-81","-76"
"1324","-56","-56","-56"
"1325","-53","-53","-53"
"1330","-72","-72","-72"
"1333","-80","-80","-80"
"1334","-61","-61","-61"
"1335","-64","-64","-64"
"1336","-79","-79","-79"
"1341","-61","-61","-61"
"1347","-71","-71","-71"
"1351","-50","-50","-50"
"1354","-71.5","-73","-70"
"1358","-65","-65","-65"
"1360","-63","-63","-63"
"1366","-89","-89","-89"
"1367","-67.5","-78","-57"
"1369","-59","-59","-59"
"1371","-68","-68","-68"
"1374","-54","-54","-54"
"1377","-59","-59","-59"
"1379","-84","-84","-84"
"1381","-78","-78","-78"
"1382","-57","-57","-57"
"1383","-76","-76","-76"
"1389","-98","-98","-98"
"1390","-65","-65","-65"
"1391","-75","-79","-71"
"1393","-82","-82","-82"
"1396","-73","-73","-73"
"1397","-71","-71","-71"
"1401","-88","-88","-88"
"1403","-65","-65","-65"
"1404","-53","-53","-53"
"1405","-74","-74","-74"
"1407","-68","-68","-68"
"1409","-62","-62","-62"
"1412","-76","-76","-76"
"1413","-52","-52","-52"
"1414","-52","-52","-52"
"1417","-80","-80","-80"
"1423","-50","-50","-50"
"1424","-56","-56","-56"
"1430","-74","-74","-74"
"1431","-71","-71","-71"
"1434","-59","-59","-59"
"1438","-70","-70","-70"
"1439","-56","-56","-56"
"1440","-57","-57","-57"
"1451","-66","-66","-66"
"1453","-66","-66","-66"
"1455","-74","-74","-74"
"1456","-58","-58","-58"
"1457","-60","-60","-60"
"1461","-66","-66","-66"
"1464","-70","-70","-70"
"1465","-73","-73","-73"
"1466","-62","-62","-62"
"1467","-79","-79","-79"
"1468","-52","-52","-52"
"1469","-71","-75","-67"
"1470","-61","-61","-61"
"1474","-69","-69","-69"
"1475","-56","-56","-56"
"1477","-65","-65","-65"
"1479","-80","-80","-80"
"1487","-55","-55","-55"
"1489","-76","-76","-76"
"1492","-67","-67","-67"
"1501","-67","-67","-67"
"1507","-45","-45","-45"
"1508","-79","-79","-79"
"1513","-86","-86","-86"
"1516","-75","-75","-75"
"1519","-55","-55","-55"
"1520","-50","-50","-50"
"1521","-83","-83","-83"
"1522","-63","-63","-63"
"1523","-50","-50","-50"
"1526","-68","-68","-68"
"1527","-57","-57","-57"
"1528","-83","-83","-83"
"1529","-70","-70","-70"
"1534","-80","-80","-80"
"1535","-77","-77","-77"
"1538","-70","-70","-70"
"1543","-53","-53","-53"
"1545","-77.5","-86","-69"
"1552","-57","-57","-57"
"1553","-73","-73","-73"
"1555","-75","-75","-75"
"1556","-51","-51","-51"
"1557","-87","-89","-85"
"1558","-72","-76","-68"
"1568","-77","-77","-77"
"1569","-60","-60","-60"
"1571","-89","-89","-89"
"1577","-48","-48","-48"
"1578","-54","-54","-54"
"1582","-55","-55","-55"
"1584","-56","-60","-52"
"1586","-57","-57","-57"
"1591","-117","-117","-117"
"1595","-73","-73","-73"
"1599","-77","-77","-77"
"1600","-82","-82","-82"
"1603","-55","-55","-55"
