"Step","env: QLUNARLANDER - ep_info/Power_angular","env: QLUNARLANDER - ep_info/Power_angular__MIN","env: QLUNARLANDER - ep_info/Power_angular__MAX"
"542","-29","-55","-3"
"544","-49","-49","-49"
"545","-1","-1","-1"
"547","-47","-76","-4"
"548","-2","-2","-2"
"549","-25","-46","-4"
"550","-48","-48","-48"
"551","-39","-75","-3"
"552","-55","-55","-55"
"553","-57","-57","-57"
"554","-59","-59","-59"
"558","-26","-49","-3"
"560","-52","-52","-52"
"562","-25.5","-49","-2"
"565","-18.333333333333332","-53","0"
"566","-38.666666666666664","-60","-1"
"567","-46","-46","-46"
"571","-68","-68","-68"
"572","-47","-47","-47"
"575","-49","-52","-46"
"577","-74.5","-76","-73"
"578","-3","-3","-3"
"580","-2","-2","-2"
"581","-76","-76","-76"
"585","-77","-77","-77"
"588","-82","-82","-82"
"589","-47","-47","-47"
"590","-3","-3","-3"
"591","-35.5","-70","-1"
"592","-54","-59","-49"
"593","-55","-55","-55"
"595","-58","-58","-58"
"596","-2","-2","-2"
"598","-59","-59","-59"
"599","-48","-48","-48"
"600","-1","-1","-1"
"601","-76","-76","-76"
"602","-50","-50","-50"
"603","-19","-49","-1"
"605","-50","-50","-50"
"606","-70","-70","-70"
"608","-77","-77","-77"
"609","0","0","0"
"611","-60.5","-73","-48"
"613","-38.5","-75","-2"
"614","-66","-66","-66"
"615","-2","-2","-2"
"617","-25","-49","-1"
"618","-62","-62","-62"
"620","-51","-53","-49"
"621","-56","-56","-56"
"622","-1","-1","-1"
"623","-49","-49","-49"
"624","-54","-61","-47"
"627","-7","-7","-7"
"629","-74","-74","-74"
"630","-66","-66","-66"
"632","-1","-1","-1"
"634","-78","-78","-78"
"636","-4","-4","-4"
"637","-58","-58","-58"
"638","-63.5","-82","-45"
"639","-53","-53","-53"
"643","-49.5","-50","-49"
"644","-5","-5","-5"
"645","-60.5","-72","-49"
"648","-50","-50","-50"
"650","-70","-70","-70"
"651","-6","-6","-6"
"652","-4.5","-5","-4"
"654","-51","-51","-51"
"655","-79","-79","-79"
"656","-71","-71","-71"
"657","-55","-55","-55"
"658","-36","-58","-4"
"659","-58.5","-70","-47"
"661","-7","-7","-7"
"663","-83","-83","-83"
"664","-40.666666666666664","-71","-5"
"667","-27.5","-46","-9"
"668","-1","-1","-1"
"670","-63","-63","-63"
"671","-55","-55","-55"
"672","-46","-46","-46"
"676","-4","-4","-4"
"677","-48","-70","-3"
"678","-44.666666666666664","-82","-3"
"679","-27.5","-54","-1"
"680","-1","-1","-1"
"681","-54","-54","-54"
"682","-60","-60","-60"
"684","-52","-52","-52"
"688","-44.666666666666664","-69","-3"
"690","-58","-58","-58"
"692","-52","-55","-49"
"693","-6","-6","-6"
"694","-30","-55","-5"
"695","-52","-52","-52"
"696","-50","-50","-50"
"698","-26","-70","-3"
"699","-52","-52","-52"
"701","-68","-77","-59"
"702","-53","-53","-53"
"707","-27","-49","-5"
"708","-53.5","-59","-48"
"709","-49","-49","-49"
