"Step","env: QLUNARLANDER - ep_info/Goal","env: QLUNARLANDER - ep_info/Goal__MIN","env: QLUNARLANDER - ep_info/Goal__MAX"
"911","-1","-1","-1"
"914","-1","-1","-1"
"915","-1","-1","-1"
"919","-1","-1","-1"
"921","-1","-1","-1"
"922","-1","-1","-1"
"923","-1","-1","-1"
"925","-1","-1","-1"
"930","-1","-1","-1"
"932","-1","-1","-1"
"933","-1","-1","-1"
"934","-1","-1","-1"
"936","-1","-1","-1"
"937","-1","-1","-1"
"939","-1","-1","-1"
"940","-1","-1","-1"
"943","-1","-1","-1"
"945","-1","-1","-1"
"947","-1","-1","-1"
"948","-1","-1","-1"
"949","-1","-1","-1"
"950","-1","-1","-1"
"958","-1","-1","-1"
"959","-1","-1","-1"
"960","-1","-1","-1"
"963","-1","-1","-1"
"964","-1","-1","-1"
"966","-1","-1","-1"
"967","-1","-1","-1"
"968","-1","-1","-1"
"970","-1","-1","-1"
"971","-1","-1","-1"
"973","-1","-1","-1"
"976","-1","-1","-1"
"980","-1","-1","-1"
"981","-1","-1","-1"
"982","-1","-1","-1"
"984","-1","-1","-1"
"986","-1","-1","-1"
"987","-1","-1","-1"
"988","-1","-1","-1"
"991","-1","-1","-1"
"993","-1","-1","-1"
"996","-1","-1","-1"
"997","-1","-1","-1"
"999","-1","-1","-1"
"1001","-1","-1","-1"
"1009","-1","-1","-1"
"1010","-1","-1","-1"
"1012","-1","-1","-1"
"1015","-1","-1","-1"
"1017","-1","-1","-1"
"1018","-1","-1","-1"
"1019","-1","-1","-1"
"1024","-1","-1","-1"
"1025","-1","-1","-1"
"1027","-1","-1","-1"
"1028","-1","-1","-1"
"1029","-1","-1","-1"
"1030","-1","-1","-1"
"1031","-1","-1","-1"
"1033","-1","-1","-1"
"1035","-1","-1","-1"
"1036","-1","-1","-1"
"1037","-1","-1","-1"
"1039","-1","-1","-1"
"1040","-1","-1","-1"
"1041","-1","-1","-1"
"1044","-1","-1","-1"
"1046","-1","-1","-1"
"1048","-1","-1","-1"
"1053","-1","-1","-1"
"1056","-1","-1","-1"
"1057","-1","-1","-1"
"1058","-1","-1","-1"
"1060","-1","-1","-1"
"1062","-1","-1","-1"
"1066","-1","-1","-1"
"1067","-1","-1","-1"
"1068","-1","-1","-1"
"1069","-1","-1","-1"
"1072","-1","-1","-1"
"1073","-1","-1","-1"
"1075","-1","-1","-1"
"1077","-1","-1","-1"
"1078","-1","-1","-1"
"1079","-1","-1","-1"
"1083","-1","-1","-1"
"1084","-1","-1","-1"
"1085","-1","-1","-1"
"1087","-1","-1","-1"
"1088","-1","-1","-1"
"1089","-1","-1","-1"
"1090","-1","-1","-1"
"1093","-1","-1","-1"
"1096","-1","-1","-1"
"1098","-1","-1","-1"
"1102","-1","-1","-1"
"1103","-1","-1","-1"
"1106","-1","-1","-1"
"1107","-1","-1","-1"
"1109","-1","-1","-1"
"1110","-1","-1","-1"
"1111","-1","-1","-1"
"1112","-1","-1","-1"
"1119","-1","-1","-1"
"1120","-1","-1","-1"
"1121","-1","-1","-1"
"1123","-1","-1","-1"
"1124","-1","-1","-1"
"1126","-1","-1","-1"
"1130","-1","-1","-1"
"1131","-1","-1","-1"
"1132","-1","-1","-1"
"1133","-1","-1","-1"
"1136","-1","-1","-1"
"1137","-1","-1","-1"
