"Step","env: QLUNARLANDER - ep_info/Power_angular","env: QLUNARLANDER - ep_info/Power_angular__MIN","env: QLUNARLANDER - ep_info/Power_angular__MAX"
"538","-27","-27","-27"
"539","-19.333333333333332","-53","-1"
"541","-49","-49","-49"
"542","-25","-25","-25"
"544","-41","-74","-8"
"546","-62","-62","-62"
"549","-28","-56","0"
"550","-41","-78","-4"
"551","-1","-1","-1"
"552","-2","-2","-2"
"553","-1","-1","-1"
"554","-50","-50","-50"
"555","-10","-19","-1"
"556","-29","-29","-29"
"557","-19","-19","-19"
"559","-20.333333333333332","-54","-3"
"560","-52","-52","-52"
"561","-13","-13","-13"
"563","-1","-1","-1"
"564","-34","-34","-34"
"565","-47","-73","-21"
"567","-36","-36","-36"
"568","-30","-58","-2"
"569","-52","-70","-34"
"570","-4","-4","-4"
"571","-4","-4","-4"
"572","-2","-2","-2"
"574","-53","-53","-53"
"575","-21","-42","0"
"578","-3.5","-7","0"
"580","-9","-14","-4"
"582","-3","-3","-3"
"584","0","0","0"
"585","-76","-76","-76"
"586","-15","-28","-2"
"587","-1","-1","-1"
"589","-2","-2","-2"
"591","-28.5","-57","0"
"592","-61","-61","-61"
"593","-28.5","-53","-4"
"594","-32.666666666666664","-76","0"
"595","-35","-35","-35"
"597","-28","-28","-28"
"598","0","0","0"
"600","-35.5","-69","-2"
"601","-72","-72","-72"
"602","-42","-52","-32"
"603","-1","-1","-1"
"604","-53","-53","-53"
"605","-29","-29","-29"
"607","-39.5","-77","-2"
"608","-77","-77","-77"
"610","-1","-1","-1"
"612","-35","-51","-5"
"613","-58","-62","-54"
"615","-59","-59","-59"
"617","-27","-52","-2"
"618","-19.5","-36","-3"
"620","-30","-59","-1"
"622","-28.5","-53","-4"
"624","-77","-77","-77"
"626","0","0","0"
"628","-2","-2","-2"
"631","-3","-3","-3"
"632","-1","-1","-1"
"633","-26","-26","-26"
"636","-27.5","-47","-8"
"637","-1","-1","-1"
"638","-3","-5","-1"
"640","-47","-72","-30"
"642","-44.5","-71","-18"
"643","-6","-6","-6"
"644","-5","-5","-5"
"645","-22","-22","-22"
"646","-29.5","-52","-7"
"647","-12.5","-22","-3"
"648","-15.5","-22","-9"
"649","-3.5","-6","-1"
"650","-42.666666666666664","-74","-5"
"652","-5","-5","-5"
"653","-66","-66","-66"
"655","-2","-2","-2"
"657","-21","-21","-21"
"658","-38","-38","-38"
"659","-45","-45","-45"
"660","-19","-31","-7"
"661","-7","-7","-7"
"662","-31","-31","-31"
"663","-39.5","-53","-26"
"664","-27.5","-49","-6"
"665","-42","-70","0"
"666","-58","-58","-58"
"667","-56","-56","-56"
"668","-1","-1","-1"
"669","-28","-51","-5"
"670","-74","-74","-74"
"672","-62.5","-70","-55"
"673","-41","-79","-3"
"675","-82","-82","-82"
"676","-27.333333333333332","-50","-2"
"678","-30","-30","-30"
"679","-41","-41","-41"
"681","0","0","0"
"683","-79","-79","-79"
"685","-33","-33","-33"
"686","-51","-51","-51"
"687","-39.5","-77","-2"
"688","-60","-60","-60"
"689","-37","-66","-7"
"692","-76","-76","-76"
"694","-3","-3","-3"
"697","-35","-35","-35"
"699","-35","-35","-35"
"700","-48","-48","-48"
"702","-57","-57","-57"
"703","-26","-26","-26"
"705","-78","-78","-78"
"706","-21.666666666666668","-61","0"
"707","-51","-51","-51"
"708","-38","-66","-10"
"709","-14","-14","-14"
"710","-30","-58","-2"
"713","-46","-46","-46"
"715","-20","-40","0"
"718","-29","-52","-6"
"720","-40.5","-52","-29"
"722","-47","-48","-46"
"723","-46","-46","-46"
"726","-27","-47","-5"
"727","-12","-27","-2"
"730","-31.5","-61","-2"
"732","-8","-8","-8"
"733","-41.5","-81","-2"
"734","-35","-67","-3"
"735","-2","-2","-2"
"738","-13.5","-26","-1"
"739","-33","-49","-2"
"741","-49","-49","-49"
"742","-2","-2","-2"
"743","-27.333333333333332","-48","-6"
"745","-53.333333333333336","-70","-41"
"746","0","0","0"
"747","-37.666666666666664","-73","-1"
"748","-8","-8","-8"
"750","-63","-63","-63"
"751","-36.5","-42","-31"
"752","-26","-26","-26"
"754","-12","-21","-3"
"755","-1.5","-3","0"
"756","-32","-32","-32"
"757","-20","-39","-1"
"758","-12","-12","-12"
"759","-58","-58","-58"
"760","-29","-29","-29"
"761","0","0","0"
"762","0","0","0"
"763","-35.5","-55","-16"
"764","-7","-7","-7"
"767","-57","-57","-57"
"770","-2","-2","-2"
"771","-10","-10","-10"
"772","-6","-10","-2"
"773","-30","-30","-30"
"774","-43","-43","-43"
"775","-1","-1","-1"
"776","-1","-2","0"
"777","-3","-3","-3"
"778","-1","-1","-1"
"779","-31","-31","-31"
"780","-18.5","-28","-9"
"783","-2","-2","-2"
"784","-75","-75","-75"
"785","-46.5","-53","-40"
"787","-51","-51","-51"
"788","-4","-4","-4"
"790","-66","-66","-66"
"791","-1","-1","-1"
"792","-6.5","-7","-6"
"793","-8.5","-13","-4"
"794","-37","-68","-6"
"795","0","0","0"
"797","-51","-51","-51"
"798","-29.5","-51","-8"
"799","-44","-86","-2"
"801","-39","-77","-1"
"802","-50","-50","-50"
"803","-31","-31","-31"
"804","-79","-79","-79"
"805","-2","-2","-2"
"806","-56","-56","-56"
"807","-39.333333333333336","-63","0"
"808","-3","-3","-3"
"809","-62","-62","-62"
"810","-1","-1","-1"
"811","-1.5","-2","-1"
"812","-33","-70","-3"
"814","-6.5","-10","-3"
"817","-69","-69","-69"
"819","-71","-71","-71"
"820","-33.5","-65","-2"
"824","-16.5","-29","-4"
"826","-70","-70","-70"
"827","-1","-1","-1"
"830","-4","-4","-4"
"831","-44.5","-86","-3"
"832","-12","-12","-12"
"833","-50","-61","-41"
"834","-24","-24","-24"
"835","-2","-2","-2"
"836","-34.666666666666664","-58","-4"
"837","-12.5","-25","0"
"838","-56.5","-70","-43"
"839","-105","-105","-105"
"842","-25","-25","-25"
"843","-3","-3","-3"
"844","-2","-2","-2"
"845","-13","-13","-13"
"846","-29","-29","-29"
"847","-3","-3","-3"
"848","-61","-61","-61"
"849","-18.333333333333332","-49","-2"
"851","-51","-51","-51"
"852","-31","-57","-5"
"853","-43.5","-58","-29"
"854","-32","-32","-32"
"855","-39","-39","-39"
"856","-19","-33","-5"
"858","-15","-15","-15"
"860","-55","-55","-55"
"861","-18.5","-34","-3"
"862","-42","-42","-42"
"863","-24.333333333333332","-61","-3"
"864","-39.5","-51","-28"
"866","-39","-52","-26"
"868","-2","-2","-2"
"869","-3","-3","-3"
"870","-55","-55","-55"
"873","-28","-28","-28"
"874","-52","-52","-52"
"875","-77","-77","-77"
"876","-3","-3","-3"
"877","-3","-3","-3"
"879","-2","-2","-2"
"881","-2","-2","-2"
"883","-5","-5","-5"
"884","-39","-75","-3"
"885","-28.5","-55","-2"
"887","-51","-51","-51"
"888","-2.5","-3","-2"
"890","-20","-29","-11"
"891","-47","-80","-14"
"892","-43","-83","-3"
"893","-2","-2","-2"
"896","-2","-2","-2"
"897","-37","-57","-17"
"898","-58","-58","-58"
"899","-26","-49","-3"
"901","-54","-60","-48"
"902","-4","-4","-4"
"903","-4","-4","-4"
"906","-21","-54","-4"
"907","-43.5","-64","-23"
"908","-3","-3","-3"
"909","-4","-4","-4"
"910","-76","-76","-76"
"911","-1","-1","-1"
"912","-36.5","-70","-3"
"914","-61","-61","-61"
"915","-10","-24","-2"
"916","-2","-2","-2"
"918","-3","-3","-3"
"920","-38","-38","-38"
"921","-43","-56","-30"
"922","-2","-2","-2"
"923","-64.5","-69","-60"
"924","-57","-57","-57"
"925","-70","-70","-70"
"926","-30","-30","-30"
"928","-30","-30","-30"
"930","-36","-70","-2"
"932","-14","-26","-2"
"933","-16","-29","-3"
"934","-67","-67","-67"
"935","-72","-82","-62"
"936","-2","-3","-1"
"937","-51","-51","-51"
"938","-74","-74","-74"
"939","-51","-51","-51"
"940","-24.5","-29","-20"
"941","-16","-16","-16"
"943","-39","-39","-39"
"944","-76","-76","-76"
"946","-24.5","-25","-24"
"947","-67","-67","-67"
"948","-3","-3","-3"
"949","-40","-40","-40"
"952","-26","-74","-2"
"953","-59.5","-61","-58"
"955","-52.5","-58","-47"
"956","-60","-60","-60"
"957","-2","-2","-2"
"960","-26","-51","-1"
"961","-2","-2","-2"
"962","-3","-3","-3"
"964","-27","-27","-27"
"966","-39.5","-49","-30"
"967","-16","-30","-2"
"968","-55","-55","-55"
"969","-75","-75","-75"
"970","-1.5","-2","-1"
"971","-2","-2","-2"
"973","-13","-24","-2"
"974","-72","-72","-72"
"975","-38","-38","-38"
"976","-38.5","-75","-2"
"977","-22.333333333333332","-48","-2"
"982","-37","-37","-37"
"983","-10.5","-17","-4"
"985","-1","-1","-1"
"987","-1.5","-2","-1"
"989","-2.5","-4","-1"
"990","-26","-26","-26"
"991","-1","-1","-1"
"994","-44","-57","-22"
"995","-58.5","-104","-13"
"996","-7","-9","-5"
"997","-60","-60","-60"
"999","-61","-61","-61"
"1000","-15","-27","-3"
"1001","-74","-74","-74"
"1002","-53","-53","-53"
"1003","-3","-3","-3"
"1004","-27","-27","-27"
"1005","-5","-5","-5"
"1009","-25.5","-28","-23"
"1010","-1","-1","-1"
"1011","-34.5","-63","-6"
"1012","-50","-50","-50"
"1013","-60","-60","-60"
"1014","-35","-68","-2"
"1015","-57","-57","-57"
"1016","-39","-78","-1"
"1017","-27.5","-50","-5"
"1018","-41.5","-82","-1"
"1019","-3","-3","-3"
"1020","-66","-66","-66"
"1021","-2","-2","-2"
"1022","-27.666666666666668","-82","0"
"1024","-9.666666666666666","-24","-1"
"1025","-64.5","-83","-46"
"1026","-2","-2","-2"
"1028","-58","-58","-58"
"1029","-42.5","-49","-36"
"1030","-50","-50","-50"
"1032","-3","-3","-3"
"1033","-36","-36","-36"
"1038","-3","-3","-3"
"1039","-30.666666666666668","-51","-2"
"1041","-2","-2","-2"
"1042","-32","-32","-32"
"1044","-4","-4","-4"
"1046","-69","-69","-69"
"1047","-28","-28","-28"
"1048","-28.666666666666668","-70","-3"
"1049","-52.666666666666664","-58","-47"
"1050","-78","-78","-78"
"1053","-4","-5","-3"
"1054","-1","-1","-1"
"1055","-2","-2","-2"
"1056","-35.5","-50","-21"
"1059","-16","-30","-2"
"1061","-30","-30","-30"
"1062","-35","-35","-35"
"1063","-35","-70","0"
"1064","-20","-25","-15"
"1065","0","0","0"
"1068","-28.5","-65","-1"
"1070","-53","-53","-53"
"1071","-26.666666666666668","-64","-2"
"1073","-25","-25","-25"
"1076","-18.333333333333332","-52","-1"
"1077","-16","-28","-4"
"1078","-54","-54","-54"
"1080","-28","-53","-3"
"1081","-40","-61","-19"
"1082","-33.5","-38","-29"
"1083","-50","-50","-50"
"1084","0","0","0"
"1085","-1","-1","-1"
"1086","-2","-2","-2"
"1087","-29.5","-58","-1"
"1088","0","0","0"
"1089","-18","-18","-18"
"1091","-1","-1","-1"
"1092","-47.333333333333336","-73","-2"
"1096","-65","-65","-65"
"1097","-48","-69","-27"
"1102","-76","-76","-76"
"1103","-25.5","-30","-21"
"1104","-6","-6","-6"
"1106","-27","-52","-2"
"1107","-52","-52","-52"
"1108","-34","-66","-2"
"1109","-15","-27","-3"
"1110","-2","-2","-2"
"1114","-19","-19","-19"
"1115","-37","-63","-19"
"1117","-1","-1","-1"
"1118","-3","-3","-3"
"1119","-58","-58","-58"
"1121","-7","-7","-7"
"1122","-2.5","-4","-1"
"1123","-41","-41","-41"
"1124","-18.5","-34","-3"
"1125","-53","-53","-53"
"1126","-3.5","-4","-3"
"1130","-50","-50","-50"
"1131","-81","-81","-81"
"1132","-65","-65","-65"
"1133","-25","-49","-1"
"1134","-36.5","-56","-2"
"1135","-64","-64","-64"
"1136","-16","-27","-5"
"1137","-11","-22","0"
"1138","-26","-26","-26"
"1139","-13.5","-25","-2"
"1140","-2","-2","-2"
"1141","-60","-60","-60"
"1142","-55","-55","-55"
"1143","-3","-5","-1"
"1145","-12","-22","-2"
"1146","-1","-1","-1"
"1149","-62","-62","-62"
"1150","-29","-29","-29"
"1152","-70.5","-78","-63"
"1154","-58","-58","-58"
"1155","-50","-71","-29"
"1158","-1.5","-3","0"
"1159","-21.333333333333332","-33","-2"
"1161","-1","-1","-1"
"1162","-41.5","-62","-21"
"1163","-4","-4","-4"
"1166","-7.666666666666667","-17","-1"
"1167","-55","-79","-31"
"1168","-39.5","-59","-20"
"1170","-16.5","-32","-1"
"1171","-1","-1","-1"
"1172","-2","-2","-2"
"1173","-66","-76","-56"
"1174","-78.5","-84","-73"
"1175","-33.333333333333336","-68","-2"
"1176","-36","-36","-36"
"1178","-3","-3","-3"
"1179","-29.5","-59","0"
"1180","-28","-28","-28"
"1181","-56","-56","-56"
"1182","-16.5","-31","-2"
"1184","-4","-4","-4"
"1185","-2","-2","-2"
"1186","-26","-52","0"
"1189","-9","-9","-9"
"1191","-36","-65","-7"
"1193","-52","-52","-52"
"1194","-63","-63","-63"
"1195","-8","-8","-8"
"1197","-28","-28","-28"
"1198","-1","-1","-1"
"1199","-3","-3","-3"
"1200","-54.5","-55","-54"
"1201","-62","-62","-62"
"1203","-12","-22","-2"
"1204","-24","-27","-21"
"1205","-1","-2","0"
"1206","-22.5","-44","-1"
"1208","0","0","0"
"1211","-33","-33","-33"
"1212","0","0","0"
"1216","-28.666666666666668","-79","-1"
"1218","-2","-4","0"
"1219","-1","-1","-1"
"1221","-37","-55","-2"
"1222","-23","-45","-1"
"1225","-71","-71","-71"
"1229","-39","-49","-29"
"1232","-9","-9","-9"
"1233","-76","-76","-76"
"1234","-45.5","-57","-34"
"1235","-30","-57","-3"
"1236","-21.5","-40","-3"
"1237","-2","-2","-2"
"1238","-82","-82","-82"
"1239","-31","-31","-31"
"1242","-13","-26","0"
"1243","-32","-61","-3"
"1244","0","0","0"
"1246","-57.5","-85","-30"
"1249","-54","-69","-39"
"1250","0","0","0"
"1252","-1","-1","-1"
"1253","-25","-49","-1"
"1254","-18.666666666666668","-52","-1"
"1257","-58.5","-66","-51"
"1258","-3","-3","-3"
"1260","0","0","0"
"1262","-21","-21","-21"
"1263","-2","-2","-2"
"1264","-27","-54","0"
"1265","-42","-53","-31"
"1266","-71","-71","-71"
"1268","-72","-72","-72"
"1269","-2","-2","-2"
"1270","-2","-2","-2"
"1273","-35.5","-70","-1"
"1275","-1","-1","-1"
