"Step","env: CHICKENBANANA - ep_info/Chicken","env: CHICKENBANANA - ep_info/Chicken__MIN","env: CHICKENBANANA - ep_info/Chicken__MAX"
"641","35","0","70"
"642","35","0","70"
"643","28","0","70"
"644","42","0","70"
"645","42","0","70"
"646","42","0","70"
"647","42","0","70"
"648","42","0","70"
"649","42","0","70"
"650","42","0","70"
"651","42","0","70"
"652","42","0","70"
"653","42","0","70"
"654","42","0","70"
"655","42","0","70"
"656","35","0","70"
"657","42","0","70"
"658","42","0","70"
"659","42","0","70"
"660","42","0","70"
"661","35","0","70"
"662","35","0","70"
"663","35","0","70"
"664","28","0","70"
"665","21","0","70"
"666","28","0","70"
"667","28","0","70"
"668","35","0","70"
"669","35","0","70"
"670","35","0","70"
"671","28","0","70"
"672","28","0","70"
"673","28","0","70"
"674","28","0","70"
"675","28","0","70"
"676","28","0","70"
"677","28","0","70"
"678","35","0","70"
"679","35","0","70"
"680","35","0","70"
"681","35","0","70"
"682","35","0","70"
"683","35","0","70"
"684","28","0","70"
"685","28","0","70"
"686","28","0","70"
"687","35","0","70"
"688","35","0","70"
"689","35","0","70"
"690","28","0","70"
"691","35","0","70"
"692","35","0","70"
"693","35","0","70"
"694","35","0","70"
"695","35","0","70"
"696","35","0","70"
"697","28","0","70"
"698","28","0","70"
"699","35","0","70"
"700","28","0","70"
"701","28","0","70"
"702","28","0","70"
"703","28","0","70"
"704","35","0","70"
"705","21","0","70"
"706","21","0","70"
"707","28","0","70"
"708","28","0","70"
"709","35","0","70"
"710","35","0","70"
"711","28","0","70"
"712","28","0","70"
"713","28","0","70"
"714","28","0","70"
"715","28","0","70"
"716","28","0","70"
"717","28","0","70"
"718","21","0","70"
"719","28","0","70"
"720","28","0","70"
"721","35","0","70"
"722","28","0","70"
"723","35","0","70"
"724","28","0","70"
"725","21","0","70"
"726","21","0","70"
"727","28","0","70"
"728","28","0","70"
"729","35","0","70"
"730","28","0","70"
"731","35","0","70"
"732","28","0","70"
"733","35","0","70"
"734","28","0","70"
"735","35","0","70"
"736","42","0","70"
"737","42","0","70"
"738","35","0","70"
"739","28","0","70"
"740","35","0","70"
"741","28","0","70"
"742","35","0","70"
"743","28","0","70"
"744","35","0","70"
"745","35","0","70"
"746","35","0","70"
"747","35","0","70"
"748","35","0","70"
"749","28","0","70"
"750","35","0","70"
"751","28","0","70"
"752","28","0","70"
"753","35","0","70"
"754","35","0","70"
"755","35","0","70"
"756","28","0","70"
"757","28","0","70"
"758","28","0","70"
"759","28","0","70"
"760","35","0","70"
"761","28","0","70"
"762","28","0","70"
"763","21","0","70"
"764","28","0","70"
"765","28","0","70"
"766","28","0","70"
"767","28","0","70"
"768","28","0","70"
"769","28","0","70"
"770","35","0","70"
"771","28","0","70"
"772","28","0","70"
"773","28","0","70"
"774","28","0","70"
"775","28","0","70"
"776","28","0","70"
"777","28","0","70"
"778","28","0","70"
"779","28","0","70"
"780","28","0","70"
"781","28","0","70"
"782","28","0","70"
"783","28","0","70"
"784","21","0","70"
"785","28","0","70"
"786","35","0","70"
"787","35","0","70"
"788","35","0","70"
"789","35","0","70"
"790","35","0","70"
"791","35","0","70"
"792","35","0","70"
"793","28","0","70"
"794","28","0","70"
"795","35","0","70"
"796","28","0","70"
"797","28","0","70"
"798","35","0","70"
"799","35","0","70"
"800","35","0","70"
"801","35","0","70"
"802","42","0","70"
"803","35","0","70"
"804","28","0","70"
"805","28","0","70"
"806","35","0","70"
"807","35","0","70"
"808","35","0","70"
"809","35","0","70"
"810","42","0","70"
"811","42","0","70"
"812","35","0","70"
"813","35","0","70"
"814","35","0","70"
"815","35","0","70"
"816","35","0","70"
"817","35","0","70"
"818","35","0","70"
"819","35","0","70"
"820","35","0","70"
"821","35","0","70"
"822","35","0","70"
"823","35","0","70"
"824","35","0","70"
"825","28","0","70"
"826","35","0","70"
"827","35","0","70"
"828","49","0","70"
"829","42","0","70"
"830","42","0","70"
"831","35","0","70"
"832","42","0","70"
"833","42","0","70"
"834","42","0","70"
"835","28","0","70"
"836","35","0","70"
"837","35","0","70"
"838","35","0","70"
"839","35","0","70"
"840","35","0","70"
"841","35","0","70"
"842","35","0","70"
"843","35","0","70"
"844","35","0","70"
"845","35","0","70"
"846","35","0","70"
"847","35","0","70"
"848","35","0","70"
"849","35","0","70"
"850","35","0","70"
"851","42","0","70"
"852","35","0","70"
"853","35","0","70"
"854","35","0","70"
"855","35","0","70"
"856","42","0","70"
"857","42","0","70"
"858","49","0","70"
"859","42","0","70"
"860","42","0","70"
"861","42","0","70"
"862","35","0","70"
"863","35","0","70"
"864","35","0","70"
"865","35","0","70"
"866","35","0","70"
"867","35","0","70"
"868","35","0","70"
"869","42","0","70"
"870","42","0","70"
"871","42","0","70"
"872","35","0","70"
"873","35","0","70"
"874","35","0","70"
"875","35","0","70"
"876","35","0","70"
"877","42","0","70"
"878","35","0","70"
"879","42","0","70"
"880","42","0","70"
"881","42","0","70"
"882","35","0","70"
"883","35","0","70"
"884","49","0","70"
"885","49","0","70"
"886","42","0","70"
"887","42","0","70"
"888","49","0","70"
"889","35","0","70"
"890","35","0","70"
"891","35","0","70"
"892","35","0","70"
"893","35","0","70"
"894","28","0","70"
"895","28","0","70"
"896","28","0","70"
"897","28","0","70"
"898","28","0","70"
"899","28","0","70"
"900","28","0","70"
"901","28","0","70"
"902","28","0","70"
"903","28","0","70"
"904","28","0","70"
"905","28","0","70"
"906","28","0","70"
"907","28","0","70"
"908","28","0","70"
"909","28","0","70"
"910","28","0","70"
"911","28","0","70"
"912","28","0","70"
"913","28","0","70"
"914","28","0","70"
"915","28","0","70"
"916","28","0","70"
"917","28","0","70"
"918","28","0","70"
"919","28","0","70"
"920","28","0","70"
"921","28","0","70"
"922","28","0","70"
"923","28","0","70"
"924","28","0","70"
"925","28","0","70"
"926","28","0","70"
"927","28","0","70"
"928","28","0","70"
"929","28","0","70"
"930","28","0","70"
"931","28","0","70"
"932","28","0","70"
"933","28","0","70"
"934","35","0","70"
"935","35","0","70"
"936","35","0","70"
"937","35","0","70"
"938","28","0","70"
"939","35","0","70"
"940","35","0","70"
"941","35","0","70"
"942","35","0","70"
"943","35","0","70"
"944","35","0","70"
"945","35","0","70"
"946","35","0","70"
"947","35","0","70"
"948","35","0","70"
"949","35","0","70"
"950","42","0","70"
"951","42","0","70"
"952","42","0","70"
"953","35","0","70"
"954","35","0","70"
"955","35","0","70"
"956","35","0","70"
"957","35","0","70"
"958","35","0","70"
"959","35","0","70"
"960","35","0","70"
"961","35","0","70"
"962","42","0","70"
"963","35","0","70"
"964","42","0","70"
"965","42","0","70"
"966","35","0","70"
"967","35","0","70"
"968","35","0","70"
"969","35","0","70"
"970","35","0","70"
"971","35","0","70"
"972","35","0","70"
"973","42","0","70"
"974","42","0","70"
"975","42","0","70"
"976","35","0","70"
"977","35","0","70"
"978","42","0","70"
"979","35","0","70"
"980","35","0","70"
"981","35","0","70"
"982","42","0","70"
"983","35","0","70"
"984","35","0","70"
"985","42","0","70"
"986","42","0","70"
"987","42","0","70"
"988","49","0","70"
"989","42","0","70"
"990","42","0","70"
"991","42","0","70"
"992","42","0","70"
"993","35","0","70"
"994","35","0","70"
"995","28","0","70"
"996","28","0","70"
"997","28","0","70"
"998","28","0","70"
"999","28","0","70"
"1000","21","0","70"
"1001","28","0","70"
"1002","28","0","70"
"1003","28","0","70"
"1004","28","0","70"
"1005","28","0","70"
"1006","28","0","70"
"1007","28","0","70"
"1008","28","0","70"
"1009","28","0","70"
"1010","28","0","70"
"1011","28","0","70"
"1012","28","0","70"
"1013","28","0","70"
"1014","28","0","70"
"1015","28","0","70"
"1016","28","0","70"
"1017","28","0","70"
"1018","28","0","70"
"1019","28","0","70"
"1020","28","0","70"
"1021","28","0","70"
"1022","28","0","70"
"1023","28","0","70"
"1024","28","0","70"
"1025","35","0","70"
"1026","28","0","70"
"1027","35","0","70"
"1028","28","0","70"
"1029","28","0","70"
"1030","28","0","70"
"1031","35","0","70"
"1032","35","0","70"
"1033","28","0","70"
"1034","35","0","70"
"1035","35","0","70"
"1036","35","0","70"
"1037","35","0","70"
"1038","28","0","70"
"1039","35","0","70"
"1040","35","0","70"
"1041","42","0","70"
"1042","28","0","70"
"1043","35","0","70"
"1044","35","0","70"
"1045","35","0","70"
"1046","35","0","70"
"1047","35","0","70"
"1048","35","0","70"
"1049","35","0","70"
"1050","35","0","70"
"1051","35","0","70"
"1052","28","0","70"
"1053","28","0","70"
"1054","35","0","70"
"1055","35","0","70"
"1056","35","0","70"
"1057","35","0","70"
"1058","35","0","70"
"1059","35","0","70"
"1060","35","0","70"
"1061","35","0","70"
"1062","35","0","70"
"1063","35","0","70"
"1064","35","0","70"
"1065","35","0","70"
"1066","35","0","70"
"1067","35","0","70"
"1068","28","0","70"
"1069","35","0","70"
"1070","28","0","70"
"1071","35","0","70"
"1072","35","0","70"
"1073","35","0","70"
"1074","28","0","70"
"1075","35","0","70"
"1076","35","0","70"
"1077","35","0","70"
"1078","35","0","70"
"1079","35","0","70"
"1080","35","0","70"
"1081","35","0","70"
"1082","35","0","70"
"1083","35","0","70"
"1084","42","0","70"
"1085","35","0","70"
"1086","35","0","70"
"1087","35","0","70"
"1088","35","0","70"
"1089","35","0","70"
"1090","35","0","70"
"1091","35","0","70"
"1092","28","0","70"
"1093","35","0","70"
"1094","42","0","70"
"1095","42","0","70"
"1096","42","0","70"
"1097","35","0","70"
"1098","35","0","70"
"1099","35","0","70"
"1100","35","0","70"
"1101","35","0","70"
"1102","28","0","70"
"1103","35","0","70"
"1104","35","0","70"
"1105","28","0","70"
"1106","42","0","70"
"1107","42","0","70"
"1108","42","0","70"
"1109","35","0","70"
"1110","42","0","70"
"1111","42","0","70"
"1112","42","0","70"
"1113","35","0","70"
"1114","42","0","70"
"1115","49","0","70"
"1116","42","0","70"
"1117","42","0","70"
"1118","42","0","70"
"1119","35","0","70"
"1120","35","0","70"
"1121","42","0","70"
"1122","35","0","70"
"1123","28","0","70"
"1124","35","0","70"
"1125","42","0","70"
"1126","35","0","70"
"1127","28","0","70"
"1128","35","0","70"
"1129","35","0","70"
"1130","35","0","70"
"1131","35","0","70"
"1132","42","0","70"
"1133","28","0","70"
"1134","35","0","70"
"1135","35","0","70"
"1136","42","0","70"
"1137","35","0","70"
"1138","35","0","70"
"1139","28","0","70"
"1140","35","0","70"
"1141","35","0","70"
"1142","35","0","70"
"1143","35","0","70"
"1144","35","0","70"
"1145","35","0","70"
"1146","35","0","70"
"1147","35","0","70"
"1148","35","0","70"
"1149","42","0","70"
"1150","35","0","70"
"1151","35","0","70"
"1152","35","0","70"
"1153","42","0","70"
"1154","35","0","70"
"1155","35","0","70"
"1156","35","0","70"
"1157","42","0","70"
"1158","35","0","70"
"1159","35","0","70"
"1160","35","0","70"
"1161","35","0","70"
"1162","35","0","70"
"1163","42","0","70"
"1164","35","0","70"
"1165","28","0","70"
"1166","35","0","70"
"1167","42","0","70"
"1168","35","0","70"
"1169","49","0","70"
"1170","49","0","70"
"1171","42","0","70"
"1172","42","0","70"
"1173","42","0","70"
"1174","35","0","70"
