"Step","env: CHICKENBANANA - ep_info/Banana","env: CHICKENBANANA - ep_info/Banana__MIN","env: CHICKENBANANA - ep_info/Banana__MAX"
"420","30","30","30"
"421","27","0","30"
"422","27","0","30"
"423","24","0","30"
"424","30","30","30"
"425","24","0","30"
"426","24","0","30"
"427","21","0","30"
"428","24","0","30"
"429","27","0","30"
"430","18","0","30"
"431","30","30","30"
"432","27","0","30"
"433","30","30","30"
"434","30","30","30"
"435","21","0","30"
"436","27","0","30"
"437","30","30","30"
"438","27","0","30"
"439","24","0","30"
"440","30","30","30"
"441","27","0","30"
"442","30","30","30"
"443","24","0","30"
"444","27","0","30"
"445","27","0","30"
"446","30","30","30"
"447","27","0","30"
"448","30","30","30"
"449","27","0","30"
"450","27","0","30"
"451","30","30","30"
"452","27","0","30"
"453","27","0","30"
"454","21","0","30"
"455","30","30","30"
"456","27","0","30"
"457","27","0","30"
"458","27","0","30"
"459","30","30","30"
"460","30","30","30"
"461","24","0","30"
"462","30","30","30"
"463","30","30","30"
"464","30","30","30"
"465","24","0","30"
"466","30","30","30"
"467","30","30","30"
"468","30","30","30"
"469","27","0","30"
"470","27","0","30"
"471","30","30","30"
"472","30","30","30"
"473","30","30","30"
"474","30","30","30"
"475","30","30","30"
"476","27","0","30"
"477","27","0","30"
"478","30","30","30"
"479","30","30","30"
"480","27","0","30"
"481","27","0","30"
"482","30","30","30"
"483","24","0","30"
"484","24","0","30"
"485","27","0","30"
"486","27","0","30"
"487","30","30","30"
"488","30","30","30"
"489","24","0","30"
"490","27","0","30"
"491","30","30","30"
"492","30","30","30"
"493","27","0","30"
"494","30","30","30"
"495","30","30","30"
"496","27","0","30"
"497","30","30","30"
"498","30","30","30"
"499","30","30","30"
"500","24","0","30"
"501","24","0","30"
"502","27","0","30"
"503","27","0","30"
"504","27","0","30"
"505","21","0","30"
"506","24","0","30"
"507","27","0","30"
"508","27","0","30"
"509","27","0","30"
"510","24","0","30"
"511","27","0","30"
"512","30","30","30"
"513","27","0","30"
"514","24","0","30"
"515","24","0","30"
"516","24","0","30"
"517","30","30","30"
"518","27","0","30"
"519","30","30","30"
"520","30","30","30"
"521","30","30","30"
"522","27","0","30"
"523","24","0","30"
"524","21","0","30"
"525","24","0","30"
"526","27","0","30"
"527","27","0","30"
"528","27","0","30"
"529","27","0","30"
"530","27","0","30"
"531","24","0","30"
"532","27","0","30"
"533","24","0","30"
"534","24","0","30"
"535","21","0","30"
"536","27","0","30"
"537","24","0","30"
"538","24","0","30"
"539","27","0","30"
"540","18","0","30"
"541","27","0","30"
"542","27","0","30"
"543","21","0","30"
"544","27","0","30"
"545","27","0","30"
"546","27","0","30"
"547","27","0","30"
"548","27","0","30"
"549","24","0","30"
"550","27","0","30"
"551","24","0","30"
"552","27","0","30"
"553","24","0","30"
"554","27","0","30"
"555","24","0","30"
"556","24","0","30"
"557","24","0","30"
"558","21","0","30"
"559","24","0","30"
"560","27","0","30"
"561","24","0","30"
"562","24","0","30"
"563","27","0","30"
"564","27","0","30"
"565","30","30","30"
"566","27","0","30"
"567","30","30","30"
"568","27","0","30"
"569","24","0","30"
"570","30","30","30"
"571","24","0","30"
"572","30","30","30"
"573","30","30","30"
"574","27","0","30"
"575","27","0","30"
"576","27","0","30"
"577","27","0","30"
"578","27","0","30"
"579","27","0","30"
"580","27","0","30"
"581","27","0","30"
"582","27","0","30"
"583","27","0","30"
"584","24","0","30"
"585","24","0","30"
"586","21","0","30"
"587","24","0","30"
"588","24","0","30"
"589","24","0","30"
"590","24","0","30"
"591","24","0","30"
"592","27","0","30"
"593","24","0","30"
"594","24","0","30"
"595","21","0","30"
"596","24","0","30"
"597","27","0","30"
"598","24","0","30"
"599","24","0","30"
"600","27","0","30"
"601","24","0","30"
"602","30","30","30"
"603","24","0","30"
"604","24","0","30"
"605","27","0","30"
"606","27","0","30"
"607","24","0","30"
"608","24","0","30"
"609","27","0","30"
"610","27","0","30"
"611","27","0","30"
"612","27","0","30"
"613","27","0","30"
"614","30","30","30"
"615","30","30","30"
"616","27","0","30"
"617","30","30","30"
"618","30","30","30"
"619","27","0","30"
"620","27","0","30"
"621","27","0","30"
"622","30","30","30"
"623","30","30","30"
"624","30","30","30"
"625","30","30","30"
"626","30","30","30"
"627","30","30","30"
"628","27","0","30"
"629","27","0","30"
"630","30","30","30"
"631","27","0","30"
"632","30","30","30"
"633","30","30","30"
"634","30","30","30"
"635","30","30","30"
"636","30","30","30"
"637","30","30","30"
"638","27","0","30"
"639","30","30","30"
"640","30","30","30"
"641","27","0","30"
"642","30","30","30"
"643","27","0","30"
"644","27","0","30"
"645","30","30","30"
"646","30","30","30"
"647","30","30","30"
"648","30","30","30"
"649","30","30","30"
"650","30","30","30"
"651","30","30","30"
"652","30","30","30"
"653","27","0","30"
"654","30","30","30"
"655","30","30","30"
"656","30","30","30"
"657","30","30","30"
"658","30","30","30"
"659","30","30","30"
"660","30","30","30"
"661","27","0","30"
"662","27","0","30"
"663","27","0","30"
"664","27","0","30"
"665","27","0","30"
"666","24","0","30"
"667","24","0","30"
"668","24","0","30"
"669","24","0","30"
"670","24","0","30"
"671","24","0","30"
"672","24","0","30"
"673","27","0","30"
"674","24","0","30"
"675","24","0","30"
"676","24","0","30"
"677","24","0","30"
"678","21","0","30"
"679","21","0","30"
"680","21","0","30"
"681","21","0","30"
"682","24","0","30"
"683","21","0","30"
"684","21","0","30"
"685","24","0","30"
"686","27","0","30"
"687","24","0","30"
"688","24","0","30"
"689","24","0","30"
"690","24","0","30"
"691","24","0","30"
"692","24","0","30"
"693","24","0","30"
"694","27","0","30"
"695","21","0","30"
"696","24","0","30"
