"Step","env: LUNARLANDER - ep_info/Goal","env: LUNARLANDER - ep_info/Goal__MIN","env: LUNARLANDER - ep_info/Goal__MAX"
"835","-1","-1","-1"
"837","-1","-1","-1"
"838","-1","-1","-1"
"839","-1","-1","-1"
"840","-1","-1","-1"
"841","-1","-1","-1"
"844","-1","-1","-1"
"845","-1","-1","-1"
"848","-1","-1","-1"
"849","-1","-1","-1"
"851","-1","-1","-1"
"852","-1","-1","-1"
"854","-1","-1","-1"
"856","-1","-1","-1"
"858","-1","-1","-1"
"859","-1","-1","-1"
"860","-1","-1","-1"
"862","-1","-1","-1"
"863","-1","-1","-1"
"866","-1","-1","-1"
"868","-1","-1","-1"
"870","-1","-1","-1"
"872","-1","-1","-1"
"873","-1","-1","-1"
"875","-1","-1","-1"
"876","-1","-1","-1"
"877","-1","-1","-1"
"879","-1","-1","-1"
"880","-1","-1","-1"
"881","-1","-1","-1"
"884","-1","-1","-1"
"887","-1","-1","-1"
"890","-1","-1","-1"
"892","-1","-1","-1"
"895","-1","-1","-1"
"896","-1","-1","-1"
"901","-1","-1","-1"
"902","-1","-1","-1"
"906","-1","-1","-1"
"909","-1","-1","-1"
"910","-1","-1","-1"
"911","-1","-1","-1"
"915","-1","-1","-1"
"916","-1","-1","-1"
"918","-1","-1","-1"
"919","-1","-1","-1"
"920","-1","-1","-1"
"921","-1","-1","-1"
"922","-1","-1","-1"
"923","-1","-1","-1"
"926","-1","-1","-1"
"928","-1","-1","-1"
"929","-1","-1","-1"
"930","-1","-1","-1"
"932","-1","-1","-1"
"935","-1","-1","-1"
"936","-1","-1","-1"
"939","-1","-1","-1"
"940","-1","-1","-1"
"942","-1","-1","-1"
"945","-1","-1","-1"
"946","-1","-1","-1"
"947","-1","-1","-1"
"948","-1","-1","-1"
"949","-1","-1","-1"
"953","-1","-1","-1"
"954","-1","-1","-1"
"955","-1","-1","-1"
"956","-1","-1","-1"
"957","-1","-1","-1"
"960","-1","-1","-1"
"963","-1","-1","-1"
"966","-1","-1","-1"
"968","-1","-1","-1"
"974","-1","-1","-1"
"975","-1","-1","-1"
"976","-1","-1","-1"
"977","-1","-1","-1"
"978","-1","-1","-1"
"979","-1","-1","-1"
"981","-1","-1","-1"
"984","-1","-1","-1"
"988","-1","-1","-1"
"989","-1","-1","-1"
"990","-1","-1","-1"
"992","-1","-1","-1"
"994","-1","-1","-1"
"998","-1","-1","-1"
"999","-1","-1","-1"
"1000","-1","-1","-1"
"1001","-1","-1","-1"
"1002","-1","-1","-1"
"1009","-1","-1","-1"
"1010","-1","-1","-1"
"1011","-1","-1","-1"
"1015","-1","-1","-1"
"1018","-1","-1","-1"
"1019","-1","-1","-1"
"1021","-1","-1","-1"
"1023","-1","-1","-1"
"1025","-1","-1","-1"
"1026","-1","-1","-1"
"1027","-1","-1","-1"
"1028","-1","-1","-1"
"1032","-1","-1","-1"
"1036","-1","-1","-1"
"1038","-1","-1","-1"
"1039","-1","-1","-1"
"1041","-1","-1","-1"
"1042","-1","-1","-1"
"1043","-1","-1","-1"
"1044","-1","-1","-1"
"1046","-1","-1","-1"
"1049","-1","-1","-1"
"1050","-1","-1","-1"
"1051","-1","-1","-1"
"1054","-1","-1","-1"
"1056","-1","-1","-1"
"1057","-1","-1","-1"
"1060","-1","-1","-1"
"1065","-1","-1","-1"
"1067","-1","-1","-1"
"1068","-1","-1","-1"
"1069","-1","-1","-1"
"1072","-1","-1","-1"
"1076","-1","-1","-1"
"1078","-1","-1","-1"
"1080","-1","-1","-1"
"1082","-1","-1","-1"
"1084","-1","-1","-1"
"1085","-1","-1","-1"
"1088","-1","-1","-1"
"1090","-1","-1","-1"
"1091","-1","-1","-1"
"1092","-1","-1","-1"
"1093","-1","-1","-1"
"1097","-1","-1","-1"
"1099","-1","-1","-1"
"1100","-1","-1","-1"
"1103","-1","-1","-1"
"1104","-1","-1","-1"
"1105","-1","-1","-1"
"1106","-1","-1","-1"
"1108","-1","-1","-1"
