"Step","env: LUNARLANDER - ep_info/Goal","env: LUNARLANDER - ep_info/Goal__MIN","env: LUNARLANDER - ep_info/Goal__MAX"
"1034","-1","-1","-1"
"1037","-1","-1","-1"
"1038","-1","-1","-1"
"1039","-1","-1","-1"
"1040","-1","-1","-1"
"1043","-1","-1","-1"
"1045","-1","-1","-1"
"1047","-1","-1","-1"
"1049","-1","-1","-1"
"1051","-1","-1","-1"
"1052","-1","-1","-1"
"1055","-1","-1","-1"
"1056","-1","-1","-1"
"1063","-1","-1","-1"
"1066","-1","-1","-1"
"1067","-1","-1","-1"
"1068","-1","-1","-1"
"1072","-1","-1","-1"
"1074","-1","-1","-1"
"1076","-1","-1","-1"
"1077","-1","-1","-1"
"1078","-1","-1","-1"
"1081","-1","-1","-1"
"1085","-1","-1","-1"
"1088","-1","-1","-1"
"1089","-1","-1","-1"
"1090","-1","-1","-1"
"1094","-1","-1","-1"
"1096","-1","-1","-1"
"1097","-1","-1","-1"
"1098","-1","-1","-1"
"1100","-1","-1","-1"
"1102","-1","-1","-1"
"1104","-1","-1","-1"
"1110","-1","-1","-1"
"1113","-1","-1","-1"
"1114","-1","-1","-1"
"1117","-1","-1","-1"
"1119","-1","-1","-1"
"1120","-1","-1","-1"
"1125","-1","-1","-1"
"1126","-1","-1","-1"
"1127","-1","-1","-1"
"1128","-1","-1","-1"
"1130","-1","-1","-1"
"1132","-1","-1","-1"
"1135","-1","-1","-1"
"1138","-1","-1","-1"
"1139","-1","-1","-1"
"1140","-1","-1","-1"
"1142","-1","-1","-1"
"1144","-1","-1","-1"
"1145","-1","-1","-1"
"1146","-1","-1","-1"
"1148","-1","-1","-1"
"1152","-1","-1","-1"
"1153","-1","-1","-1"
"1154","-1","-1","-1"
"1155","-1","-1","-1"
"1158","-1","-1","-1"
"1159","-1","-1","-1"
"1160","-1","-1","-1"
"1163","-1","-1","-1"
"1166","-1","-1","-1"
"1167","-1","-1","-1"
"1168","-1","-1","-1"
"1173","-1","-1","-1"
"1174","-1","-1","-1"
"1175","-1","-1","-1"
"1176","-1","-1","-1"
"1179","-1","-1","-1"
"1181","-1","-1","-1"
"1182","-1","-1","-1"
"1183","-1","-1","-1"
"1184","-1","-1","-1"
"1185","-1","-1","-1"
"1191","-1","-1","-1"
"1195","-1","-1","-1"
"1197","-1","-1","-1"
"1198","-1","-1","-1"
"1199","-1","-1","-1"
"1200","-1","-1","-1"
"1202","-1","-1","-1"
"1205","-1","-1","-1"
"1206","-1","-1","-1"
"1207","-1","-1","-1"
"1209","-1","-1","-1"
"1211","-1","-1","-1"
"1214","-1","-1","-1"
"1215","-1","-1","-1"
"1217","-1","-1","-1"
"1219","-1","-1","-1"
"1222","-1","-1","-1"
"1226","-1","-1","-1"
"1227","-1","-1","-1"
"1230","-1","-1","-1"
"1231","-1","-1","-1"
"1232","-1","-1","-1"
"1233","-1","-1","-1"
"1234","-1","-1","-1"
"1236","-1","-1","-1"
"1237","-1","-1","-1"
"1240","-1","-1","-1"
"1242","-1","-1","-1"
"1243","-1","-1","-1"
"1247","-1","-1","-1"
"1250","-1","-1","-1"
"1252","-1","-1","-1"
"1254","-1","-1","-1"
"1255","-1","-1","-1"
"1256","-1","-1","-1"
"1257","-1","-1","-1"
"1259","-1","-1","-1"
"1261","-1","-1","-1"
"1263","-1","-1","-1"
"1264","-1","-1","-1"
"1265","-1","-1","-1"
"1266","-1","-1","-1"
"1267","-1","-1","-1"
"1271","-1","-1","-1"
"1274","-1","-1","-1"
"1277","-1","-1","-1"
"1278","-1","-1","-1"
"1279","-1","-1","-1"
"1280","-1","-1","-1"
"1281","-1","-1","-1"
"1283","-1","-1","-1"
"1284","-1","-1","-1"
"1288","-1","-1","-1"
"1289","-1","-1","-1"
"1290","-1","-1","-1"
"1291","-1","-1","-1"
"1292","-1","-1","-1"
"1299","-1","-1","-1"
"1306","-1","-1","-1"
"1307","-1","-1","-1"
"1310","-1","-1","-1"
"1317","-1","-1","-1"
"1319","-1","-1","-1"
"1320","-1","-1","-1"
"1321","-1","-1","-1"
"1324","-1","-1","-1"
"1325","-1","-1","-1"
"1326","-1","-1","-1"
"1329","-1","-1","-1"
"1330","-1","-1","-1"
"1332","-1","-1","-1"
"1333","-1","-1","-1"
"1335","-1","-1","-1"
"1336","-1","-1","-1"
"1337","-1","-1","-1"
"1338","-1","-1","-1"
"1339","-1","-1","-1"
"1340","-1","-1","-1"
"1341","-1","-1","-1"
"1344","-1","-1","-1"
"1349","-1","-1","-1"
"1350","-1","-1","-1"
"1352","-1","-1","-1"
"1353","-1","-1","-1"
"1358","-1","-1","-1"
"1359","-1","-1","-1"
"1361","-1","-1","-1"
"1364","-1","-1","-1"
"1365","-1","-1","-1"
"1369","-1","-1","-1"
"1372","-1","-1","-1"
"1375","-1","-1","-1"
"1376","-1","-1","-1"
"1377","-1","-1","-1"
"1378","-1","-1","-1"
"1383","-1","-1","-1"
"1385","-1","-1","-1"
"1386","-1","-1","-1"
"1390","-1","-1","-1"
"1397","-1","-1","-1"
"1398","-1","-1","-1"
"1400","-1","-1","-1"
"1403","-1","-1","-1"
"1405","-1","-1","-1"
"1407","-1","-1","-1"
"1409","-1","-1","-1"
"1410","-1","-1","-1"
"1411","-1","-1","-1"
"1417","-1","-1","-1"
"1418","-1","-1","-1"
"1419","-1","-1","-1"
"1420","-1","-1","-1"
"1421","-1","-1","-1"
"1422","-1","-1","-1"
"1423","-1","-1","-1"
"1424","-1","-1","-1"
"1426","-1","-1","-1"
"1428","-1","-1","-1"
"1429","-1","-1","-1"
"1430","-1","-1","-1"
"1431","-1","-1","-1"
"1435","-1","-1","-1"
"1436","-1","-1","-1"
"1438","-1","-1","-1"
"1440","-1","-1","-1"
"1441","-1","-1","-1"
"1442","-1","-1","-1"
"1443","-1","-1","-1"
"1444","-1","-1","-1"
"1446","-1","-1","-1"
"1449","-1","-1","-1"
"1452","-1","-1","-1"
"1454","-1","-1","-1"
"1455","-1","-1","-1"
"1458","-1","-1","-1"
"1459","-1","-1","-1"
"1460","-1","-1","-1"
"1463","-1","-1","-1"
"1464","-1","-1","-1"
"1465","-1","-1","-1"
"1466","-1","-1","-1"
"1467","-1","-1","-1"
"1468","-1","-1","-1"
"1473","-1","-1","-1"
"1475","-1","-1","-1"
"1477","-1","-1","-1"
"1478","-1","-1","-1"
"1479","-1","-1","-1"
"1481","-1","-1","-1"
"1482","-1","-1","-1"
"1485","-1","-1","-1"
"1488","-1","-1","-1"
"1491","-1","-1","-1"
"1496","-1","-1","-1"
"1498","-1","-1","-1"
"1503","-1","-1","-1"
"1506","-1","-1","-1"
"1507","-1","-1","-1"
"1509","-1","-1","-1"
"1510","-1","-1","-1"
"1514","-1","-1","-1"
"1515","-1","-1","-1"
"1516","-1","-1","-1"
"1517","-1","-1","-1"
"1518","-1","-1","-1"
"1521","-1","-1","-1"
"1522","-1","-1","-1"
"1523","-1","-1","-1"
"1524","-1","-1","-1"
"1527","-1","-1","-1"
"1528","-1","-1","-1"
"1529","-1","-1","-1"
"1535","-1","-1","-1"
"1536","-1","-1","-1"
"1537","-1","-1","-1"
"1538","-1","-1","-1"
"1539","-1","-1","-1"
"1540","-1","-1","-1"
"1542","-1","-1","-1"
"1543","-1","-1","-1"
"1544","-1","-1","-1"
"1545","-1","-1","-1"
"1547","-1","-1","-1"
"1550","-1","-1","-1"
"1551","-1","-1","-1"
"1552","-1","-1","-1"
"1553","-1","-1","-1"
"1555","-1","-1","-1"
"1556","-1","-1","-1"
"1558","-1","-1","-1"
"1559","-1","-1","-1"
"1560","-1","-1","-1"
"1562","-1","-1","-1"
"1564","-1","-1","-1"
"1565","-1","-1","-1"
"1571","-1","-1","-1"
"1575","-1","-1","-1"
"1576","-1","-1","-1"
"1578","-1","-1","-1"
"1579","-1","-1","-1"
"1582","-1","-1","-1"
"1584","-1","-1","-1"
"1585","-1","-1","-1"
"1587","-1","-1","-1"
"1588","-1","-1","-1"
"1591","-1","-1","-1"
"1593","-1","-1","-1"
"1599","-1","-1","-1"
"1600","-1","-1","-1"
"1603","-1","-1","-1"
"1607","-1","-1","-1"
"1609","-1","-1","-1"
"1612","-1","-1","-1"
"1613","-1","-1","-1"
"1614","-1","-1","-1"
"1618","-1","-1","-1"
"1619","-1","-1","-1"
"1621","-1","-1","-1"
"1622","-1","-1","-1"
"1623","-1","-1","-1"
"1624","-1","-1","-1"
"1625","-1","-1","-1"
"1626","-1","-1","-1"
"1629","-1","-1","-1"
"1630","-1","-1","-1"
"1632","-1","-1","-1"
"1634","-1","-1","-1"
"1635","-1","-1","-1"
"1636","-1","-1","-1"
"1639","-1","-1","-1"
"1640","-1","-1","-1"
"1641","-1","-1","-1"
"1644","-1","-1","-1"
"1645","-1","-1","-1"
"1647","-1","-1","-1"
"1648","-1","-1","-1"
"1652","-1","-1","-1"
"1653","-1","-1","-1"
"1654","-1","-1","-1"
"1655","-1","-1","-1"
"1656","-1","-1","-1"
"1657","-1","-1","-1"
"1661","-1","-1","-1"
"1662","-1","-1","-1"
"1663","-1","-1","-1"
"1664","-1","-1","-1"
"1666","-1","-1","-1"
"1667","-1","-1","-1"
"1669","-1","-1","-1"
"1674","-1","-1","-1"
"1675","-1","-1","-1"
"1679","-1","-1","-1"
"1680","-1","-1","-1"
"1681","-1","-1","-1"
"1684","-1","-1","-1"
"1685","-1","-1","-1"
"1689","-1","-1","-1"
"1693","-1","-1","-1"
"1694","-1","-1","-1"
"1695","-1","-1","-1"
"1698","-1","-1","-1"
"1699","-1","-1","-1"
"1700","-1","-1","-1"
"1703","-1","-1","-1"
"1705","-1","-1","-1"
"1706","-1","-1","-1"
"1715","-1","-1","-1"
"1716","-1","-1","-1"
"1717","-1","-1","-1"
"1718","-1","-1","-1"
"1720","-1","-1","-1"
"1724","-1","-1","-1"
"1729","-1","-1","-1"
"1730","-1","-1","-1"
"1731","-1","-1","-1"
"1732","-1","-1","-1"
"1733","-1","-1","-1"
"1735","-1","-1","-1"
"1737","-1","-1","-1"
"1738","-1","-1","-1"
"1739","-1","-1","-1"
"1741","-1","-1","-1"
"1742","-1","-1","-1"
"1743","-1","-1","-1"
"1744","-1","-1","-1"
"1748","-1","-1","-1"
"1751","-1","-1","-1"
"1753","-1","-1","-1"
"1754","-1","-1","-1"
"1756","-1","-1","-1"
"1757","-1","-1","-1"
"1758","-1","-1","-1"
"1759","-1","-1","-1"
"1762","-1","-1","-1"
"1766","-1","-1","-1"
"1767","-1","-1","-1"
"1770","-1","-1","-1"
"1771","-1","-1","-1"
"1772","-1","-1","-1"
"1773","-1","-1","-1"
