"Step","setup: Dylam - ep_info/Banana","setup: Dylam - ep_info/Banana__MIN","setup: Dylam - ep_info/Banana__MAX","setup: Drq - ep_info/Banana","setup: Drq - ep_info/Banana__MIN","setup: Drq - ep_info/Banana__MAX","setup: Decq - ep_info/Banana","setup: Decq - ep_info/Banana__MIN","setup: Decq - ep_info/Banana__MAX","setup: Baseline - ep_info/Banana","setup: Baseline - ep_info/Banana__MIN","setup: Baseline - ep_info/Banana__MAX"
"145","26.25","0","30","30","30","30","21","0","30","24","0","30"
"146","15","0","30","27","0","30","21","0","30","18","0","30"
"147","22.5","0","30","27","0","30","24","0","30","24","0","30"
"148","18.75","0","30","30","30","30","24","0","30","24","0","30"
"149","22.5","0","30","30","30","30","27","0","30","24","0","30"
"150","26.25","0","30","27","0","30","21","0","30","27","0","30"
"151","26.25","0","30","27","0","30","27","0","30","24","0","30"
"152","26.25","0","30","24","0","30","21","0","30","21","0","30"
"153","26.25","0","30","30","30","30","18","0","30","21","0","30"
"154","22.5","0","30","27","0","30","27","0","30","27","0","30"
"155","26.25","0","30","27","0","30","21","0","30","27","0","30"
"156","22.5","0","30","24","0","30","24","0","30","24","0","30"
"157","30","30","30","30","30","30","21","0","30","21","0","30"
"158","22.5","0","30","30","30","30","27","0","30","24","0","30"
"159","18.75","0","30","27","0","30","18","0","30","27","0","30"
"160","26.25","0","30","24","0","30","27","0","30","24","0","30"
"161","22.5","0","30","30","30","30","24","0","30","24","0","30"
"162","22.5","0","30","30","30","30","27","0","30","24","0","30"
"163","26.25","0","30","27","0","30","24","0","30","21","0","30"
"164","22.5","0","30","30","30","30","30","30","30","24","0","30"
"165","22.5","0","30","30","30","30","21","0","30","27","0","30"
"166","26.25","0","30","27","0","30","27","0","30","24","0","30"
"167","18.75","0","30","27","0","30","24","0","30","24","0","30"
"168","15","0","30","30","30","30","27","0","30","27","0","30"
"169","26.25","0","30","30","30","30","21","0","30","24","0","30"
"170","26.25","0","30","30","30","30","27","0","30","24","0","30"
"171","18.75","0","30","30","30","30","21","0","30","24","0","30"
"172","30","30","30","27","0","30","27","0","30","21","0","30"
"173","18.75","0","30","30","30","30","24","0","30","24","0","30"
"174","30","30","30","27","0","30","18","0","30","24","0","30"
"175","26.25","0","30","30","30","30","24","0","30","24","0","30"
"176","26.25","0","30","30","30","30","27","0","30","24","0","30"
"177","18.75","0","30","30","30","30","24","0","30","21","0","30"
"178","18.75","0","30","27","0","30","21","0","30","27","0","30"
"179","22.5","0","30","30","30","30","21","0","30","24","0","30"
"180","18.75","0","30","24","0","30","27","0","30","24","0","30"
"181","18.75","0","30","27","0","30","27","0","30","18","0","30"
"182","30","30","30","30","30","30","21","0","30","24","0","30"
"183","30","30","30","30","30","30","24","0","30","27","0","30"
"184","30","30","30","30","30","30","24","0","30","24","0","30"
"185","26.25","0","30","30","30","30","21","0","30","24","0","30"
"186","30","30","30","30","30","30","24","0","30","24","0","30"
"187","22.5","0","30","24","0","30","21","0","30","24","0","30"
"188","30","30","30","24","0","30","21","0","30","24","0","30"
"189","26.25","0","30","30","30","30","24","0","30","24","0","30"
"190","30","30","30","30","30","30","24","0","30","18","0","30"
"191","22.5","0","30","30","30","30","21","0","30","24","0","30"
"192","26.25","0","30","30","30","30","21","0","30","27","0","30"
"193","30","30","30","30","30","30","21","0","30","24","0","30"
"194","30","30","30","24","0","30","21","0","30","24","0","30"
"195","30","30","30","30","30","30","27","0","30","24","0","30"
"196","26.25","0","30","27","0","30","30","30","30","24","0","30"
"197","30","30","30","30","30","30","21","0","30","24","0","30"
"198","26.25","0","30","30","30","30","24","0","30","24","0","30"
"199","26.25","0","30","27","0","30","24","0","30","21","0","30"
"200","26.25","0","30","27","0","30","27","0","30","27","0","30"
"201","26.25","0","30","30","30","30","24","0","30","18","0","30"
"202","22.5","0","30","30","30","30","24","0","30","27","0","30"
"203","30","30","30","30","30","30","27","0","30","24","0","30"
"204","22.5","0","30","30","30","30","27","0","30","24","0","30"
"205","30","30","30","27","0","30","27","0","30","27","0","30"
"206","22.5","0","30","27","0","30","27","0","30","24","0","30"
"207","26.25","0","30","27","0","30","21","0","30","24","0","30"
"208","26.25","0","30","27","0","30","27","0","30","24","0","30"
"209","26.25","0","30","30","30","30","24","0","30","21","0","30"
"210","26.25","0","30","30","30","30","27","0","30","24","0","30"
"211","30","30","30","30","30","30","27","0","30","21","0","30"
"212","30","30","30","30","30","30","24","0","30","24","0","30"
"213","26.25","0","30","27","0","30","24","0","30","24","0","30"
"214","22.5","0","30","30","30","30","27","0","30","24","0","30"
"215","26.25","0","30","27","0","30","21","0","30","24","0","30"
"216","26.25","0","30","30","30","30","24","0","30","24","0","30"
"217","26.25","0","30","30","30","30","24","0","30","24","0","30"
"218","18.75","0","30","27","0","30","18","0","30","24","0","30"
"219","26.25","0","30","30","30","30","30","30","30","24","0","30"
"220","30","30","30","27","0","30","21","0","30","24","0","30"
"221","26.25","0","30","30","30","30","24","0","30","21","0","30"
"222","26.25","0","30","30","30","30","21","0","30","24","0","30"
"223","30","30","30","30","30","30","24","0","30","24","0","30"
"224","30","30","30","30","30","30","21","0","30","24","0","30"
"225","30","30","30","27","0","30","24","0","30","27","0","30"
"226","30","30","30","27","0","30","21","0","30","24","0","30"
"227","22.5","0","30","30","30","30","21","0","30","24","0","30"
"228","30","30","30","27","0","30","27","0","30","24","0","30"
"229","30","30","30","30","30","30","21","0","30","24","0","30"
"230","30","30","30","30","30","30","24","0","30","24","0","30"
"231","30","30","30","27","0","30","27","0","30","24","0","30"
"232","26.25","0","30","30","30","30","27","0","30","21","0","30"
"233","22.5","0","30","30","30","30","24","0","30","24","0","30"
"234","30","30","30","30","30","30","24","0","30","27","0","30"
"235","30","30","30","30","30","30","21","0","30","24","0","30"
"236","30","30","30","27","0","30","24","0","30","24","0","30"
"237","30","30","30","27","0","30","24","0","30","24","0","30"
"238","30","30","30","30","30","30","24","0","30","24","0","30"
"239","26.25","0","30","30","30","30","24","0","30","24","0","30"
"240","30","30","30","30","30","30","21","0","30","24","0","30"
"241","26.25","0","30","30","30","30","30","30","30","27","0","30"
"242","26.25","0","30","30","30","30","27","0","30","24","0","30"
"243","30","30","30","30","30","30","24","0","30","24","0","30"
"244","30","30","30","24","0","30","24","0","30","27","0","30"
"245","26.25","0","30","27","0","30","24","0","30","24","0","30"
"246","30","30","30","30","30","30","27","0","30","24","0","30"
"247","26.25","0","30","30","30","30","24","0","30","24","0","30"
"248","30","30","30","27","0","30","21","0","30","24","0","30"
"249","30","30","30","30","30","30","21","0","30","24","0","30"
"250","30","30","30","27","0","30","24","0","30","24","0","30"
"251","30","30","30","30","30","30","21","0","30","24","0","30"
"252","26.25","0","30","30","30","30","18","0","30","24","0","30"
"253","30","30","30","30","30","30","18","0","30","24","0","30"
"254","30","30","30","30","30","30","24","0","30","24","0","30"
"255","30","30","30","30","30","30","24","0","30","24","0","30"
"256","30","30","30","30","30","30","12","0","30","24","0","30"
"257","26.25","0","30","30","30","30","21","0","30","21","0","30"
"258","30","30","30","30","30","30","24","0","30","21","0","30"
