"Step","setup: Dylam - ep_info/Chicken","setup: Dylam - ep_info/Chicken__MIN","setup: Dylam - ep_info/Chicken__MAX","setup: Drq - ep_info/Chicken","setup: Drq - ep_info/Chicken__MIN","setup: Drq - ep_info/Chicken__MAX","setup: Decq - ep_info/Chicken","setup: Decq - ep_info/Chicken__MIN","setup: Decq - ep_info/Chicken__MAX","setup: Baseline - ep_info/Chicken","setup: Baseline - ep_info/Chicken__MIN","setup: Baseline - ep_info/Chicken__MAX"
"169","0","0","0","0","0","0","0","0","0","0","0","0"
"170","8.75","0","70","0","0","0","0","0","0","0","0","0"
"171","0","0","0","0","0","0","7","0","70","0","0","0"
"172","0","0","0","0","0","0","0","0","0","7","0","70"
"173","0","0","0","0","0","0","7","0","70","0","0","0"
"174","8.75","0","70","0","0","0","7","0","70","0","0","0"
"175","8.75","0","70","0","0","0","0","0","0","0","0","0"
"176","0","0","0","0","0","0","0","0","0","7","0","70"
"177","0","0","0","0","0","0","7","0","70","0","0","0"
"178","0","0","0","0","0","0","0","0","0","0","0","0"
"179","0","0","0","0","0","0","0","0","0","0","0","0"
"180","0","0","0","0","0","0","0","0","0","7","0","70"
"181","0","0","0","0","0","0","0","0","0","0","0","0"
"182","0","0","0","0","0","0","7","0","70","0","0","0"
"183","0","0","0","0","0","0","0","0","0","0","0","0"
"184","0","0","0","0","0","0","0","0","0","0","0","0"
"185","0","0","0","0","0","0","7","0","70","0","0","0"
"186","0","0","0","0","0","0","0","0","0","0","0","0"
"187","17.5","0","70","7","0","70","0","0","0","0","0","0"
"188","8.75","0","70","7","0","70","7","0","70","0","0","0"
"189","0","0","0","0","0","0","0","0","0","0","0","0"
"190","0","0","0","0","0","0","7","0","70","0","0","0"
"191","0","0","0","0","0","0","7","0","70","7","0","70"
"192","0","0","0","0","0","0","7","0","70","0","0","0"
"193","0","0","0","7","0","70","7","0","70","7","0","70"
"194","0","0","0","7","0","70","0","0","0","7","0","70"
"195","0","0","0","0","0","0","7","0","70","0","0","0"
"196","0","0","0","7","0","70","7","0","70","0","0","0"
"197","0","0","0","0","0","0","0","0","0","0","0","0"
"198","0","0","0","0","0","0","0","0","0","0","0","0"
"199","0","0","0","0","0","0","0","0","0","0","0","0"
"200","0","0","0","0","0","0","0","0","0","0","0","0"
"201","0","0","0","0","0","0","0","0","0","0","0","0"
"202","0","0","0","0","0","0","0","0","0","0","0","0"
"203","0","0","0","0","0","0","0","0","0","0","0","0"
"204","8.75","0","70","7","0","70","7","0","70","0","0","0"
"205","0","0","0","0","0","0","7","0","70","0","0","0"
"206","8.75","0","70","0","0","0","0","0","0","0","0","0"
"207","0","0","0","7","0","70","7","0","70","0","0","0"
"208","0","0","0","0","0","0","0","0","0","0","0","0"
"209","0","0","0","0","0","0","0","0","0","7","0","70"
"210","8.75","0","70","0","0","0","0","0","0","0","0","0"
"211","0","0","0","0","0","0","0","0","0","7","0","70"
"212","0","0","0","0","0","0","7","0","70","0","0","0"
