"Step","setup: Dylam - ep_info/total","setup: Dylam - ep_info/total__MIN","setup: Dylam - ep_info/total__MAX","setup: Drq - ep_info/total","setup: Drq - ep_info/total__MIN","setup: Drq - ep_info/total__MAX","setup: Decq - ep_info/total","setup: Decq - ep_info/total__MIN","setup: Decq - ep_info/total__MAX","setup: Baseline - ep_info/total","setup: Baseline - ep_info/total__MIN","setup: Baseline - ep_info/total__MAX"
"276","130","130","130","127","100","130","101","0","130","124","100","130"
"277","130","130","130","130","130","130","98","0","130","124","100","130"
"278","126.25","100","130","130","130","130","101","0","130","124","100","130"
"279","126.25","100","130","130","130","130","88","0","130","124","100","130"
"280","130","130","130","127","100","130","82","0","130","124","100","130"
"281","130","130","130","130","130","130","98","30","170","124","100","130"
"282","122.5","70","130","127","100","130","95","30","130","127","100","130"
"283","126.25","100","130","130","130","130","106","30","170","124","100","130"
"284","130","130","130","127","100","130","108","30","170","124","100","130"
"285","130","130","130","127","100","130","85","30","130","124","100","130"
"286","130","130","130","127","100","130","71","0","130","124","100","130"
"287","126.25","100","130","130","130","130","78","0","130","124","100","130"
"288","126.25","100","130","127","100","130","101","0","130","127","100","130"
"289","130","130","130","130","130","130","61","0","130","124","100","130"
"290","126.25","100","130","130","130","130","101","30","130","121","100","130"
"291","130","130","130","130","130","130","71","0","130","124","100","130"
"292","118.75","100","130","130","130","130","99","30","170","124","100","130"
"293","126.25","100","130","130","130","130","78","0","130","124","100","130"
"294","126.25","100","130","130","130","130","75","0","130","118","100","130"
"295","122.5","70","130","130","130","130","72","0","130","124","100","130"
"296","130","130","130","127","100","130","85","0","130","124","100","130"
"297","126.25","100","130","130","130","130","91","30","130","124","100","130"
"298","122.5","70","130","130","130","130","99","30","170","124","100","130"
"299","130","130","130","130","130","130","78","0","130","124","100","130"
"300","130","130","130","127","100","130","78","0","130","124","100","130"
"301","126.25","100","130","127","100","130","84","30","130","124","100","130"
"302","130","130","130","130","130","130","72","0","130","124","100","130"
"303","130","130","130","130","130","130","68","0","130","124","100","130"
"304","130","130","130","130","130","130","95","30","130","124","100","130"
"305","130","130","130","130","130","130","68","0","130","124","100","130"
"306","126.25","100","130","127","100","130","75","0","130","124","100","130"
"307","126.25","100","130","130","130","130","68","0","130","118","70","130"
"308","126.25","100","130","130","130","130","98","30","170","124","100","130"
"309","130","130","130","130","130","130","85","0","200","124","100","130"
"310","130","130","130","130","130","130","85","0","130","124","100","130"
"311","126.25","100","130","124","100","130","78","0","130","124","100","130"
"312","126.25","100","130","130","130","130","86","0","130","124","100","130"
"313","126.25","100","130","130","130","130","86","30","130","124","100","130"
"314","126.25","100","130","130","130","130","92","0","130","124","100","130"
"315","130","130","130","130","130","130","91","30","130","124","100","130"
"316","126.25","100","130","127","100","130","72","0","130","124","100","130"
"317","130","130","130","130","130","130","82","0","130","124","100","130"
"318","130","130","130","130","130","130","89","0","170","124","100","130"
"319","126.25","100","130","130","130","130","68","0","130","124","100","130"
"320","130","130","130","130","130","130","82","30","170","124","100","130"
"321","130","130","130","130","130","130","85","0","130","121","100","130"
"322","126.25","100","130","127","100","130","82","0","130","124","100","130"
"323","130","130","130","130","130","130","65","0","130","124","100","130"
"324","130","130","130","130","130","130","72","0","130","124","100","130"
"325","126.25","100","130","130","130","130","82","0","130","124","100","130"
"326","126.25","100","130","127","100","130","99","30","170","124","100","130"
"327","138.75","130","200","127","100","130","89","0","130","124","100","130"
"328","130","130","130","124","70","130","68","0","130","124","100","130"
"329","126.25","100","130","127","100","130","116","30","200","124","100","130"
"330","130","130","130","130","130","130","82","0","170","124","100","130"
"331","126.25","100","130","130","130","130","79","0","130","124","100","130"
"332","126.25","100","130","130","130","130","75","0","130","124","100","130"
"333","122.5","100","130","130","130","130","82","0","130","124","100","130"
"334","130","130","130","130","130","130","75","0","130","124","100","130"
"335","126.25","100","130","130","130","130","95","30","170","124","100","130"
"336","130","130","130","130","130","130","82","0","130","124","100","130"
"337","130","130","130","124","100","130","89","0","170","124","100","130"
"338","130","130","130","130","130","130","95","0","130","124","100","130"
"339","130","130","130","130","130","130","99","30","170","124","100","130"
"340","122.5","70","130","130","130","130","88","0","130","121","100","130"
"341","126.25","100","130","127","100","130","105","30","170","127","100","130"
"342","130","130","130","127","100","130","92","0","170","124","100","130"
"343","130","130","130","130","130","130","99","0","170","124","100","130"
"344","130","130","130","130","130","130","105","30","170","124","100","130"
"345","130","130","130","130","130","130","92","0","170","124","100","130"
"346","130","130","130","130","130","130","92","0","170","124","100","130"
"347","130","130","130","127","100","130","96","0","170","124","100","130"
"348","130","130","130","130","130","130","86","0","130","121","100","130"
"349","130","130","130","130","130","130","75","0","170","121","100","130"
"350","130","130","130","127","100","130","98","30","170","121","100","130"
"351","130","130","130","130","130","130","86","0","170","124","100","130"
"352","130","130","130","130","130","130","82","0","170","124","100","130"
"353","138.75","130","200","130","130","130","89","0","170","124","100","130"
"354","130","130","130","130","130","130","105","30","170","124","100","130"
"355","130","130","130","130","130","130","75","0","130","124","100","130"
"356","130","130","130","124","70","130","98","30","170","124","100","130"
"357","130","130","130","130","130","130","98","0","200","124","100","130"
"358","126.25","100","130","130","130","130","85","0","170","124","100","130"
"359","126.25","100","130","130","130","130","96","0","170","124","100","130"
"360","126.25","100","130","130","130","130","89","0","170","124","100","130"
"361","122.5","70","130","130","130","130","102","0","170","124","100","130"
"362","130","130","130","130","130","130","85","0","200","121","100","130"
"363","130","130","130","127","100","130","85","0","130","124","100","130"
"364","130","130","130","130","130","130","95","0","170","124","100","130"
"365","130","130","130","130","130","130","105","30","170","124","100","130"
"366","130","130","130","130","130","130","112","30","170","124","100","130"
"367","130","130","130","130","130","130","119","100","170","121","100","130"
"368","130","130","130","130","130","130","105","30","130","127","100","130"
"369","130","130","130","130","130","130","102","30","170","124","100","130"
"370","126.25","100","130","130","130","130","89","30","170","124","100","130"
"371","126.25","100","130","130","130","130","106","0","170","124","100","130"
"372","122.5","100","130","127","100","130","102","0","200","124","100","130"
"373","130","130","130","130","130","130","99","0","170","124","100","130"
"374","130","130","130","130","130","130","89","0","170","124","100","130"
"375","130","130","130","130","130","130","69","0","170","124","100","130"
"376","130","130","130","130","130","130","109","30","170","124","100","130"
"377","126.25","100","130","130","130","130","75","0","130","124","100","130"
"378","122.5","100","130","127","100","130","115","30","200","124","100","130"
"379","126.25","100","130","130","130","130","92","0","170","124","100","130"
"380","130","130","130","130","130","130","75","0","130","127","100","130"
"381","130","130","130","130","130","130","103","0","170","124","100","130"
"382","126.25","100","130","130","130","130","89","0","130","124","100","130"
"383","130","130","130","130","130","130","96","0","170","121","100","130"
"384","130","130","130","127","100","130","112","0","200","124","100","130"
"385","130","130","130","130","130","130","79","0","130","127","100","130"
"386","130","130","130","130","130","130","79","0","130","124","100","130"
"387","130","130","130","127","100","130","69","0","200","124","100","130"
"388","130","130","130","130","130","130","75","0","130","121","100","130"
"389","126.25","100","130","130","130","130","76","0","130","127","100","130"
"390","126.25","100","130","130","130","130","79","0","130","124","100","130"
"391","126.25","100","130","127","100","130","89","0","200","127","100","130"
"392","118.75","70","130","130","130","130","70","0","130","127","100","130"
"393","122.5","100","130","130","130","130","79","0","200","121","70","130"
"394","126.25","100","130","130","130","130","69","0","130","127","100","130"
"395","126.25","100","130","124","70","130","102","30","170","127","100","130"
"396","126.25","100","130","130","130","130","76","0","130","127","100","130"
"397","126.25","100","130","127","100","130","59","0","130","127","100","130"
"398","126.25","100","130","130","130","130","85","0","200","127","100","130"
"399","126.25","100","130","130","130","130","55","0","130","124","100","130"
