"Step","env: TAXI - ep_info/Objective","env: TAXI - ep_info/Objective__MIN","env: TAXI - ep_info/Objective__MAX","env: TAXI - ep_info/Illegal_action","env: TAXI - ep_info/Illegal_action__MIN","env: TAXI - ep_info/Illegal_action__MAX","env: TAXI - ep_info/Energy","env: TAXI - ep_info/Energy__MIN","env: TAXI - ep_info/Energy__MAX"
"202","0","0","0","-64","-67","-58","-136","-142","-133"
"203","0.4","0","1","-55.2","-72","-19","-110","-138","-47"
"204","0","0","0","-63.6","-65","-61","-136.4","-139","-135"
"205","0","0","0","-62.4","-67","-59","-137.6","-141","-133"
"206","0","0","0","-64.4","-73","-60","-135.6","-140","-127"
"207","0","0","0","-66.6","-72","-62","-133.4","-138","-128"
"208","0.2","0","1","-58.2","-69","-31","-120.4","-138","-62"
"209","0.2","0","1","-56.8","-67","-24","-120.2","-139","-61"
"210","0.4","0","1","-53.4","-67","-9","-108.8","-140","-20"
"211","0.2","0","1","-58.4","-76","-18","-114.6","-140","-47"
"212","0","0","0","-63","-67","-57","-137","-143","-133"
"213","0.4","0","1","-64.2","-75","-54","-124.2","-132","-108"
"214","0.4","0","1","-54.6","-65","-25","-118","-136","-69"
"215","0","0","0","-64.8","-68","-61","-135.2","-139","-132"
"216","0","0","0","-65","-67","-63","-135","-137","-133"
"217","0.2","0","1","-55.6","-65","-29","-124.8","-143","-73"
"218","0.2","0","1","-61.4","-66","-51","-131.6","-141","-114"
"219","0.2","0","1","-61.4","-69","-41","-121.6","-135","-74"
"220","0","0","0","-66.6","-69","-65","-133.4","-135","-131"
"221","0","0","0","-67.6","-70","-64","-132.4","-136","-130"
"222","0.2","0","1","-54.6","-69","-11","-112.8","-138","-26"
"223","0.2","0","1","-62.2","-67","-47","-126.8","-136","-98"
"224","0","0","0","-65","-66","-64","-135","-136","-134"
"225","0","0","0","-67.8","-71","-64","-132.2","-136","-129"
"226","0","0","0","-70","-74","-68","-130","-132","-126"
"227","0","0","0","-68.2","-73","-58","-131.8","-142","-127"
"228","0","0","0","-64.4","-72","-59","-135.6","-141","-128"
"229","0.2","0","1","-62","-66","-55","-131.8","-138","-114"
"230","0","0","0","-66.6","-72","-64","-133.4","-136","-128"
"231","0","0","0","-62.4","-67","-60","-137.6","-140","-133"
"232","0","0","0","-66.4","-69","-64","-133.6","-136","-131"
"233","0","0","0","-69","-72","-66","-131","-134","-128"
"234","0","0","0","-66.6","-68","-65","-133.4","-135","-132"
"235","0.2","0","1","-57.2","-69","-20","-115.8","-135","-45"
"236","0.2","0","1","-61.2","-65","-57","-133.2","-143","-111"
"237","0","0","0","-65.2","-66","-64","-134.8","-136","-134"
"238","0","0","0","-68.8","-73","-61","-131.2","-139","-127"
"239","0","0","0","-64.8","-70","-58","-135.2","-142","-130"
"240","0","0","0","-64.8","-68","-63","-135.2","-137","-132"
"241","0","0","0","-65.8","-71","-63","-134.2","-137","-129"
"242","0.2","0","1","-60","-69","-46","-128","-141","-94"
"243","0","0","0","-64.6","-70","-59","-135.4","-141","-130"
"244","0.2","0","1","-59","-70","-28","-118.2","-135","-58"
"245","0","0","0","-67.4","-72","-64","-132.6","-136","-128"
"246","0.2","0","1","-55.2","-69","-16","-115.2","-138","-36"
"247","0","0","0","-67.6","-70","-65","-132.4","-135","-130"
"248","0","0","0","-66.2","-71","-62","-133.8","-138","-129"
"249","0.2","0","1","-61.8","-69","-48","-128.2","-138","-102"
"250","0.2","0","1","-56.4","-71","-23","-123.8","-138","-78"
"251","0","0","0","-65","-71","-59","-135","-141","-129"
"252","0.4","0","1","-62","-67","-55","-131.6","-138","-115"
"253","0.2","0","1","-60.2","-67","-40","-128","-137","-101"
"254","0.4","0","1","-55.2","-64","-39","-123","-139","-99"
"255","0","0","0","-67.4","-74","-62","-132.6","-138","-126"
"256","0","0","0","-63.8","-67","-59","-136.2","-141","-133"
"257","0","0","0","-64.2","-69","-60","-135.8","-140","-131"
"258","0.2","0","1","-58.4","-68","-31","-116.6","-137","-44"
"259","0","0","0","-65.4","-69","-62","-134.6","-138","-131"
"260","0.2","0","1","-66","-73","-53","-126","-135","-107"
"261","0","0","0","-68.4","-74","-63","-131.6","-137","-126"
"262","0","0","0","-66.4","-74","-59","-133.6","-141","-126"
"263","0.4","0","1","-60.2","-69","-49","-123.4","-137","-92"
"264","0","0","0","-67.6","-71","-65","-132.4","-135","-129"
"265","0.2","0","1","-53.6","-69","-12","-116.8","-139","-40"
"266","0.2","0","1","-65.4","-67","-63","-133.2","-137","-128"
"267","0.4","0","1","-57.8","-71","-27","-113.8","-136","-50"
"268","0","0","0","-64.2","-71","-55","-135.8","-145","-129"
"269","0","0","0","-66.8","-73","-61","-133.2","-139","-127"
"270","0.2","0","1","-55","-67","-14","-116","-137","-41"
"271","0","0","0","-64.6","-69","-61","-135.4","-139","-131"
"272","0","0","0","-66.8","-72","-62","-133.2","-138","-128"
"273","0","0","0","-65.4","-73","-59","-134.6","-141","-127"
"274","0.2","0","1","-62.4","-68","-52","-128.8","-138","-104"
"275","0","0","0","-65.4","-69","-63","-134.6","-137","-131"
"276","0","0","0","-67.4","-70","-65","-132.6","-135","-130"
"277","0","0","0","-62.8","-66","-59","-137.2","-141","-134"
"278","0.2","0","1","-53.4","-68","-6","-112.2","-140","-22"
"279","0.2","0","1","-56.4","-72","-11","-111.8","-135","-30"
"280","0.2","0","1","-64.8","-73","-56","-130.4","-138","-120"
"281","0.2","0","1","-62.4","-68","-54","-130.8","-140","-112"
"282","0","0","0","-67.4","-70","-64","-132.6","-136","-130"
"283","0","0","0","-63.8","-65","-62","-136.2","-138","-135"
"284","0.2","0","1","-56.8","-73","-22","-117.8","-140","-51"
"285","0.2","0","1","-66.2","-73","-49","-129.6","-133","-127"
"286","0","0","0","-69.8","-75","-67","-130.2","-133","-125"
"287","0","0","0","-65.8","-71","-62","-134.2","-138","-129"
"288","0","0","0","-63","-66","-58","-137","-142","-134"
"289","0","0","0","-69.6","-73","-66","-130.4","-134","-127"
"290","0.4","0","1","-50.8","-64","-20","-114.2","-140","-58"
"291","0","0","0","-65","-68","-61","-135","-139","-132"
