"Step","env: TAXI - ep_info/Energy","env: TAXI - ep_info/Energy__MIN","env: TAXI - ep_info/Energy__MAX"
"592","-159.4","-199","-12"
"593","-45.8","-140","-11"
"594","-110.2","-197","-21"
"595","-127","-198","-6"
"596","-118.4","-197","-10"
"597","-124.2","-198","-9"
"598","-113.2","-198","-12"
"599","-129.2","-197","-32"
"600","-140.2","-199","-37"
"601","-161","-198","-127"
"602","-105.8","-199","-22"
"603","-48","-130","-9"
"604","-140.2","-198","-21"
"605","-102.6","-198","-21"
"606","-80.8","-198","-15"
"607","-53","-131","-10"
"608","-114.6","-197","-39"
"609","-124.2","-199","-11"
"610","-137.8","-198","-24"
"611","-118.2","-197","-13"
"612","-74.6","-197","-5"
"613","-114.6","-194","-10"
"614","-136.6","-198","-11"
"615","-77.2","-124","-33"
"616","-94","-197","-7"
"617","-90.2","-198","-9"
"618","-48","-194","-7"
"619","-141","-200","-11"
"620","-151","-200","-29"
"621","-143.8","-195","-8"
"622","-85.8","-197","-12"
"623","-141.8","-198","-33"
"624","-138","-197","-56"
"625","-106","-155","-7"
"626","-67","-98","-12"
"627","-58.4","-179","-7"
"628","-85.8","-175","-26"
"629","-86.4","-195","-8"
"630","-48.4","-123","-6"
"631","-53.4","-134","-6"
"632","-117.2","-199","-10"
"633","-147","-198","-6"
"634","-107.8","-196","-21"
"635","-111.2","-196","-39"
"636","-84.2","-193","-34"
"637","-98.4","-200","-20"
"638","-62.6","-100","-15"
"639","-105.8","-149","-10"
"640","-105","-196","-16"
"641","-84.8","-199","-11"
"642","-105.8","-198","-10"
"643","-76.8","-194","-16"
"644","-72.8","-197","-7"
"645","-136","-198","-11"
"646","-86.2","-194","-11"
"647","-95.4","-196","-15"
"648","-76.4","-195","-10"
"649","-82.8","-199","-13"
"650","-79.6","-196","-6"
"651","-59.2","-195","-7"
"652","-27","-85","-7"
"653","-92.4","-199","-19"
"654","-62.2","-195","-10"
"655","-54.6","-168","-12"
"656","-69.2","-158","-9"
"657","-90.8","-199","-33"
"658","-116.4","-195","-9"
"659","-21.8","-46","-11"
"660","-80.4","-196","-10"
"661","-110","-197","-6"
"662","-34.2","-74","-17"
"663","-82","-175","-18"
"664","-34.8","-112","-11"
"665","-86.8","-199","-10"
"666","-20.2","-49","-9"
"667","-67.8","-197","-21"
"668","-75.4","-141","-13"
"669","-39.8","-124","-8"
"670","-101.6","-197","-19"
"671","-61.6","-99","-12"
"672","-23.4","-58","-8"
"673","-91.6","-193","-9"
"674","-92.2","-167","-22"
"675","-78.2","-194","-20"
"676","-64.2","-196","-20"
"677","-127.6","-172","-37"
"678","-86.2","-194","-23"
"679","-95.6","-199","-12"
"680","-46.2","-90","-5"
"681","-48.6","-164","-10"
"682","-37.8","-84","-6"
"683","-101.2","-196","-10"
"684","-82.6","-196","-12"
"685","-102.4","-198","-27"
"686","-86","-195","-8"
"687","-83.2","-198","-9"
"688","-68.6","-155","-13"
"689","-49.6","-84","-10"
"690","-24.2","-47","-12"
"691","-53.6","-108","-15"
"692","-71","-164","-19"
"693","-67.6","-141","-14"
"694","-55.4","-194","-5"
"695","-91.2","-138","-13"
"696","-84.2","-179","-25"
"697","-13.6","-22","-9"
"698","-68.6","-163","-7"
"699","-22.2","-58","-10"
"700","-40.4","-117","-13"
"701","-29","-75","-5"
"702","-17","-24","-12"
"703","-30","-97","-9"
"704","-53.8","-198","-9"
"705","-92","-190","-10"
"706","-70.4","-130","-10"
"707","-20","-35","-10"
"708","-61.8","-197","-18"
"709","-25.4","-42","-10"
"710","-94.6","-199","-10"
"711","-26.4","-53","-9"
"712","-73.6","-194","-15"
"713","-15.4","-29","-6"
"714","-76.4","-139","-25"
"715","-28.6","-47","-16"
"716","-70","-185","-16"
"717","-52.6","-117","-11"
"718","-23.8","-50","-7"
"719","-56.4","-107","-22"
"720","-22.2","-45","-6"
"721","-62.8","-182","-12"
"722","-41.2","-68","-8"
"723","-22","-48","-5"
"724","-14.8","-17","-10"
"725","-35.8","-59","-14"
"726","-53","-94","-10"
"727","-51.4","-199","-9"
"728","-53.2","-196","-11"
"729","-17.4","-25","-10"
"730","-21.8","-44","-10"
"731","-33","-60","-11"
"732","-51.2","-105","-11"
"733","-22.2","-36","-15"
"734","-17","-21","-12"
"735","-12.4","-22","-7"
"736","-31.2","-67","-16"
"737","-38.2","-87","-8"
"738","-57.6","-174","-9"
"739","-44.6","-138","-10"
"740","-32.6","-97","-6"
"741","-28.4","-53","-12"
"742","-27.4","-57","-7"
"743","-60.2","-183","-13"
"744","-40.4","-80","-11"
"745","-35.8","-68","-10"
"746","-20.4","-25","-13"
"747","-75.6","-184","-22"
"748","-17.8","-46","-6"
"749","-28.6","-49","-9"
"750","-26.2","-64","-12"
"751","-27","-65","-13"
