"Step","env: TAXI - ep_info/Objective","env: TAXI - ep_info/Objective__MIN","env: TAXI - ep_info/Objective__MAX","env: TAXI - ep_info/Illegal_action","env: TAXI - ep_info/Illegal_action__MIN","env: TAXI - ep_info/Illegal_action__MAX","env: TAXI - ep_info/Energy","env: TAXI - ep_info/Energy__MIN","env: TAXI - ep_info/Energy__MAX"
"143","0.2","0","1","-56.2","-68","-23","-119","-138","-53"
"144","0.2","0","1","-65.6","-68","-62","-133.8","-135","-132"
"145","0.4","0","1","-54.6","-67","-17","-113.8","-136","-50"
"146","0","0","0","-66.8","-68","-66","-133.2","-134","-132"
"147","0.2","0","1","-65.2","-69","-60","-133.4","-140","-128"
"148","0","0","0","-63.6","-67","-60","-136.4","-140","-133"
"149","0.2","0","1","-62.6","-68","-45","-126.6","-134","-101"
"150","0.2","0","1","-53.4","-69","-5","-110.6","-136","-15"
"151","0","0","0","-65","-68","-64","-135","-136","-132"
"152","0.2","0","1","-51.8","-64","-11","-114.6","-140","-21"
"153","0.4","0","1","-53.4","-65","-37","-116.8","-138","-85"
"154","0.2","0","1","-53.6","-69","-16","-118.4","-145","-44"
"155","0.2","0","1","-57","-70","-28","-122","-139","-67"
"156","0.2","0","1","-60.2","-67","-45","-127.8","-140","-95"
"157","0.4","0","1","-56.2","-66","-35","-119.2","-136","-86"
"158","0.4","0","1","-45","-68","-8","-95.4","-137","-23"
"159","0.2","0","1","-59.4","-71","-21","-113.8","-135","-45"
"160","0.2","0","1","-60","-68","-49","-129.4","-145","-98"
"161","0.4","0","1","-61.6","-70","-53","-126","-137","-111"
"162","0.2","0","1","-54.2","-68","-9","-112","-137","-22"
"163","0.6","0","1","-50.6","-67","-33","-111.4","-136","-82"
"164","0.2","0","1","-60","-68","-40","-126.6","-136","-93"
"165","0.2","0","1","-62.2","-66","-57","-136.2","-143","-129"
"166","0.2","0","1","-61.6","-66","-47","-128","-136","-101"
