"Step","env: TAXI - ep_info/Illegal_action","env: TAXI - ep_info/Illegal_action__MIN","env: TAXI - ep_info/Illegal_action__MAX"
"762","-1.4","-7","0"
"763","-0.2","-1","0"
"764","-2","-8","0"
"765","-1.8","-4","0"
"766","-3.2","-7","0"
"767","-0.8","-3","0"
"768","-2.4","-7","0"
"769","-0.2","-1","0"
"770","-1.2","-4","0"
"771","-1.8","-4","0"
"772","-1.8","-8","0"
"773","-1.4","-4","0"
"774","-0.6","-1","0"
"775","-0.4","-1","0"
"776","0","0","0"
"777","-0.2","-1","0"
"778","-0.4","-1","0"
"779","-0.6","-2","0"
"780","-0.2","-1","0"
"781","-0.4","-1","0"
"782","-0.4","-1","0"
"783","-0.6","-3","0"
"784","-0.2","-1","0"
"785","-0.8","-2","0"
"786","-0.8","-4","0"
"787","0","0","0"
"788","-2.4","-6","0"
"789","-0.2","-1","0"
"790","-3.8","-16","0"
"791","-1","-2","0"
"792","-0.2","-1","0"
"793","-0.2","-1","0"
"794","-1.2","-6","0"
"795","-0.4","-1","0"
"796","-0.2","-1","0"
"797","-0.4","-1","0"
"798","-1.2","-3","0"
"799","-0.4","-2","0"
"800","-0.2","-1","0"
"801","0","0","0"
"802","-0.4","-1","0"
"803","-0.8","-2","0"
"804","-0.6","-3","0"
"805","-1.4","-4","0"
"806","-0.4","-1","0"
"807","-0.8","-3","0"
"808","-0.2","-1","0"
"809","-0.4","-1","0"
"810","0","0","0"
"811","-1.2","-5","0"
"812","-0.6","-2","0"
"813","-0.8","-3","0"
"814","-0.4","-1","0"
"815","-0.6","-3","0"
"816","-0.2","-1","0"
"817","-0.2","-1","0"
"818","0","0","0"
"819","0","0","0"
"820","-0.4","-1","0"
"821","-0.4","-1","0"
"822","0","0","0"
"823","-0.2","-1","0"
"824","0","0","0"
"825","0","0","0"
"826","-0.4","-2","0"
"827","-0.4","-1","0"
"828","-0.4","-1","0"
"829","-0.8","-3","0"
"830","0","0","0"
"831","-0.4","-2","0"
"832","-0.4","-1","0"
"833","-0.2","-1","0"
"834","-0.2","-1","0"
"835","-0.6","-2","0"
"836","-0.2","-1","0"
"837","-0.2","-1","0"
"838","-0.6","-2","0"
"839","-0.2","-1","0"
"840","0","0","0"
"841","-0.2","-1","0"
"842","-0.2","-1","0"
"843","-0.8","-3","0"
"844","-0.4","-1","0"
"845","-2.4","-12","0"
"846","-0.4","-2","0"
"847","-1.4","-2","-1"
"848","-0.8","-2","0"
"849","-0.8","-4","0"
"850","-0.4","-1","0"
"851","-0.6","-1","0"
"852","0","0","0"
"853","0","0","0"
"854","-0.2","-1","0"
"855","-0.6","-1","0"
"856","-0.4","-2","0"
"857","-0.4","-1","0"
"858","0","0","0"
"859","-0.6","-1","0"
"860","-1","-4","0"
"861","-0.6","-1","0"
"862","-0.4","-1","0"
"863","-0.4","-1","0"
"864","-0.4","-1","0"
"865","-0.2","-1","0"
"866","-0.2","-1","0"
