"Step","Reacher-Baseline_1757856680 - ep_info/Target2","Reacher-Baseline_1757856680 - ep_info/Target2__MIN","Reacher-Baseline_1757856680 - ep_info/Target2__MAX"
"96256","330.6152717556106","330.6152717556106","330.6152717556106"
"97280","385.44499525940046","385.44499525940046","385.44499525940046"
"98304","330.0796268778213","330.0796268778213","330.0796268778213"
"99328","159.0443083352402","159.0443083352402","159.0443083352402"
"100352","339.77339310370735","339.77339310370735","339.77339310370735"
"101376","326.7980409525335","326.7980409525335","326.7980409525335"
"102400","211.85590806102846","211.85590806102846","211.85590806102846"
"103424","134.60283207781322","134.60283207781322","134.60283207781322"
"104448","304.11800612811203","304.11800612811203","304.11800612811203"
"105472","331.1867461181282","331.1867461181282","331.1867461181282"
"106496","157.47244634028175","157.47244634028175","157.47244634028175"
"107520","334.3582464933861","334.3582464933861","334.3582464933861"
"108544","336.2193143872573","336.2193143872573","336.2193143872573"
"109568","381.32566400083306","381.32566400083306","381.32566400083306"
