"Step","env: DQNREACHER - ep_info/Target1","env: DQNREACHER - ep_info/Target1__MIN","env: DQNREACHER - ep_info/Target1__MAX"
"42000","361.3582805627957","361.3582805627957","361.3582805627957"
"43000","338.0140526872128","338.0140526872128","338.0140526872128"
"44000","537.8476045320276","537.8476045320276","537.8476045320276"
"45000","532.770766152069","532.770766152069","532.770766152069"
"46000","517.3538891170174","517.3538891170174","517.3538891170174"
"47000","448.2202638220042","448.2202638220042","448.2202638220042"
"48000","298.42234270554036","298.42234270554036","298.42234270554036"
"49000","366.41565665602684","366.41565665602684","366.41565665602684"
"50000","483.24256638996303","483.24256638996303","483.24256638996303"
"51000","260.41875688399887","260.41875688399887","260.41875688399887"
"52000","248.45927139854757","248.45927139854757","248.45927139854757"
"53000","578.2472004862502","578.2472004862502","578.2472004862502"
"54000","417.7275417018682","417.7275417018682","417.7275417018682"
"55000","444.145823427476","444.145823427476","444.145823427476"
"56000","587.9034072682261","587.9034072682261","587.9034072682261"
"57000","288.4827546844026","288.4827546844026","288.4827546844026"
"58000","436.73018158972263","436.73018158972263","436.73018158972263"
"59000","217.81929159814172","217.81929159814172","217.81929159814172"
"60000","389.86678647622466","389.86678647622466","389.86678647622466"
"61000","471.2284126933664","471.2284126933664","471.2284126933664"
"62000","448.073992382735","448.073992382735","448.073992382735"
"63000","354.03601824492216","354.03601824492216","354.03601824492216"
"64000","493.3746110983193","493.3746110983193","493.3746110983193"
"65000","311.2872697212151","311.2872697212151","311.2872697212151"
"66000","501.5270658582449","501.5270658582449","501.5270658582449"
"67000","526.7734834006114","526.7734834006114","526.7734834006114"
"68000","552.1555240098387","552.1555240098387","552.1555240098387"
"69000","535.3035583384335","535.3035583384335","535.3035583384335"
"70000","532.2778897546232","532.2778897546232","532.2778897546232"
"71000","363.45257739536464","363.45257739536464","363.45257739536464"
"72000","427.8862670091912","427.8862670091912","427.8862670091912"
"73000","396.2583147715777","396.2583147715777","396.2583147715777"
"74000","375.4399255849421","375.4399255849421","375.4399255849421"
"75000","543.0444156546146","543.0444156546146","543.0444156546146"
"76000","607.4509871436749","607.4509871436749","607.4509871436749"
"77000","428.09518703632057","428.09518703632057","428.09518703632057"
"78000","594.0669446717948","594.0669446717948","594.0669446717948"
"79000","325.49584954045713","325.49584954045713","325.49584954045713"
"80000","383.63315586932003","383.63315586932003","383.63315586932003"
"81000","426.843517659232","426.843517659232","426.843517659232"
"82000","329.9897891478613","329.9897891478613","329.9897891478613"
"83000","303.23220052197576","303.23220052197576","303.23220052197576"
"84000","480.83478156477213","480.83478156477213","480.83478156477213"
"85000","539.685890769586","539.685890769586","539.685890769586"
"86000","350.49544398859143","350.49544398859143","350.49544398859143"
"87000","237.76931850850815","237.76931850850815","237.76931850850815"
"88000","563.2317439392209","563.2317439392209","563.2317439392209"
"89000","538.2186872977763","538.2186872977763","538.2186872977763"
"90000","337.2501063346863","337.2501063346863","337.2501063346863"
"91000","371.5090784933418","371.5090784933418","371.5090784933418"
"92000","320.4457819070667","320.4457819070667","320.4457819070667"
"93000","603.5400447323918","603.5400447323918","603.5400447323918"
"94000","479.65632871724665","479.65632871724665","479.65632871724665"
"95000","271.6847786441431","271.6847786441431","271.6847786441431"
"96000","270.17320351880335","270.17320351880335","270.17320351880335"
"97000","424.0157069526613","424.0157069526613","424.0157069526613"
"98000","346.7619617264718","346.7619617264718","346.7619617264718"
"99000","329.4272112008184","329.4272112008184","329.4272112008184"
"100000","571.957012003375","571.957012003375","571.957012003375"
"101000","285.0982429329306","285.0982429329306","285.0982429329306"
"102000","542.235142881982","542.235142881982","542.235142881982"
"103000","581.6369511857629","581.6369511857629","581.6369511857629"
"104000","352.9646281450987","352.9646281450987","352.9646281450987"
"105000","511.2399304462597","511.2399304462597","511.2399304462597"
"106000","507.8776217661798","507.8776217661798","507.8776217661798"
"107000","468.19008732400835","468.19008732400835","468.19008732400835"
"108000","220.56751153437654","220.56751153437654","220.56751153437654"
