"Step","env: CHICKENBANANA - ep_info/Objective","env: CHICKENBANANA - ep_info/Objective__MIN","env: CHICKENBANANA - ep_info/Objective__MAX"
"505","100","100","100"
"506","90","0","100"
"507","90","0","100"
"508","90","0","100"
"509","90","0","100"
"510","90","0","100"
"511","90","0","100"
"512","90","0","100"
"513","90","0","100"
"514","90","0","100"
"515","90","0","100"
"516","90","0","100"
"517","100","100","100"
"518","90","0","100"
"519","90","0","100"
"520","90","0","100"
"521","90","0","100"
"522","90","0","100"
"523","90","0","100"
"524","90","0","100"
"525","90","0","100"
"526","90","0","100"
"527","90","0","100"
"528","90","0","100"
"529","90","0","100"
"530","90","0","100"
"531","90","0","100"
"532","90","0","100"
"533","90","0","100"
"534","90","0","100"
"535","90","0","100"
"536","90","0","100"
"537","90","0","100"
"538","90","0","100"
"539","90","0","100"
"540","90","0","100"
"541","90","0","100"
"542","90","0","100"
"543","90","0","100"
"544","90","0","100"
"545","90","0","100"
"546","90","0","100"
"547","90","0","100"
"548","90","0","100"
"549","90","0","100"
"550","90","0","100"
"551","90","0","100"
"552","90","0","100"
"553","90","0","100"
"554","90","0","100"
"555","90","0","100"
"556","90","0","100"
"557","90","0","100"
"558","90","0","100"
"559","90","0","100"
"560","90","0","100"
"561","90","0","100"
"562","100","100","100"
"563","90","0","100"
"564","90","0","100"
"565","100","100","100"
"566","90","0","100"
"567","90","0","100"
"568","90","0","100"
"569","90","0","100"
"570","80","0","100"
"571","90","0","100"
"572","90","0","100"
"573","90","0","100"
"574","90","0","100"
"575","90","0","100"
"576","90","0","100"
"577","90","0","100"
"578","90","0","100"
"579","90","0","100"
"580","90","0","100"
"581","90","0","100"
"582","90","0","100"
"583","90","0","100"
"584","90","0","100"
"585","90","0","100"
"586","90","0","100"
"587","90","0","100"
"588","90","0","100"
"589","90","0","100"
"590","90","0","100"
"591","90","0","100"
"592","90","0","100"
"593","90","0","100"
"594","90","0","100"
"595","90","0","100"
"596","90","0","100"
"597","90","0","100"
"598","100","100","100"
"599","90","0","100"
"600","90","0","100"
"601","90","0","100"
"602","90","0","100"
"603","90","0","100"
"604","90","0","100"
"605","90","0","100"
"606","90","0","100"
"607","90","0","100"
"608","90","0","100"
"609","90","0","100"
"610","90","0","100"
"611","90","0","100"
"612","90","0","100"
"613","90","0","100"
"614","90","0","100"
"615","90","0","100"
"616","90","0","100"
"617","90","0","100"
"618","90","0","100"
"619","90","0","100"
