"Step","env: CHICKENBANANA - ep_info/Chicken","env: CHICKENBANANA - ep_info/Chicken__MIN","env: CHICKENBANANA - ep_info/Chicken__MAX"
"691","21","0","70"
"692","21","0","70"
"693","21","0","70"
"694","21","0","70"
"695","21","0","70"
"696","21","0","70"
"697","21","0","70"
"698","21","0","70"
"699","21","0","70"
"700","28","0","70"
"701","21","0","70"
"702","21","0","70"
"703","21","0","70"
"704","21","0","70"
"705","21","0","70"
"706","21","0","70"
"707","21","0","70"
"708","21","0","70"
"709","21","0","70"
"710","21","0","70"
"711","21","0","70"
"712","21","0","70"
"713","21","0","70"
"714","14","0","70"
"715","28","0","70"
"716","21","0","70"
"717","21","0","70"
"718","28","0","70"
"719","21","0","70"
"720","28","0","70"
"721","21","0","70"
"722","28","0","70"
"723","21","0","70"
"724","28","0","70"
"725","28","0","70"
"726","21","0","70"
"727","21","0","70"
"728","21","0","70"
"729","21","0","70"
"730","28","0","70"
"731","21","0","70"
"732","21","0","70"
"733","21","0","70"
"734","28","0","70"
"735","21","0","70"
"736","28","0","70"
"737","21","0","70"
"738","28","0","70"
"739","35","0","70"
"740","35","0","70"
"741","28","0","70"
"742","35","0","70"
"743","35","0","70"
"744","35","0","70"
"745","35","0","70"
"746","28","0","70"
"747","28","0","70"
"748","28","0","70"
"749","28","0","70"
"750","28","0","70"
"751","28","0","70"
"752","35","0","70"
"753","28","0","70"
"754","28","0","70"
"755","14","0","70"
"756","21","0","70"
"757","28","0","70"
"758","21","0","70"
"759","21","0","70"
"760","21","0","70"
"761","21","0","70"
"762","21","0","70"
"763","28","0","70"
"764","21","0","70"
"765","21","0","70"
"766","21","0","70"
"767","21","0","70"
"768","21","0","70"
"769","21","0","70"
"770","21","0","70"
"771","28","0","70"
"772","21","0","70"
"773","21","0","70"
"774","21","0","70"
"775","21","0","70"
"776","35","0","70"
"777","21","0","70"
"778","21","0","70"
"779","21","0","70"
"780","28","0","70"
"781","21","0","70"
"782","21","0","70"
"783","21","0","70"
"784","21","0","70"
"785","28","0","70"
"786","21","0","70"
"787","28","0","70"
"788","21","0","70"
"789","28","0","70"
"790","21","0","70"
"791","21","0","70"
"792","28","0","70"
"793","21","0","70"
"794","21","0","70"
"795","21","0","70"
"796","21","0","70"
"797","21","0","70"
"798","28","0","70"
"799","35","0","70"
"800","28","0","70"
"801","28","0","70"
"802","21","0","70"
"803","35","0","70"
"804","28","0","70"
"805","28","0","70"
"806","21","0","70"
"807","28","0","70"
"808","28","0","70"
"809","28","0","70"
"810","21","0","70"
"811","21","0","70"
"812","21","0","70"
"813","21","0","70"
"814","21","0","70"
"815","21","0","70"
"816","21","0","70"
"817","21","0","70"
"818","28","0","70"
"819","35","0","70"
"820","35","0","70"
"821","35","0","70"
"822","35","0","70"
"823","35","0","70"
"824","35","0","70"
"825","35","0","70"
"826","35","0","70"
"827","35","0","70"
"828","28","0","70"
"829","35","0","70"
"830","28","0","70"
"831","28","0","70"
"832","28","0","70"
"833","28","0","70"
"834","35","0","70"
"835","21","0","70"
"836","21","0","70"
"837","35","0","70"
"838","28","0","70"
"839","28","0","70"
"840","35","0","70"
"841","28","0","70"
"842","35","0","70"
"843","28","0","70"
"844","35","0","70"
"845","28","0","70"
"846","35","0","70"
"847","35","0","70"
"848","28","0","70"
"849","28","0","70"
"850","35","0","70"
"851","35","0","70"
"852","28","0","70"
"853","28","0","70"
"854","28","0","70"
"855","35","0","70"
"856","28","0","70"
"857","35","0","70"
"858","28","0","70"
"859","21","0","70"
"860","28","0","70"
"861","28","0","70"
"862","28","0","70"
"863","28","0","70"
"864","28","0","70"
"865","28","0","70"
"866","28","0","70"
"867","28","0","70"
"868","28","0","70"
"869","21","0","70"
"870","35","0","70"
"871","35","0","70"
"872","42","0","70"
"873","28","0","70"
"874","35","0","70"
"875","35","0","70"
"876","42","0","70"
"877","42","0","70"
"878","42","0","70"
"879","35","0","70"
"880","35","0","70"
"881","28","0","70"
"882","35","0","70"
"883","35","0","70"
"884","35","0","70"
"885","42","0","70"
"886","35","0","70"
"887","42","0","70"
"888","35","0","70"
"889","42","0","70"
"890","42","0","70"
"891","42","0","70"
"892","42","0","70"
"893","42","0","70"
"894","42","0","70"
"895","42","0","70"
"896","35","0","70"
"897","42","0","70"
"898","42","0","70"
"899","42","0","70"
"900","42","0","70"
"901","42","0","70"
"902","35","0","70"
"903","42","0","70"
"904","42","0","70"
"905","42","0","70"
"906","42","0","70"
"907","42","0","70"
"908","42","0","70"
"909","42","0","70"
"910","42","0","70"
"911","42","0","70"
"912","42","0","70"
"913","42","0","70"
"914","42","0","70"
"915","42","0","70"
"916","42","0","70"
"917","42","0","70"
"918","35","0","70"
"919","42","0","70"
"920","42","0","70"
"921","42","0","70"
"922","42","0","70"
"923","42","0","70"
"924","42","0","70"
"925","42","0","70"
"926","49","0","70"
"927","42","0","70"
"928","49","0","70"
"929","49","0","70"
"930","49","0","70"
"931","42","0","70"
"932","49","0","70"
"933","42","0","70"
"934","42","0","70"
"935","42","0","70"
"936","42","0","70"
"937","42","0","70"
"938","35","0","70"
"939","42","0","70"
"940","42","0","70"
"941","42","0","70"
"942","49","0","70"
"943","42","0","70"
"944","42","0","70"
"945","42","0","70"
"946","42","0","70"
"947","42","0","70"
"948","42","0","70"
"949","35","0","70"
"950","42","0","70"
"951","42","0","70"
"952","42","0","70"
"953","35","0","70"
"954","42","0","70"
"955","42","0","70"
"956","49","0","70"
"957","42","0","70"
"958","42","0","70"
"959","42","0","70"
"960","35","0","70"
"961","42","0","70"
"962","42","0","70"
"963","42","0","70"
"964","42","0","70"
"965","42","0","70"
"966","42","0","70"
"967","42","0","70"
"968","42","0","70"
"969","42","0","70"
"970","42","0","70"
"971","42","0","70"
"972","42","0","70"
"973","42","0","70"
"974","42","0","70"
"975","42","0","70"
"976","42","0","70"
"977","49","0","70"
"978","49","0","70"
"979","49","0","70"
"980","42","0","70"
"981","42","0","70"
"982","42","0","70"
"983","42","0","70"
"984","35","0","70"
"985","42","0","70"
"986","42","0","70"
"987","42","0","70"
"988","42","0","70"
"989","42","0","70"
"990","42","0","70"
"991","42","0","70"
"992","35","0","70"
"993","35","0","70"
"994","42","0","70"
"995","42","0","70"
"996","49","0","70"
"997","49","0","70"
"998","42","0","70"
"999","35","0","70"
"1000","49","0","70"
"1001","49","0","70"
"1002","49","0","70"
"1003","49","0","70"
"1004","49","0","70"
"1005","49","0","70"
"1006","42","0","70"
"1007","42","0","70"
"1008","42","0","70"
"1009","42","0","70"
"1010","42","0","70"
"1011","42","0","70"
"1012","42","0","70"
"1013","42","0","70"
"1014","42","0","70"
"1015","42","0","70"
"1016","42","0","70"
"1017","42","0","70"
"1018","42","0","70"
"1019","42","0","70"
"1020","42","0","70"
"1021","42","0","70"
"1022","42","0","70"
"1023","42","0","70"
"1024","42","0","70"
"1025","42","0","70"
"1026","35","0","70"
"1027","42","0","70"
"1028","42","0","70"
"1029","35","0","70"
"1030","42","0","70"
"1031","42","0","70"
"1032","35","0","70"
"1033","42","0","70"
"1034","42","0","70"
"1035","42","0","70"
"1036","42","0","70"
"1037","42","0","70"
"1038","42","0","70"
"1039","42","0","70"
"1040","42","0","70"
"1041","42","0","70"
"1042","42","0","70"
"1043","42","0","70"
"1044","42","0","70"
"1045","42","0","70"
"1046","42","0","70"
"1047","42","0","70"
"1048","42","0","70"
"1049","49","0","70"
"1050","42","0","70"
"1051","42","0","70"
"1052","42","0","70"
"1053","42","0","70"
"1054","42","0","70"
"1055","42","0","70"
"1056","42","0","70"
"1057","42","0","70"
"1058","42","0","70"
"1059","42","0","70"
"1060","42","0","70"
"1061","42","0","70"
"1062","42","0","70"
"1063","42","0","70"
"1064","42","0","70"
"1065","42","0","70"
"1066","42","0","70"
"1067","35","0","70"
"1068","42","0","70"
"1069","35","0","70"
"1070","42","0","70"
"1071","42","0","70"
"1072","42","0","70"
"1073","42","0","70"
"1074","42","0","70"
"1075","35","0","70"
"1076","42","0","70"
"1077","42","0","70"
"1078","42","0","70"
"1079","42","0","70"
"1080","42","0","70"
"1081","35","0","70"
"1082","42","0","70"
"1083","42","0","70"
"1084","42","0","70"
"1085","42","0","70"
"1086","42","0","70"
"1087","42","0","70"
"1088","49","0","70"
"1089","42","0","70"
"1090","42","0","70"
"1091","42","0","70"
"1092","42","0","70"
"1093","42","0","70"
"1094","42","0","70"
"1095","42","0","70"
"1096","42","0","70"
"1097","42","0","70"
"1098","42","0","70"
"1099","42","0","70"
"1100","42","0","70"
"1101","42","0","70"
"1102","42","0","70"
"1103","42","0","70"
"1104","42","0","70"
"1105","49","0","70"
"1106","35","0","70"
"1107","42","0","70"
"1108","42","0","70"
"1109","42","0","70"
"1110","42","0","70"
"1111","35","0","70"
"1112","35","0","70"
"1113","42","0","70"
"1114","42","0","70"
"1115","42","0","70"
"1116","42","0","70"
"1117","42","0","70"
"1118","42","0","70"
"1119","42","0","70"
"1120","42","0","70"
"1121","42","0","70"
"1122","35","0","70"
"1123","42","0","70"
"1124","42","0","70"
"1125","42","0","70"
"1126","42","0","70"
"1127","42","0","70"
"1128","42","0","70"
"1129","42","0","70"
"1130","42","0","70"
"1131","42","0","70"
"1132","35","0","70"
"1133","42","0","70"
"1134","49","0","70"
"1135","49","0","70"
"1136","49","0","70"
"1137","49","0","70"
"1138","49","0","70"
"1139","42","0","70"
"1140","49","0","70"
"1141","49","0","70"
"1142","49","0","70"
"1143","42","0","70"
"1144","42","0","70"
"1145","42","0","70"
"1146","42","0","70"
"1147","42","0","70"
"1148","42","0","70"
"1149","42","0","70"
"1150","35","0","70"
"1151","42","0","70"
"1152","42","0","70"
"1153","42","0","70"
"1154","49","0","70"
"1155","49","0","70"
"1156","49","0","70"
"1157","49","0","70"
"1158","49","0","70"
"1159","49","0","70"
"1160","49","0","70"
"1161","49","0","70"
"1162","49","0","70"
"1163","49","0","70"
"1164","42","0","70"
"1165","49","0","70"
"1166","49","0","70"
"1167","49","0","70"
"1168","49","0","70"
"1169","49","0","70"
"1170","49","0","70"
"1171","49","0","70"
"1172","49","0","70"
"1173","49","0","70"
"1174","49","0","70"
"1175","49","0","70"
"1176","49","0","70"
"1177","49","0","70"
"1178","49","0","70"
"1179","42","0","70"
"1180","49","0","70"
"1181","42","0","70"
"1182","49","0","70"
"1183","49","0","70"
"1184","49","0","70"
"1185","49","0","70"
