"Step","env: CHICKENBANANA - ep_info/Objective","env: CHICKENBANANA - ep_info/Objective__MIN","env: CHICKENBANANA - ep_info/Objective__MAX"
"433","90","0","100"
"434","90","0","100"
"435","100","100","100"
"436","100","100","100"
"437","100","100","100"
"438","90","0","100"
"439","100","100","100"
"440","100","100","100"
"441","100","100","100"
"442","90","0","100"
"443","90","0","100"
"444","90","0","100"
"445","100","100","100"
"446","100","100","100"
"447","100","100","100"
"448","100","100","100"
"449","100","100","100"
"450","100","100","100"
"451","90","0","100"
"452","80","0","100"
"453","100","100","100"
"454","90","0","100"
"455","80","0","100"
"456","100","100","100"
"457","100","100","100"
"458","100","100","100"
"459","90","0","100"
"460","100","100","100"
"461","100","100","100"
"462","100","100","100"
"463","100","100","100"
"464","100","100","100"
"465","100","100","100"
"466","100","100","100"
"467","100","100","100"
"468","100","100","100"
"469","90","0","100"
"470","100","100","100"
"471","90","0","100"
"472","100","100","100"
"473","100","100","100"
"474","100","100","100"
"475","100","100","100"
"476","100","100","100"
"477","100","100","100"
"478","100","100","100"
"479","100","100","100"
"480","90","0","100"
"481","90","0","100"
"482","90","0","100"
"483","90","0","100"
"484","90","0","100"
"485","90","0","100"
"486","90","0","100"
"487","90","0","100"
"488","90","0","100"
"489","90","0","100"
"490","90","0","100"
"491","90","0","100"
"492","90","0","100"
"493","90","0","100"
"494","90","0","100"
"495","90","0","100"
"496","90","0","100"
"497","100","100","100"
"498","90","0","100"
"499","90","0","100"
"500","90","0","100"
"501","90","0","100"
"502","90","0","100"
"503","90","0","100"
"504","90","0","100"
"505","90","0","100"
"506","90","0","100"
"507","90","0","100"
"508","90","0","100"
"509","80","0","100"
"510","90","0","100"
"511","100","100","100"
"512","90","0","100"
"513","90","0","100"
"514","90","0","100"
"515","90","0","100"
"516","90","0","100"
"517","90","0","100"
"518","90","0","100"
"519","90","0","100"
"520","90","0","100"
"521","90","0","100"
"522","90","0","100"
"523","90","0","100"
"524","90","0","100"
"525","90","0","100"
"526","90","0","100"
"527","90","0","100"
"528","100","100","100"
"529","90","0","100"
"530","90","0","100"
"531","90","0","100"
"532","80","0","100"
"533","90","0","100"
"534","90","0","100"
"535","90","0","100"
"536","90","0","100"
"537","90","0","100"
"538","90","0","100"
"539","90","0","100"
"540","90","0","100"
"541","90","0","100"
"542","90","0","100"
"543","80","0","100"
"544","90","0","100"
"545","90","0","100"
"546","90","0","100"
"547","90","0","100"
"548","90","0","100"
"549","90","0","100"
"550","90","0","100"
"551","80","0","100"
"552","90","0","100"
"553","90","0","100"
"554","90","0","100"
"555","100","100","100"
"556","90","0","100"
"557","90","0","100"
"558","80","0","100"
"559","90","0","100"
"560","90","0","100"
"561","90","0","100"
"562","90","0","100"
"563","90","0","100"
"564","80","0","100"
"565","90","0","100"
"566","80","0","100"
"567","90","0","100"
"568","90","0","100"
"569","100","100","100"
"570","90","0","100"
"571","100","100","100"
"572","90","0","100"
"573","90","0","100"
"574","90","0","100"
"575","90","0","100"
"576","90","0","100"
"577","90","0","100"
"578","90","0","100"
"579","90","0","100"
"580","90","0","100"
"581","90","0","100"
"582","90","0","100"
"583","90","0","100"
"584","90","0","100"
"585","90","0","100"
"586","90","0","100"
"587","90","0","100"
