"Step","env: CHICKENBANANA - ep_info/Objective","env: CHICKENBANANA - ep_info/Objective__MIN","env: CHICKENBANANA - ep_info/Objective__MAX"
"443","60","0","100"
"444","70","0","100"
"445","80","0","100"
"446","70","0","100"
"447","80","0","100"
"448","60","0","100"
"449","80","0","100"
"450","70","0","100"
"451","80","0","100"
"452","70","0","100"
"453","70","0","100"
"454","80","0","100"
"455","60","0","100"
"456","80","0","100"
"457","70","0","100"
"458","50","0","100"
"459","50","0","100"
"460","60","0","100"
"461","60","0","100"
"462","70","0","100"
"463","70","0","100"
"464","70","0","100"
"465","60","0","100"
"466","60","0","100"
"467","60","0","100"
"468","60","0","100"
"469","30","0","100"
"470","70","0","100"
"471","60","0","100"
"472","40","0","100"
"473","70","0","100"
"474","30","0","100"
"475","60","0","100"
"476","50","0","100"
"477","50","0","100"
"478","80","0","100"
"479","60","0","100"
"480","70","0","100"
"481","80","0","100"
"482","60","0","100"
"483","90","0","100"
"484","50","0","100"
"485","80","0","100"
"486","80","0","100"
"487","80","0","100"
"488","80","0","100"
"489","70","0","100"
"490","70","0","100"
"491","50","0","100"
"492","50","0","100"
"493","80","0","100"
"494","80","0","100"
"495","80","0","100"
"496","60","0","100"
"497","50","0","100"
"498","60","0","100"
"499","60","0","100"
"500","50","0","100"
"501","70","0","100"
"502","70","0","100"
"503","60","0","100"
"504","50","0","100"
"505","70","0","100"
"506","60","0","100"
"507","70","0","100"
"508","70","0","100"
"509","70","0","100"
"510","60","0","100"
"511","80","0","100"
"512","70","0","100"
"513","70","0","100"
"514","70","0","100"
"515","80","0","100"
"516","80","0","100"
"517","90","0","100"
"518","80","0","100"
"519","80","0","100"
"520","60","0","100"
"521","80","0","100"
"522","60","0","100"
"523","80","0","100"
"524","80","0","100"
"525","70","0","100"
"526","70","0","100"
"527","60","0","100"
"528","60","0","100"
"529","90","0","100"
"530","50","0","100"
"531","70","0","100"
"532","70","0","100"
"533","60","0","100"
"534","80","0","100"
"535","80","0","100"
"536","70","0","100"
"537","80","0","100"
"538","60","0","100"
"539","60","0","100"
"540","70","0","100"
"541","70","0","100"
"542","80","0","100"
"543","80","0","100"
"544","70","0","100"
"545","80","0","100"
"546","80","0","100"
"547","90","0","100"
"548","80","0","100"
"549","80","0","100"
"550","90","0","100"
"551","70","0","100"
"552","90","0","100"
"553","60","0","100"
"554","80","0","100"
"555","70","0","100"
"556","70","0","100"
"557","60","0","100"
"558","70","0","100"
"559","70","0","100"
"560","70","0","100"
"561","70","0","100"
"562","80","0","100"
"563","80","0","100"
"564","70","0","100"
"565","70","0","100"
"566","60","0","100"
"567","60","0","100"
"568","60","0","100"
"569","70","0","100"
"570","80","0","100"
"571","60","0","100"
"572","60","0","100"
"573","60","0","100"
"574","80","0","100"
"575","70","0","100"
"576","60","0","100"
"577","80","0","100"
"578","60","0","100"
"579","80","0","100"
