"Step","env: CHICKENBANANA - ep_info/Banana","env: CHICKENBANANA - ep_info/Banana__MIN","env: CHICKENBANANA - ep_info/Banana__MAX"
"357","26.25","0","30"
"358","26.25","0","30"
"359","25.5","0","30"
"360","25.5","0","30"
"361","25.5","0","30"
"362","26.25","0","30"
"363","27.75","0","30"
"364","27.75","0","30"
"365","27.75","0","30"
"366","26.25","0","30"
"367","26.25","0","30"
"368","27","0","30"
"369","25.5","0","30"
"370","27","0","30"
"371","24.75","0","30"
"372","23.25","0","30"
"373","27","0","30"
"374","26.25","0","30"
"375","27","0","30"
"376","24.75","0","30"
"377","23.25","0","30"
"378","24.75","0","30"
"379","24","0","30"
"380","24.75","0","30"
"381","26.25","0","30"
"382","26.25","0","30"
"383","24","0","30"
"384","24","0","30"
"385","24.75","0","30"
"386","26.25","0","30"
"387","26.25","0","30"
"388","26.25","0","30"
"389","24.75","0","30"
"390","24","0","30"
"391","27","0","30"
"392","23.25","0","30"
"393","24","0","30"
"394","22.5","0","30"
"395","23.25","0","30"
"396","24","0","30"
"397","22.5","0","30"
"398","23.25","0","30"
"399","22.5","0","30"
"400","25.5","0","30"
"401","24.75","0","30"
"402","26.25","0","30"
"403","26.25","0","30"
"404","25.5","0","30"
"405","24","0","30"
"406","24.75","0","30"
"407","26.25","0","30"
"408","24.75","0","30"
"409","25.5","0","30"
"410","25.5","0","30"
"411","23.25","0","30"
"412","24.75","0","30"
"413","24.75","0","30"
"414","24.75","0","30"
"415","24.75","0","30"
"416","25.5","0","30"
"417","23.25","0","30"
"418","24.75","0","30"
"419","24.75","0","30"
"420","24","0","30"
"421","27","0","30"
"422","26.25","0","30"
"423","27","0","30"
"424","30","30","30"
"425","24","0","30"
"426","27","0","30"
"427","28.5","0","30"
"428","26.25","0","30"
"429","26.25","0","30"
"430","27","0","30"
"431","24.75","0","30"
"432","27.75","0","30"
"433","27","0","30"
"434","24.75","0","30"
"435","27","0","30"
"436","27.75","0","30"
"437","26.25","0","30"
"438","27","0","30"
"439","25.5","0","30"
"440","27","0","30"
"441","27","0","30"
"442","27","0","30"
"443","28.5","0","30"
"444","27","0","30"
"445","25.5","0","30"
"446","24.75","0","30"
"447","26.25","0","30"
"448","25.5","0","30"
"449","26.25","0","30"
"450","24","0","30"
"451","27.75","0","30"
"452","29.25","0","30"
"453","26.25","0","30"
"454","27","0","30"
"455","25.5","0","30"
"456","26.25","0","30"
"457","26.25","0","30"
"458","25.5","0","30"
"459","26.25","0","30"
"460","24.75","0","30"
"461","25.5","0","30"
"462","25.5","0","30"
"463","24","0","30"
"464","25.5","0","30"
"465","22.5","0","30"
"466","22.5","0","30"
"467","24","0","30"
"468","23.25","0","30"
"469","23.25","0","30"
"470","22.5","0","30"
"471","25.5","0","30"
"472","22.5","0","30"
"473","23.25","0","30"
"474","24","0","30"
"475","25.5","0","30"
"476","25.5","0","30"
"477","23.25","0","30"
"478","21.75","0","30"
"479","26.25","0","30"
"480","24.75","0","30"
"481","24.75","0","30"
"482","24","0","30"
"483","24","0","30"
"484","22.5","0","30"
"485","26.25","0","30"
"486","26.25","0","30"
"487","24.75","0","30"
"488","24","0","30"
"489","23.25","0","30"
"490","22.5","0","30"
"491","21.75","0","30"
"492","23.25","0","30"
"493","23.25","0","30"
"494","26.25","0","30"
"495","24.75","0","30"
"496","26.25","0","30"
"497","24.75","0","30"
"498","24.75","0","30"
"499","25.5","0","30"
"500","24","0","30"
"501","25.5","0","30"
"502","25.5","0","30"
"503","22.5","0","30"
"504","24.75","0","30"
"505","26.25","0","30"
"506","23.25","0","30"
"507","24.75","0","30"
"508","27","0","30"
"509","23.25","0","30"
"510","25.5","0","30"
"511","23.25","0","30"
"512","23.25","0","30"
"513","23.25","0","30"
"514","21.75","0","30"
"515","24.75","0","30"
"516","24.75","0","30"
"517","24.75","0","30"
"518","23.25","0","30"
"519","24.75","0","30"
"520","26.25","0","30"
"521","27","0","30"
"522","24","0","30"
"523","23.25","0","30"
"524","24.75","0","30"
"525","26.25","0","30"
"526","23.25","0","30"
"527","25.5","0","30"
"528","24","0","30"
"529","24.75","0","30"
"530","26.25","0","30"
"531","25.5","0","30"
"532","24.75","0","30"
"533","24.75","0","30"
"534","27","0","30"
"535","24.75","0","30"
"536","24.75","0","30"
"537","24.75","0","30"
"538","28.5","0","30"
"539","24.75","0","30"
"540","27.75","0","30"
"541","25.5","0","30"
"542","24","0","30"
"543","26.25","0","30"
"544","22.5","0","30"
"545","24.75","0","30"
"546","23.25","0","30"
"547","25.5","0","30"
"548","26.25","0","30"
"549","25.5","0","30"
"550","22.5","0","30"
"551","24.75","0","30"
"552","24","0","30"
"553","25.5","0","30"
"554","27","0","30"
"555","24.75","0","30"
"556","25.5","0","30"
"557","24","0","30"
"558","24.75","0","30"
"559","24","0","30"
"560","26.25","0","30"
"561","22.5","0","30"
"562","24.75","0","30"
"563","25.5","0","30"
"564","24","0","30"
"565","24.75","0","30"
"566","25.5","0","30"
"567","25.5","0","30"
"568","25.5","0","30"
"569","25.5","0","30"
"570","24.75","0","30"
"571","26.25","0","30"
"572","24","0","30"
"573","24","0","30"
"574","24","0","30"
"575","23.25","0","30"
"576","22.5","0","30"
"577","24.75","0","30"
"578","26.25","0","30"
"579","27","0","30"
"580","24.75","0","30"
"581","24.75","0","30"
"582","27","0","30"
"583","25.5","0","30"
"584","25.5","0","30"
"585","24.75","0","30"
"586","25.5","0","30"
"587","24.75","0","30"
"588","24","0","30"
"589","24","0","30"
"590","27","0","30"
"591","24","0","30"
"592","25.5","0","30"
"593","25.5","0","30"
"594","25.5","0","30"
"595","24.75","0","30"
"596","23.25","0","30"
"597","25.5","0","30"
"598","24.75","0","30"
"599","26.25","0","30"
"600","24","0","30"
"601","24","0","30"
"602","24.75","0","30"
"603","26.25","0","30"
"604","25.5","0","30"
"605","24","0","30"
"606","26.25","0","30"
"607","24.75","0","30"
"608","26.25","0","30"
"609","26.25","0","30"
"610","25.5","0","30"
"611","24.75","0","30"
"612","27.75","0","30"
"613","24.75","0","30"
"614","26.25","0","30"
"615","27","0","30"
"616","25.5","0","30"
"617","27","0","30"
"618","27.75","0","30"
"619","25.5","0","30"
"620","26.25","0","30"
"621","26.25","0","30"
"622","24.75","0","30"
"623","26.25","0","30"
"624","27","0","30"
"625","25.5","0","30"
"626","27","0","30"
"627","24.75","0","30"
"628","24","0","30"
"629","27","0","30"
"630","25.5","0","30"
"631","25.5","0","30"
"632","24.75","0","30"
"633","24.75","0","30"
"634","24.75","0","30"
"635","25.5","0","30"
"636","26.25","0","30"
"637","25.5","0","30"
"638","25.5","0","30"
"639","26.25","0","30"
"640","25.5","0","30"
"641","25.5","0","30"
"642","26.25","0","30"
"643","25.5","0","30"
"644","26.25","0","30"
"645","24","0","30"
"646","26.25","0","30"
"647","25.5","0","30"
"648","26.25","0","30"
"649","24.75","0","30"
"650","25.5","0","30"
"651","22.5","0","30"
"652","26.25","0","30"
"653","24","0","30"
"654","24.75","0","30"
"655","26.25","0","30"
"656","25.5","0","30"
"657","26.25","0","30"
"658","24","0","30"
"659","24.75","0","30"
"660","24.75","0","30"
"661","24","0","30"
"662","24.75","0","30"
"663","25.5","0","30"
"664","25.5","0","30"
"665","24.75","0","30"
"666","24.75","0","30"
"667","23.25","0","30"
"668","25.5","0","30"
"669","23.25","0","30"
"670","22.5","0","30"
"671","21","0","30"
"672","23.25","0","30"
"673","24.75","0","30"
"674","21.75","0","30"
"675","22.5","0","30"
"676","24.75","0","30"
"677","23.25","0","30"
"678","26.25","0","30"
"679","23.25","0","30"
"680","24","0","30"
"681","23.25","0","30"
"682","25.5","0","30"
"683","23.25","0","30"
"684","24.75","0","30"
"685","24.75","0","30"
"686","24","0","30"
"687","24.75","0","30"
"688","23.25","0","30"
"689","23.25","0","30"
"690","24.75","0","30"
"691","25.5","0","30"
"692","25.5","0","30"
"693","24.75","0","30"
"694","26.25","0","30"
"695","27.75","0","30"
"696","27","0","30"
"697","26.25","0","30"
"698","24.75","0","30"
"699","26.25","0","30"
"700","26.25","0","30"
"701","25.5","0","30"
"702","26.25","0","30"
"703","26.25","0","30"
"704","25.5","0","30"
"705","28.5","0","30"
"706","27","0","30"
"707","26.25","0","30"
"708","24","0","30"
"709","25.5","0","30"
"710","24.75","0","30"
"711","26.25","0","30"
"712","26.25","0","30"
"713","25.5","0","30"
"714","24.75","0","30"
"715","24.75","0","30"
"716","24","0","30"
"717","23.25","0","30"
"718","24","0","30"
"719","22.5","0","30"
"720","22.5","0","30"
"721","21","0","30"
"722","22.5","0","30"
"723","22.5","0","30"
"724","21","0","30"
"725","22.5","0","30"
"726","22.5","0","30"
"727","23.25","0","30"
"728","23.25","0","30"
"729","21","0","30"
"730","25.5","0","30"
"731","24.75","0","30"
"732","24.75","0","30"
"733","24","0","30"
"734","25.5","0","30"
"735","25.5","0","30"
"736","24","0","30"
"737","24.75","0","30"
"738","24","0","30"
"739","24","0","30"
"740","24.75","0","30"
"741","25.5","0","30"
"742","26.25","0","30"
"743","27","0","30"
"744","26.25","0","30"
"745","25.5","0","30"
"746","27","0","30"
"747","25.5","0","30"
"748","26.25","0","30"
"749","27","0","30"
"750","27","0","30"
"751","24","0","30"
"752","26.25","0","30"
"753","25.5","0","30"
"754","25.5","0","30"
"755","26.25","0","30"
"756","24.75","0","30"
"757","25.5","0","30"
"758","24.75","0","30"
"759","25.5","0","30"
"760","26.25","0","30"
"761","25.5","0","30"
"762","24.75","0","30"
"763","25.5","0","30"
"764","25.5","0","30"
"765","25.5","0","30"
"766","25.5","0","30"
"767","23.25","0","30"
"768","24","0","30"
"769","23.25","0","30"
"770","22.5","0","30"
"771","24.75","0","30"
"772","24","0","30"
"773","24.75","0","30"
"774","24","0","30"
"775","24.75","0","30"
"776","27","0","30"
"777","26.25","0","30"
"778","24.75","0","30"
"779","26.25","0","30"
"780","24.75","0","30"
"781","25.5","0","30"
"782","27","0","30"
"783","25.5","0","30"
"784","27","0","30"
"785","26.25","0","30"
"786","27.75","0","30"
"787","26.25","0","30"
"788","27","0","30"
"789","27","0","30"
"790","27.75","0","30"
"791","27.75","0","30"
"792","27","0","30"
"793","26.25","0","30"
"794","27.75","0","30"
"795","25.5","0","30"
"796","27","0","30"
"797","26.25","0","30"
"798","26.25","0","30"
"799","27","0","30"
"800","26.25","0","30"
"801","27","0","30"
"802","25.5","0","30"
"803","26.25","0","30"
"804","24.75","0","30"
"805","26.25","0","30"
"806","26.25","0","30"
"807","25.5","0","30"
"808","26.25","0","30"
"809","26.25","0","30"
"810","27","0","30"
"811","25.5","0","30"
"812","27","0","30"
"813","26.25","0","30"
"814","27.75","0","30"
"815","26.25","0","30"
"816","25.5","0","30"
"817","25.5","0","30"
"818","25.5","0","30"
"819","26.25","0","30"
"820","24","0","30"
"821","23.25","0","30"
"822","24.75","0","30"
"823","25.5","0","30"
"824","26.25","0","30"
"825","24.75","0","30"
"826","26.25","0","30"
"827","27","0","30"
"828","26.25","0","30"
"829","25.5","0","30"
"830","26.25","0","30"
"831","27","0","30"
"832","27.75","0","30"
"833","27.75","0","30"
"834","28.5","0","30"
"835","28.5","0","30"
"836","27.75","0","30"
"837","27","0","30"
"838","28.5","0","30"
"839","28.5","0","30"
"840","27.75","0","30"
"841","27.75","0","30"
"842","27.75","0","30"
"843","27","0","30"
"844","27","0","30"
"845","27","0","30"
"846","27","0","30"
"847","26.25","0","30"
"848","26.25","0","30"
"849","26.25","0","30"
"850","27","0","30"
"851","25.5","0","30"
"852","24.75","0","30"
"853","25.5","0","30"
"854","24.75","0","30"
"855","23.25","0","30"
"856","24.75","0","30"
"857","24.75","0","30"
"858","25.5","0","30"
"859","24.75","0","30"
"860","24.75","0","30"
"861","24.75","0","30"
"862","25.5","0","30"
"863","24","0","30"
"864","25.5","0","30"
"865","24.75","0","30"
"866","24.75","0","30"
"867","24.75","0","30"
"868","24","0","30"
"869","25.5","0","30"
"870","26.25","0","30"
"871","24.75","0","30"
"872","26.25","0","30"
"873","24.75","0","30"
"874","24.75","0","30"
"875","26.25","0","30"
"876","23.25","0","30"
"877","24","0","30"
"878","23.25","0","30"
"879","23.25","0","30"
"880","24","0","30"
"881","24","0","30"
"882","24.75","0","30"
"883","24.75","0","30"
"884","23.25","0","30"
"885","24.75","0","30"
"886","24","0","30"
"887","24","0","30"
"888","24.75","0","30"
"889","23.25","0","30"
"890","23.25","0","30"
"891","24.75","0","30"
"892","25.5","0","30"
"893","22.5","0","30"
"894","24","0","30"
"895","24","0","30"
"896","23.25","0","30"
"897","23.25","0","30"
"898","23.25","0","30"
"899","24.75","0","30"
"900","23.25","0","30"
"901","24","0","30"
"902","22.5","0","30"
"903","23.25","0","30"
"904","23.25","0","30"
"905","24","0","30"
"906","24","0","30"
"907","24","0","30"
"908","23.25","0","30"
"909","24.75","0","30"
"910","23.25","0","30"
"911","24.75","0","30"
"912","23.25","0","30"
"913","24.75","0","30"
"914","23.25","0","30"
"915","25.5","0","30"
"916","24","0","30"
"917","24.75","0","30"
"918","24","0","30"
"919","25.5","0","30"
"920","25.5","0","30"
"921","24.75","0","30"
"922","24.75","0","30"
"923","26.25","0","30"
"924","25.5","0","30"
"925","24.75","0","30"
"926","24.75","0","30"
"927","24.75","0","30"
"928","26.25","0","30"
"929","27","0","30"
"930","27.75","0","30"
"931","28.5","0","30"
"932","27.75","0","30"
"933","27.75","0","30"
"934","27.75","0","30"
"935","27.75","0","30"
"936","27","0","30"
"937","27","0","30"
"938","27","0","30"
"939","27.75","0","30"
"940","27.75","0","30"
"941","26.25","0","30"
"942","27.75","0","30"
"943","26.25","0","30"
"944","26.25","0","30"
"945","26.25","0","30"
"946","26.25","0","30"
"947","25.5","0","30"
"948","26.25","0","30"
"949","25.5","0","30"
"950","26.25","0","30"
"951","27","0","30"
"952","28.5","0","30"
"953","26.25","0","30"
"954","26.25","0","30"
"955","25.5","0","30"
"956","24.75","0","30"
"957","25.5","0","30"
"958","25.5","0","30"
"959","24.75","0","30"
"960","25.5","0","30"
"961","24.75","0","30"
"962","25.5","0","30"
"963","25.5","0","30"
"964","25.5","0","30"
"965","24.75","0","30"
"966","24.75","0","30"
"967","24.75","0","30"
"968","24.75","0","30"
"969","25.5","0","30"
"970","25.5","0","30"
"971","26.25","0","30"
"972","27","0","30"
"973","24","0","30"
"974","25.5","0","30"
"975","24.75","0","30"
"976","24.75","0","30"
"977","24.75","0","30"
"978","25.5","0","30"
"979","24.75","0","30"
"980","25.5","0","30"
"981","24","0","30"
"982","25.5","0","30"
"983","26.25","0","30"
"984","24.75","0","30"
"985","26.25","0","30"
"986","27","0","30"
"987","25.5","0","30"
"988","26.25","0","30"
"989","25.5","0","30"
"990","25.5","0","30"
"991","25.5","0","30"
"992","27","0","30"
"993","27","0","30"
"994","26.25","0","30"
"995","26.25","0","30"
"996","26.25","0","30"
"997","27","0","30"
"998","26.25","0","30"
"999","25.5","0","30"
"1000","27","0","30"
"1001","26.25","0","30"
"1002","27.75","0","30"
"1003","26.25","0","30"
"1004","25.5","0","30"
"1005","24.75","0","30"
"1006","24.75","0","30"
"1007","26.25","0","30"
"1008","25.5","0","30"
"1009","27","0","30"
"1010","25.5","0","30"
"1011","25.5","0","30"
"1012","25.5","0","30"
"1013","25.5","0","30"
"1014","26.25","0","30"
"1015","27.75","0","30"
"1016","27","0","30"
"1017","28.5","0","30"
"1018","27.75","0","30"
"1019","26.25","0","30"
"1020","27.75","0","30"
"1021","26.25","0","30"
"1022","27.75","0","30"
"1023","26.25","0","30"
"1024","27","0","30"
"1025","27","0","30"
"1026","25.5","0","30"
"1027","26.25","0","30"
"1028","27","0","30"
"1029","27.75","0","30"
"1030","27.75","0","30"
"1031","27","0","30"
"1032","27.75","0","30"
"1033","28.5","0","30"
"1034","27.75","0","30"
"1035","27.75","0","30"
"1036","27","0","30"
"1037","27","0","30"
"1038","27","0","30"
"1039","27","0","30"
"1040","27.75","0","30"
"1041","27.75","0","30"
"1042","27","0","30"
"1043","27.75","0","30"
"1044","29.25","0","30"
"1045","29.25","0","30"
"1046","28.5","0","30"
"1047","28.5","0","30"
"1048","27.75","0","30"
"1049","29.25","0","30"
"1050","27.75","0","30"
"1051","27.75","0","30"
"1052","27.75","0","30"
"1053","27","0","30"
"1054","27.75","0","30"
"1055","27","0","30"
"1056","27.75","0","30"
"1057","27","0","30"
"1058","27.75","0","30"
"1059","26.25","0","30"
"1060","27","0","30"
"1061","28.5","0","30"
"1062","26.25","0","30"
"1063","27.75","0","30"
"1064","27.75","0","30"
"1065","27","0","30"
"1066","28.5","0","30"
"1067","27","0","30"
"1068","28.5","0","30"
"1069","27","0","30"
"1070","27.75","0","30"
"1071","27.75","0","30"
"1072","27.75","0","30"
"1073","27.75","0","30"
"1074","28.5","0","30"
"1075","27","0","30"
"1076","26.25","0","30"
"1077","26.25","0","30"
"1078","27","0","30"
"1079","28.5","0","30"
"1080","27.75","0","30"
"1081","26.25","0","30"
"1082","27","0","30"
"1083","25.5","0","30"
"1084","26.25","0","30"
"1085","25.5","0","30"
"1086","26.25","0","30"
"1087","25.5","0","30"
"1088","26.25","0","30"
"1089","24.75","0","30"
"1090","27","0","30"
"1091","27","0","30"
"1092","27","0","30"
"1093","27.75","0","30"
"1094","27","0","30"
"1095","27","0","30"
"1096","26.25","0","30"
"1097","26.25","0","30"
"1098","27","0","30"
"1099","26.25","0","30"
"1100","27","0","30"
"1101","25.5","0","30"
"1102","26.25","0","30"
"1103","26.25","0","30"
"1104","27","0","30"
"1105","26.25","0","30"
