"Step","env: CHICKENBANANA - ep_info/Chicken","env: CHICKENBANANA - ep_info/Chicken__MIN","env: CHICKENBANANA - ep_info/Chicken__MAX"
"683","21","0","70"
"684","28","0","70"
"685","14","0","70"
"686","14","0","70"
"687","14","0","70"
"688","14","0","70"
"689","14","0","70"
"690","21","0","70"
"691","21","0","70"
"692","28","0","70"
"693","28","0","70"
"694","28","0","70"
"695","28","0","70"
"696","28","0","70"
"697","28","0","70"
"698","28","0","70"
"699","28","0","70"
"700","28","0","70"
"701","35","0","70"
"702","42","0","70"
"703","42","0","70"
"704","49","0","70"
"705","42","0","70"
"706","42","0","70"
"707","42","0","70"
"708","28","0","70"
"709","35","0","70"
"710","28","0","70"
"711","28","0","70"
"712","28","0","70"
"713","28","0","70"
"714","28","0","70"
"715","28","0","70"
"716","28","0","70"
"717","28","0","70"
"718","28","0","70"
"719","21","0","70"
"720","21","0","70"
"721","14","0","70"
"722","7","0","70"
"723","7","0","70"
"724","7","0","70"
"725","7","0","70"
"726","7","0","70"
"727","7","0","70"
"728","7","0","70"
"729","7","0","70"
"730","14","0","70"
"731","7","0","70"
"732","14","0","70"
"733","14","0","70"
"734","14","0","70"
"735","14","0","70"
"736","14","0","70"
"737","21","0","70"
"738","21","0","70"
"739","21","0","70"
"740","21","0","70"
"741","28","0","70"
"742","28","0","70"
"743","28","0","70"
"744","28","0","70"
"745","28","0","70"
"746","28","0","70"
"747","35","0","70"
"748","35","0","70"
"749","35","0","70"
"750","42","0","70"
"751","35","0","70"
"752","42","0","70"
"753","28","0","70"
"754","28","0","70"
"755","28","0","70"
"756","28","0","70"
"757","28","0","70"
"758","28","0","70"
"759","28","0","70"
"760","28","0","70"
"761","14","0","70"
"762","21","0","70"
"763","21","0","70"
"764","21","0","70"
"765","21","0","70"
"766","21","0","70"
"767","21","0","70"
"768","14","0","70"
"769","14","0","70"
"770","14","0","70"
"771","14","0","70"
"772","14","0","70"
"773","14","0","70"
"774","14","0","70"
"775","14","0","70"
"776","14","0","70"
"777","28","0","70"
"778","21","0","70"
"779","28","0","70"
"780","21","0","70"
"781","28","0","70"
"782","28","0","70"
"783","28","0","70"
"784","21","0","70"
"785","28","0","70"
"786","28","0","70"
"787","28","0","70"
"788","21","0","70"
"789","28","0","70"
"790","28","0","70"
"791","28","0","70"
"792","28","0","70"
"793","14","0","70"
"794","28","0","70"
"795","28","0","70"
"796","28","0","70"
"797","21","0","70"
"798","28","0","70"
"799","28","0","70"
"800","28","0","70"
"801","28","0","70"
"802","28","0","70"
"803","28","0","70"
"804","28","0","70"
"805","28","0","70"
"806","28","0","70"
"807","28","0","70"
"808","28","0","70"
"809","28","0","70"
"810","28","0","70"
"811","28","0","70"
"812","28","0","70"
"813","28","0","70"
"814","35","0","70"
"815","28","0","70"
"816","21","0","70"
"817","21","0","70"
"818","21","0","70"
"819","21","0","70"
"820","14","0","70"
"821","14","0","70"
"822","7","0","70"
"823","14","0","70"
"824","14","0","70"
"825","14","0","70"
"826","21","0","70"
"827","21","0","70"
"828","21","0","70"
"829","21","0","70"
"830","21","0","70"
"831","21","0","70"
"832","28","0","70"
"833","35","0","70"
"834","35","0","70"
"835","35","0","70"
"836","35","0","70"
"837","35","0","70"
"838","35","0","70"
"839","35","0","70"
"840","35","0","70"
"841","35","0","70"
"842","35","0","70"
"843","35","0","70"
"844","35","0","70"
"845","35","0","70"
"846","35","0","70"
"847","35","0","70"
"848","35","0","70"
"849","28","0","70"
"850","28","0","70"
"851","28","0","70"
"852","28","0","70"
"853","28","0","70"
"854","14","0","70"
"855","14","0","70"
"856","21","0","70"
