"Step","env: VSSEF - ep_info/Goal","env: VSSEF - ep_info/Goal__MIN","env: VSSEF - ep_info/Goal__MAX"
"12799","0","0","0"
"12811","0","0","0"
"12836","0","0","0"
"12868","0","0","0"
"12891","0","0","0"
"12895","0","0","0"
"12896","0","0","0"
"12898","0","0","0"
"12917","0","0","0"
"12945","0","0","0"
"12946","0","0","0"
"12960","0","0","0"
"12972","0","0","0"
"13032","0","0","0"
"13044","-1","-1","-1"
"13048","0","0","0"
"13062","0","0","0"
"13105","0","0","0"
"13127","0","0","0"
"13151","0","0","0"
"13161","0","0","0"
"13173","0","0","0"
"13179","0","0","0"
"13234","0","0","0"
"13243","0","0","0"
"13323","0","0","0"
"13346","0","0","0"
"13378","0","0","0"
"13401","0","0","0"
"13414","0","0","0"
"13417","0","0","0"
"13423","0","0","0"
"13435","0","0","0"
"13438","0","0","0"
"13452","0","0","0"
"13461","0","0","0"
"13470","0","0","0"
"13491","0","0","0"
"13517","0","0","0"
"13530","0","0","0"
"13550","0","0","0"
"13554","0","0","0"
"13559","0","0","0"
"13561","0","0","0"
"13579","0","0","0"
"13584","0","0","0"
"13593","0","0","0"
"13599","0","0","0"
"13636","0","0","0"
"13668","0","0","0"
"13681","0","0","0"
"13717","0","0","0"
"13735","0","0","0"
"13746","0","0","0"
"13760","0","0","0"
"13813","0","0","0"
"13817","0","0","0"
"13832","0","0","0"
"13844","0","0","0"
"13848","0","0","0"
"13852","0","0","0"
"13959","0","0","0"
"13993","0","0","0"
"13999","0","0","0"
"14011","0","0","0"
"14036","0","0","0"
"14037","0","0","0"
"14068","0","0","0"
"14081","0","0","0"
"14082","0","0","0"
"14098","0","0","0"
"14101","0","0","0"
"14114","0","0","0"
"14135","1","1","1"
"14160","0","0","0"
"14167","0","0","0"
"14178","0","0","0"
"14196","0","0","0"
"14214","0","0","0"
"14232","0","0","0"
"14235","0","0","0"
"14236","0","0","0"
"14244","0","0","0"
"14263","0","0","0"
"14270","0","0","0"
"14332","0","0","0"
"14382","0","0","0"
"14399","0","0","0"
"14423","0","0","0"
"14434","0","0","0"
"14443","0","0","0"
"14481","0","0","0"
"14501","0","0","0"
"14549","0","0","0"
"14553","0","0","0"
"14560","0","0","0"
"14567","0","0","0"
"14584","0","0","0"
"14585","0","0","0"
"14596","0","0","0"
"14632","0","0","0"
"14635","0","0","0"
"14640","0","0","0"
"14661","0","0","0"
"14670","0","0","0"
"14715","0","0","0"
"14730","0","0","0"
"14732","0","0","0"
"14744","0","0","0"
"14759","0","0","0"
"14793","0","0","0"
"14799","0","0","0"
"14823","0","0","0"
"14836","0","0","0"
"14837","0","0","0"
"14868","0","0","0"
"14935","0","0","0"
"14953","0","0","0"
"14985","0","0","0"
"15020","0","0","0"
"15032","0","0","0"
"15035","0","0","0"
"15062","0","0","0"
"15063","0","0","0"
"15070","0","0","0"
"15073","0","0","0"
"15117","0","0","0"
"15133","0","0","0"
"15150","0","0","0"
"15159","0","0","0"
"15182","0","0","0"
"15184","0","0","0"
"15186","0","0","0"
"15199","0","0","0"
"15202","-1","-1","-1"
"15211","0","0","0"
"15219","0","0","0"
"15223","0","0","0"
"15290","0","0","0"
"15298","0","0","0"
"15307","0","0","0"
"15310","0","0","0"
"15335","0","0","0"
"15349","0","0","0"
"15360","0","0","0"
"15372","0","0","0"
"15413","0","0","0"
"15432","0","0","0"
"15435","0","0","0"
"15436","0","0","0"
"15473","0","0","0"
"15559","0","0","0"
"15599","0","0","0"
"15668","0","0","0"
"15675","0","0","0"
"15681","0","0","0"
"15696","0","0","0"
"15698","0","0","0"
"15700","0","0","0"
"15701","0","0","0"
"15807","0","0","0"
"15828","0","0","0"
"15835","0","0","0"
"15862","0","0","0"
"15863","0","0","0"
"15873","0","0","0"
"15915","0","0","0"
"16036","0","0","0"
"16075","0","0","0"
"16081","0","0","0"
"16100","0","0","0"
"16106","0","0","0"
"16123","0","0","0"
"16135","0","0","0"
"16149","0","0","0"
"16172","0","0","0"
"16201","0","0","0"
"16235","0","0","0"
"16252","0","0","0"
"16263","1","1","1"
"16270","0","0","0"
"16313","0","0","0"
"16317","0","0","0"
"16332","-1","-1","-1"
"16366","0","0","0"
"16367","0","0","0"
"16379","0","0","0"
"16391","0","0","0"
"16458","0","0","0"
"16481","0","0","0"
"16490","0","0","0"
"16523","0","0","0"
"16549","0","0","0"
"16553","0","0","0"
"16573","1","1","1"
"16594","0","0","0"
"16601","0","0","0"
"16607","0","0","0"
"16617","0","0","0"
"16623","0","0","0"
"16635","0","0","0"
"16648","0","0","0"
"16652","0","0","0"
"16663","0","0","0"
"16700","0","0","0"
"16713","0","0","0"
"16715","0","0","0"
"16717","0","0","0"
"16730","0","0","0"
"16737","0","0","0"
"16744","0","0","0"
"16766","0","0","0"
"16790","0","0","0"
"16791","0","0","0"
"16799","0","0","0"
"16834","0","0","0"
"16868","0","0","0"
"16886","0","0","0"
"16890","0","0","0"
"16891","0","0","0"
"16898","0","0","0"
"16906","0","0","0"
"16973","0","0","0"
"17007","0","0","0"
"17017","0","0","0"
"17023","0","0","0"
"17038","0","0","0"
"17048","0","0","0"
"17061","0","0","0"
"17118","0","0","0"
"17137","0","0","0"
"17172","0","0","0"
"17186","0","0","0"
"17190","0","0","0"
"17207","0","0","0"
"17219","0","0","0"
"17275","0","0","0"
"17310","0","0","0"
"17315","0","0","0"
"17326","0","0","0"
"17335","0","0","0"
"17436","0","0","0"
"17438","0","0","0"
"17440","0","0","0"
"17452","0","0","0"
"17470","0","0","0"
"17515","0","0","0"
"17527","0","0","0"
"17532","0","0","0"
"17550","0","0","0"
"17567","0","0","0"
"17582","0","0","0"
"17591","0","0","0"
"17599","0","0","0"
"17643","0","0","0"
"17661","0","0","0"
"17675","0","0","0"
"17682","0","0","0"
"17694","-1","-1","-1"
"17698","0","0","0"
"17710","0","0","0"
"17726","0","0","0"
"17773","0","0","0"
"17794","0","0","0"
"17817","0","0","0"
"17835","0","0","0"
"17848","0","0","0"
"17870","0","0","0"
"17891","0","0","0"
"17894","0","0","0"
"17932","0","0","0"
"17944","0","0","0"
"17950","0","0","0"
"17986","0","0","0"
"17999","0","0","0"
"18028","0","0","0"
"18033","0","0","0"
"18082","0","0","0"
"18090","0","0","0"
"18223","0","0","0"
"18240","0","0","0"
"18252","0","0","0"
"18262","0","0","0"
"18263","0","0","0"
"18270","0","0","0"
"18291","0","0","0"
"18300","0","0","0"
"18332","0","0","0"
"18354","0","0","0"
"18391","0","0","0"
"18399","0","0","0"
"18423","0","0","0"
"18433","0","0","0"
"18461","0","0","0"
"18491","0","0","0"
"18526","0","0","0"
"18549","0","0","0"
"18584","0","0","0"
"18607","0","0","0"
"18610","0","0","0"
"18613","0","0","0"
"18628","0","0","0"
"18635","0","0","0"
"18638","0","0","0"
"18640","0","0","0"
"18648","0","0","0"
"18653","0","0","0"
"18655","0","0","0"
"18670","0","0","0"
"18692","0","0","0"
"18700","0","0","0"
"18718","0","0","0"
"18732","0","0","0"
"18750","0","0","0"
"18784","0","0","0"
"18786","0","0","0"
"18819","0","0","0"
"18828","0","0","0"
"18882","0","0","0"
"18900","0","0","0"
"18935","0.3333333333333333","0","1"
"18953","0","0","0"
"19052","0","0","0"
"19061","0","0","0"
"19062","0","0","0"
"19100","0","0","0"
"19118","0","0","0"
"19147","-1","-1","-1"
"19156","0","0","0"
"19199","0","0","0"
"19234","0","0","0"
"19315","0","0","0"
"19401","0","0","0"
"19420","0","0","0"
"19435","0","0","0"
"19436","0","0","0"
"19437","0","0","0"
"19446","0","0","0"
"19462","0","0","0"
"19463","0","0","0"
"19517","0","0","0"
"19518","0","0","0"
"19532","0","0","0"
"19547","0","0","0"
"19565","0","0","0"
"19566","0","0","0"
"19567","0","0","0"
"19590","0","0","0"
"19591","0","0","0"
"19602","0","0","0"
"19611","0","0","0"
"19623","0","0","0"
"19675","0","0","0"
"19678","1","1","1"
"19698","0","0","0"
"19715","0","0","0"
"19749","0","0","0"
"19794","0","0","0"
"19802","0","0","0"
"19810","0","0","0"
