"Step","env: VSSEF - ep_info/Goal","env: VSSEF - ep_info/Goal__MIN","env: VSSEF - ep_info/Goal__MAX"
"15759","0","0","0"
"15781","0","0","0"
"15794","0","0","0"
"15823","0","0","0"
"15843","0","0","0"
"15849","-1","-1","-1"
"15857","0","0","0"
"15863","0","0","0"
"15873","0","0","0"
"15883","0","0","0"
"15965","0","0","0"
"15999","0","0","0"
"16036","0","0","0"
"16056","0","0","0"
"16072","0","0","0"
"16097","0","0","0"
"16179","0","0","0"
"16205","0","0","0"
"16274","0","0","0"
"16325","0","0","0"
"16341","0","0","0"
"16359","0","0","0"
"16375","0","0","0"
"16389","0","0","0"
"16399","0","0","0"
"16414","0","0","0"
"16423","0","0","0"
"16426","-1","-1","-1"
"16469","0","0","0"
"16476","0","0","0"
"16521","0","0","0"
"16556","1","1","1"
"16584","0","0","0"
"16599","0","0","0"
"16643","0","0","0"
"16657","0","0","0"
"16658","0","0","0"
"16663","0","0","0"
"16673","0","0","0"
"16690","0","0","0"
"16765","0","0","0"
"16799","0","0","0"
"16826","0","0","0"
"16875","0","0","0"
"16903","0","0","0"
"16909","0","0","0"
"16922","0","0","0"
"16956","0","0","0"
"16974","0","0","0"
"16979","0","0","0"
"16981","0","0","0"
"16988","0","0","0"
"17007","0","0","0"
"17048","0","0","0"
"17071","0","0","0"
"17072","0","0","0"
"17073","0","0","0"
"17090","0","0","0"
"17126","0","0","0"
"17131","0","0","0"
"17170","0","0","0"
"17199","0","0","0"
"17222","0","0","0"
"17236","0","0","0"
"17276","0","0","0"
"17295","0","0","0"
"17296","0","0","0"
"17297","0","0","0"
"17309","0","0","0"
"17374","0","0","0"
"17381","0","0","0"
"17405","0","0","0"
"17436","0","0","0"
"17462","0","0","0"
"17570","0","0","0"
"17575","0","0","0"
"17589","0","0","0"
"17599","0","0","0"
"17623","0","0","0"
"17632","0","0","0"
"17636","0","0","0"
"17681","0","0","0"
"17697","0","0","0"
"17709","0","0","0"
"17722","0","0","0"
"17730","0","0","0"
"17735","0","0","0"
"17762","0","0","0"
"17863","0","0","0"
"17889","0","0","0"
"17890","0","0","0"
"17940","0","0","0"
"17959","0","0","0"
"17970","0","0","0"
"17999","0","0","0"
"18032","0","0","0"
"18056","0","0","0"
"18097","0","0","0"
"18150","0","0","0"
"18174","0","0","0"
"18190","0","0","0"
"18205","0","0","0"
"18257","0","0","0"
"18262","0","0","0"
"18273","0","0","0"
"18280","0","0","0"
"18283","0","0","0"
"18344","0","0","0"
"18355","0","0","0"
"18399","0","0","0"
"18440","0","0","0"
"18448","0","0","0"
"18457","0","0","0"
"18469","0","0","0"
"18509","0","0","0"
"18550","0","0","0"
"18581","0","0","0"
"18599","0","0","0"
"18658","0","0","0"
"18690","0","0","0"
"18725","0","0","0"
"18740","0","0","0"
"18744","0","0","0"
"18762","0","0","0"
"18781","0","0","0"
"18807","-1","-1","-1"
"18823","0","0","0"
"18848","0","0","0"
"18851","0","0","0"
"18856","0","0","0"
"18869","0","0","0"
"18872","0","0","0"
"18881","0","0","0"
"18891","1","1","1"
"18896","0","0","0"
"18950","0","0","0"
"18959","0","0","0"
"19005","0","0","0"
"19036","0","0","0"
"19046","-1","-1","-1"
"19072","0","0","0"
"19140","0","0","0"
"19194","0","0","0"
"19288","0","0","0"
"19309","0","0","0"
"19322","0","0","0"
"19330","0","0","0"
"19339","-1","-1","-1"
"19348","0","0","0"
"19379","0","0","0"
"19382","-1","-1","-1"
"19390","0","0","0"
"19394","0","0","0"
"19412","0","0","0"
"19458","0","0","0"
"19462","0","0","0"
"19490","0","0","0"
"19540","0","0","0"
"19541","0","0","0"
"19557","0","0","0"
"19599","0","0","0"
"19623","0","0","0"
"19662","0","0","0"
"19672","0","0","0"
"19675","0","0","0"
"19697","0","0","0"
"19698","0","0","0"
"19703","0","0","0"
"19730","0","0","0"
"19739","0","0","0"
"19748","0","0","0"
"19779","0","0","0"
"19784","0","0","0"
"19788","0","0","0"
"19803","0","0","0"
"19825","-1","-1","-1"
"19845","0","0","0"
"19858","0","0","0"
"19862","0","0","0"
"19871","0","0","0"
"19925","0","0","0"
"19944","0","0","0"
"19949","0","0","0"
"19957","0","0","0"
"19959","0","0","0"
"19975","0","0","0"
"20007","0","0","0"
"20022","0","0","0"
"20056","0","0","0"
"20057","0","0","0"
"20097","0","0","0"
"20150","0","0","0"
"20156","0","0","0"
"20159","0","0","0"
"20181","0","0","0"
"20184","0","0","0"
"20236","0","0","0"
"20248","0","0","0"
"20272","0","0","0"
"20273","0","0","0"
"20276","0","0","0"
"20355","0","0","0"
"20381","0","0","0"
"20389","0","0","0"
"20399","0","0","0"
"20425","0","0","0"
"20440","0","0","0"
"20456","0","0","0"
"20469","0","0","0"
"20472","0","0","0"
"20497","0","0","0"
"20503","0","0","0"
"20539","0","0","0"
"20556","0","0","0"
"20584","0","0","0"
"20597","1","1","1"
"20605","0","0","0"
"20625","0","0","0"
"20630","0","0","0"
"20671","0","0","0"
"20690","0","0","0"
"20725","0","0","0"
"20821","-1","-1","-1"
"20851","0","0","0"
"20869","0","0","0"
"20876","0","0","0"
"20881","0","0","0"
"20891","0","0","0"
"20897","0","0","0"
"20907","-1","-1","-1"
"20921","0","0","0"
"20934","0","0","0"
"20939","-0.5","-1","0"
"20956","0","0","0"
"20984","0","0","0"
"21033","0","0","0"
"21045","0","0","0"
"21073","0","0","0"
"21076","0","0","0"
"21083","0","0","0"
"21125","0","0","0"
"21144","0","0","0"
"21187","0","0","0"
"21194","0","0","0"
"21201","0","-1","1"
"21221","0","0","0"
"21226","0","0","0"
"21240","0","0","0"
"21257","0","0","0"
"21272","0","0","0"
"21275","0","0","0"
"21297","0","0","0"
"21321","0","0","0"
"21352","0","0","0"
"21356","0","0","0"
"21388","0","0","0"
"21403","0","0","0"
"21436","-1","-1","-1"
"21448","0","0","0"
"21472","0","0","0"
"21476","0","0","0"
"21480","0","0","0"
"21513","0","0","0"
"21525","0","0","0"
"21562","0","0","0"
"21589","0","0","0"
"21594","0","0","0"
"21609","0","0","0"
"21626","0","0","0"
"21634","1","1","1"
"21636","-1","-1","-1"
"21675","0","0","0"
"21697","0","0","0"
"21739","0","0","0"
"21756","0","0","0"
"21790","0","0","0"
"21805","0","0","0"
"21830","0","0","0"
"21833","0","0","0"
"21872","0","0","0"
"21880","0","0","0"
"21990","0","0","0"
"22001","0","0","0"
"22007","0","0","0"
"22009","0","0","0"
"22023","0","0","0"
"22026","0","0","0"
"22069","0","0","0"
"22097","0","0","0"
"22121","0","0","0"
"22148","0","0","0"
"22179","0","0","0"
"22212","0","0","0"
"22236","0","0","0"
"22272","0","0","0"
"22312","0","0","0"
"22376","0","0","0"
"22387","0","0","0"
"22389","0","0","0"
"22401","0","0","0"
"22407","0","0","0"
"22409","0","0","0"
"22475","0","0","0"
"22491","0","0","0"
"22498","0","0","0"
"22574","0","0","0"
"22612","0","0","0"
"22667","0","0","0"
"22672","0","0","0"
"22677","1","1","1"
"22774","0","0","0"
"22780","0","0","0"
"22781","0","0","0"
"22787","0","0","0"
"22789","0","0","0"
"22799","0","0","0"
"22809","0","0","0"
"22851","0","0","0"
"22869","0","0","0"
"22891","0","0","0"
"22897","0","0","0"
"22898","0","0","0"
"22939","0","0","0"
"22974","0","0","0"
"22988","0","0","0"
"23030","0","0","0"
"23033","0","0","0"
"23067","0","0","0"
"23072","0","0","0"
"23073","0","0","0"
"23099","1","1","1"
"23103","1","1","1"
"23104","1","1","1"
"23140","0","0","0"
"23158","0","0","0"
"23170","0","0","0"
"23174","0","0","0"
"23192","0","0","0"
"23199","0","0","0"
"23234","0","0","0"
"23236","0","0","0"
"23256","0","0","0"
"23295","0","0","0"
"23309","0","0","0"
"23320","0","0","0"
"23330","0","0","0"
"23399","0","0","0"
"23403","0","0","0"
"23411","0","0","0"
"23425","0","0","0"
"23433","0","0","0"
"23436","0","0","0"
"23462","0","0","0"
"23464","0","0","0"
"23467","0","0","0"
"23471","0","0","0"
"23480","0","0","0"
"23559","0","0","0"
"23592","0","0","0"
"23594","0","0","0"
"23601","0","0","0"
"23623","0","0","0"
"23625","0","0","0"
"23647","0","0","0"
"23695","0","0","0"
"23697","0","0","0"
"23720","0","0","0"
"23721","0","0","0"
"23739","0","0","0"
"23742","0","0","0"
"23754","0","0","0"
"23759","0","0","0"
"23797","0","0","0"
"23812","0","0","0"
"23836","0","0","0"
"23867","0","0","0"
"23871","0","0","0"
"23877","0","0","0"
"23888","-1","-1","-1"
"23990","0","0","0"
"23999","0","0","0"
"24001","0","0","0"
"24023","0","0","0"
"24040","0","0","0"
"24056","0","0","0"
"24077","-1","-1","-1"
"24120","0","0","0"
"24148","0","0","0"
"24182","0","0","0"
"24199","0","0","0"
"24203","0","0","0"
"24233","0","0","0"
"24248","0","0","0"
"24273","0","0","0"
"24288","0","0","0"
"24304","0","0","0"
"24312","0","0","0"
"24328","0","0","0"
"24357","0","0","0"
"24358","0","0","0"
"24376","0","0","0"
"24381","0","0","0"
"24389","0","0","0"
"24394","0","0","0"
"24399","0","0","0"
"24407","0","0","0"
"24418","-1","-1","-1"
"24423","0","0","0"
"24440","0","0","0"
"24442","0","0","0"
"24477","0","0","0"
"24497","0","0","0"
"24513","0","0","0"
"24530","0","0","0"
"24534","0","0","0"
"24548","0","0","0"
"24554","0","0","0"
"24579","0","0","0"
"24585","0","0","0"
"24605","0","0","0"
"24611","0","0","0"
"24612","0","0","0"
"24617","-1","-1","-1"
"24623","0","0","0"
"24664","0","0","0"
"24672","0","0","0"
"24677","0","0","0"
"24699","0","0","0"
"24712","0","0","0"
"24740","0","0","0"
"24758","0","0","0"
"24787","0","0","0"
"24799","0","0","0"
"24840","0","0","0"
"24842","0","0","0"
"24853","-1","-1","-1"
"24856","0","0","0"
"24863","0","0","0"
"24872","0","0","0"
"24881","0","0","0"
"24895","0","0","0"
"24913","0","0","0"
"24920","0","0","0"
"24921","0","0","0"
"24939","0","0","0"
"24956","0","0","0"
"24982","0","0","0"
"25003","0","0","0"
"25005","0","0","0"
"25011","0","0","0"
"25033","0","0","0"
"25037","0","0","0"
"25071","0","0","0"
"25088","0","0","0"
"25103","0","0","0"
"25107","1","1","1"
"25174","0","0","0"
"25181","0","0","0"
"25199","0","0","0"
"25218","0","0","0"
"25247","0","0","0"
"25253","0","0","0"
"25257","0","0","0"
"25279","0","0","0"
"25281","0","0","0"
"25313","0","0","0"
"25321","0","0","0"
"25348","0","0","0"
"25358","0","0","0"
"25458","0","0","0"
"25472","0","0","0"
"25499","0","0","0"
"25503","0","0","0"
"25504","0","0","0"
"25507","0","0","0"
"25564","-1","-1","-1"
"25589","0","0","0"
"25599","0","0","0"
"25657","0","0","0"
"25676","0","0","0"
"25750","0","0","0"
"25756","0","0","0"
"25833","0","0","0"
"25882","0","0","0"
"25919","0","0","0"
"25928","0","0","0"
"25940","0","0","0"
"25971","0","0","0"
"25974","0","0","0"
"25976","0","0","0"
"25987","0","0","0"
"25992","0","0","0"
"26004","0","0","0"
"26007","0","0","0"
"26042","0","0","0"
"26056","0","0","0"
"26076","0","0","0"
"26077","0","0","0"
"26109","0","0","0"
"26148","0","0","0"
"26150","0","0","0"
"26158","0","0","0"
"26159","0","0","0"
"26174","0","0","0"
"26243","0","0","0"
"26271","0","0","0"
"26340","0","0","0"
"26355","0","0","0"
"26371","0","0","0"
"26381","0","0","0"
"26401","0","0","0"
"26404","0","0","0"
"26409","0","0","0"
"26418","0","0","0"
"26440","0","0","0"
"26442","0","0","0"
"26456","0","0","0"
"26488","0","0","0"
"26507","0","0","0"
"26521","0","0","0"
"26530","0","0","0"
"26539","0","0","0"
"26554","0","0","0"
"26558","0","0","0"
"26637","1","1","1"
"26662","0","0","0"
"26712","0","0","0"
"26744","-1","-1","-1"
"26792","0","0","0"
"26799","0","0","0"
"26809","0","0","0"
"26825","0","0","0"
"26847","0","0","0"
"26876","0","0","0"
"26895","0","0","0"
"26908","-1","-1","-1"
"26916","0","0","0"
"26954","0","0","0"
"27036","0","0","0"
"27071","0","0","0"
"27082","0","0","0"
"27090","0","0","0"
"27155","0","0","0"
"27157","0","0","0"
"27190","0","0","0"
"27234","0","0","0"
"27272","0","0","0"
"27276","0","0","0"
"27307","0","0","0"
"27308","0","0","0"
"27348","0","0","0"
"27356","0","0","0"
"27382","0","0","0"
"27405","0","0","0"
"27423","0","0","0"
"27442","0","0","0"
"27443","0","0","0"
"27483","0","0","0"
"27490","0","0","0"
"27503","0","0","0"
"27544","0","0","0"
"27566","0","0","0"
"27597","0","0","0"
"27609","0","0","0"
"27636","0","0","0"
"27642","0","0","0"
"27657","0","0","0"
"27672","0","0","0"
"27688","0","0","0"
"27691","0","0","0"
"27708","0","0","0"
"27709","0","0","0"
"27739","0","0","0"
"27756","0","0","0"
"27781","0","0","0"
"27813","1","1","1"
"27823","0","0","0"
"27839","0","0","0"
"27867","0","0","0"
"27883","0","0","0"
"27957","0","0","0"
"27981","0","0","0"
"27991","1","1","1"
"27999","0","0","0"
"28027","0","0","0"
"28076","0","0","0"
"28077","0","0","0"
"28088","0","0","0"
"28109","0","0","0"
"28126","0","0","0"
"28212","1","1","1"
"28239","0","0","0"
"28242","0","0","0"
"28277","0","0","0"
"28290","0","0","0"
"28299","0","0","0"
"28358","0","0","0"
"28371","0","0","0"
"28389","0","0","0"
"28394","0","0","0"
"28407","0","0","0"
"28457","0","0","0"
"28477","0","0","0"
"28479","0","0","0"
"28508","0","0","0"
"28521","0","0","0"
"28526","0","0","0"
"28539","0","0","0"
"28558","0","0","0"
"28623","0","0","0"
"28664","0","0","0"
"28708","0","0","0"
"28712","0","0","0"
"28728","0","0","0"
"28740","0","0","0"
"28764","0","0","0"
"28807","0","0","0"
"28879","0","0","0"
"28954","0","0","0"
"28995","0","0","0"
"29030","0","0","0"
"29043","0","0","0"
"29071","0","0","0"
"29077","0","0","0"
"29082","0","0","0"
"29119","1","1","1"
"29144","0","0","0"
"29157","0","0","0"
"29171","0","0","0"
"29174","0","0","0"
"29177","-1","-1","-1"
"29190","0","0","0"
"29191","0","0","0"
"29194","0","0","0"
"29197","0","0","0"
"29199","0","0","0"
"29201","0","0","0"
"29218","0","0","0"
"29236","0","0","0"
"29279","0","0","0"
"29309","0","0","0"
"29355","0","0","0"
"29382","0","0","0"
"29423","0","0","0"
"29429","0","0","0"
"29443","0","0","0"
"29490","0","0","0"
"29497","0","0","0"
"29503","0","0","0"
"29519","0","0","0"
"29577","0","0","0"
"29594","0","0","0"
"29677","0","0","0"
"29684","0","0","0"
"29691","0","0","0"
"29698","0","0","0"
"29726","0","0","0"
"29730","0","0","0"
"29739","0","0","0"
"29743","0","0","0"
"29755","0","0","0"
"29797","0","0","0"
"29824","-1","-1","-1"
"29829","0","0","0"
"29845","0","0","0"
"29852","1","1","1"
"29855","0","0","0"
"29862","0","0","0"
"29887","0","0","0"
"29890","0","0","0"
"29908","0","0","0"
"29928","0","0","0"
"29977","0","0","0"
"29978","1","1","1"
"30009","0","0","0"
"30018","0","0","0"
"30027","0","0","0"
"30036","0","0","0"
"30042","0","0","0"
"30057","0","0","0"
"30109","0","0","0"
"30121","0","0","0"
"30143","0","0","0"
"30223","0","0","0"
"30243","0","0","0"
"30252","0","0","0"
"30262","0","0","0"
"30277","0","0","0"
"30286","-1","-1","-1"
"30306","0","0","0"
"30308","0","0","0"
"30397","0","0","0"
"30401","0","0","0"
"30456","0","0","0"
"30457","0","0","0"
"30477","0","0","0"
"30508","0","0","0"
"30543","0","0","0"
"30555","0","0","0"
"30585","0","0","0"
"30623","0","0","0"
"30624","0","0","0"
"30636","1","1","1"
"30642","0","0","0"
"30655","0","0","0"
"30662","0","0","0"
"30664","0","0","0"
"30749","0","0","0"
"30766","0","0","0"
"30791","0","0","0"
"30801","0","0","0"
"30818","0","0","0"
"30857","0","0","0"
"30876","0","0","0"
"30891","0","0","0"
"30909","0","0","0"
"31012","0","0","0"
"31042","0","0","0"
"31043","0","0","0"
"31090","0","0","0"
"31099","0","0","0"
"31119","0","0","0"
"31143","-1","-1","-1"
"31164","0","0","0"
"31194","0","0","0"
"31199","0","0","0"
"31254","0","0","0"
"31277","0","0","0"
"31291","0","0","0"
"31294","0","0","0"
"31330","0","0","0"
"31355","0","0","0"
"31385","0","0","0"
"31394","0","0","0"
"31395","0","0","0"
"31412","0","0","0"
"31417","-1","-1","-1"
"31418","0","0","0"
"31423","0","0","0"
"31440","0","0","0"
"31452","0","0","0"
"31464","0","0","0"
"31482","0","0","0"
"31487","0","0","0"
"31508","0","0","0"
"31519","0","0","0"
"31564","0","0","0"
"31578","0","0","0"
"31589","0","0","0"
"31594","0","0","0"
"31656","1","1","1"
"31678","0","0","0"
"31691","0","0","0"
"31697","0","0","0"
"31739","0","0","0"
"31743","0","0","0"
"31788","-1","-1","-1"
"31812","0","0","0"
"31817","0","0","0"
"31823","0","0","0"
"31842","0","0","0"
"31843","0","0","0"
"31864","0","0","0"
"31867","0","0","0"
"31903","1","1","1"
"31904","0","0","0"
"31966","0","0","0"
"32054","0","0","0"
"32077","0","0","0"
"32081","0","0","0"
"32082","0","0","0"
"32212","0","0","0"
"32261","0","0","0"
"32267","0","0","0"
"32296","0","0","0"
"32304","0","0","0"
"32306","0","0","0"
"32308","0","0","0"
"32318","0","0","0"
"32325","0","0","0"
"32343","0","0","0"
"32364","0","0","0"
"32375","1","1","1"
"32381","0","0","0"
"32394","0","0","0"
"32427","0","0","0"
"32433","0","0","0"
"32478","0","0","0"
"32483","0","0","0"
"32497","0","0","0"
"32539","0","0","0"
"32585","0","0","0"
"32605","0","0","0"
"32617","0","0","0"
"32639","0","0","0"
"32655","0","0","0"
"32664","0","0","0"
"32687","0","0","0"
"32743","0","0","0"
"32755","0","0","0"
"32764","0","0","0"
"32787","0","0","0"
"32789","0","0","0"
"32827","0","0","0"
"32841","0","0","0"
"32842","0","0","0"
"32854","0","0","0"
"32930","0","0","0"
"32939","0","0","0"
"32955","0","0","0"
"32994","-1","-1","-1"
"32995","0","0","0"
"33005","0","0","0"
"33012","0","0","0"
"33018","0","0","0"
"33040","0","0","0"
"33067","0","0","0"
"33082","0","0","0"
"33099","0","0","0"
"33104","0","0","0"
"33137","0","0","0"
"33157","0","0","0"
"33164","0","0","0"
