"Step","env: HALFCHEETAH - ep_info/Final_position","env: HALFCHEETAH - ep_info/Final_position__MIN","env: HALFCHEETAH - ep_info/Final_position__MAX"
"39999","98.16334793392156","86.4810563108971","103.9743641046016"
"40999","103.20541962529157","94.77757023949229","108.50245852810646"
"41999","106.6642381667621","97.91846859266059","110.14325541520115"
"42999","109.41174372154546","100.97995819945754","112.42509362760445"
"43999","113.8693196714054","106.40429072852578","117.48215498418536"
"44999","115.87550629031432","109.54028472486013","120.77561312509941"
"45999","119.59081238629156","114.42502509621353","123.68843608323142"
"46999","122.47959736462865","119.13934242361886","125.10715688225102"
"47999","124.81338068543887","122.65875592941137","127.37050144914807"
"48999","126.6755953049304","123.07075528288271","130.32339886301756"
"49999","128.08665202505702","123.61748833452467","135.40284289916"
"50999","131.46435054026364","129.05131099939695","134.83231304595142"
"51999","131.4311730077772","128.31537347862204","134.3739865828408"
"52999","133.17856036024176","130.30175867869934","136.9236680520711"
"53999","134.9337742947361","129.10895089213747","140.2802922997088"
"54999","136.06323580179622","130.80632067380145","141.86020595940428"
"55999","137.21956249650376","134.18160295761265","140.32358200910815"
"56999","136.8050728448678","132.15929590634875","142.11718449344522"
"57999","138.64731031638877","130.25733532611963","143.42657559872112"
"58999","140.62547239846975","133.25699940595484","145.1335208342123"
"59999","142.1324228326836","135.37011884674314","146.42094658739535"
"60999","141.3088290535762","136.2761391218553","146.31904285492527"
"61999","142.25173186807916","134.86229593161977","146.6295296722654"
"62999","142.76333103150523","132.62544369072208","148.05328377176534"
"63999","142.78748893331232","134.6009410253174","148.38739997043933"
"64999","144.24603276095132","136.2832936524751","152.02444368062544"
"65999","144.6694382095914","138.77554291660485","149.76853048713602"
"66999","147.43700761465638","141.0043698895218","153.61122509397106"
"67999","147.61324880577536","137.29295109870682","154.04129232697872"
"68999","150.11002135549387","143.14979579331595","154.35258839492766"
"69999","152.91994035830965","144.54273334149096","158.43149291142367"
"70999","154.35465077189085","146.28895500801485","162.7348493351006"
"71999","155.00319494215654","147.01341434321185","160.9103587142903"
"72999","156.56346895504558","145.1746762494826","162.11034755485286"
"73999","158.8683729539915","148.67847597333324","166.5226124509445"
"74999","162.09272645343472","147.8106134741354","171.57519232616326"
"75999","164.3962656189195","150.1981701305354","173.6821618931777"
"76999","166.93576581297916","151.76671538928042","177.0492202244103"
"77999","167.43485470353278","154.21763339096532","179.35436862176238"
"78999","171.58351311553582","159.78688836328797","178.95030117295903"
"79999","173.61479355237844","159.9641234322768","183.18833531966806"
"80999","175.74123600598176","159.53207833373204","185.5824350964586"
"81999","174.7966781793916","158.89013646219337","184.48341383665277"
"82999","176.29969701221088","161.6664822748047","183.5315481213184"
"83999","176.71926727471663","163.88760364921006","182.34423454870446"
"84999","177.99327495587838","163.16126473275781","184.0206763934463"
"85999","178.20201737207046","163.73528705909567","184.50435061967556"
"86999","179.33275331570584","166.9264865322764","184.13387394902765"
"87999","181.1733758307342","169.92239484833232","188.96728693154844"
"88999","182.60932855751935","168.63376760250821","192.04642578202888"
"89999","184.2501289531342","171.19466680174742","194.2197524701722"
"90999","186.45664242361735","171.62520036834925","199.85062957864525"
