"Step","env: HALFCHEETAH - lambdas/component_0","env: HALFCHEETAH - lambdas/component_0__MIN","env: HALFCHEETAH - lambdas/component_0__MAX"
"33700","0.9999388337135315","0.9999383091926575","0.9999397397041321"
"33800","0.9999388217926025","0.9999382495880127","0.9999397397041321"
"33900","0.9999388098716736","0.9999382495880127","0.9999397397041321"
"34000","0.9999387979507446","0.9999382495880127","0.9999397397041321"
"34100","0.9999387979507446","0.9999382495880127","0.9999397397041321"
"34200","0.9999387860298157","0.9999382495880127","0.9999396800994873"
"34300","0.9999387860298157","0.9999382495880127","0.9999396800994873"
"34400","0.9999387860298157","0.9999382495880127","0.9999396800994873"
"34500","0.9999387741088868","0.9999382495880127","0.9999396800994873"
"34600","0.9999387741088868","0.9999382495880127","0.9999396800994873"
"34700","0.9999387383460998","0.9999381899833679","0.9999396800994873"
"34800","0.9999387383460998","0.9999381899833679","0.9999396800994873"
"34900","0.9999387264251709","0.9999381899833679","0.9999396204948425"
"35000","0.9999387264251709","0.9999381899833679","0.9999396204948425"
"35100","0.999938714504242","0.9999381899833679","0.9999396204948425"
"35200","0.999938702583313","0.9999381899833679","0.9999396204948425"
"35300","0.999938678741455","0.9999381303787231","0.9999396204948425"
"35400","0.9999386668205261","0.9999381303787231","0.9999396204948425"
"35500","0.9999386548995972","0.9999381303787231","0.9999395608901978"
"35600","0.9999386429786682","0.9999381303787231","0.9999395608901978"
"35700","0.9999386310577393","0.9999380707740784","0.9999395608901978"
"35800","0.9999386072158813","0.9999380707740784","0.9999395608901978"
"35900","0.9999386072158813","0.9999380707740784","0.9999395608901978"
"36000","0.9999385952949524","0.9999380707740784","0.9999395608901978"
"36100","0.9999385595321655","0.9999380111694336","0.999939501285553"
"36200","0.9999385476112366","0.9999380111694336","0.999939501285553"
"36300","0.9999385356903077","0.9999380111694336","0.999939501285553"
"36400","0.9999385118484497","0.9999379515647888","0.999939501285553"
"36500","0.9999384999275207","0.9999379515647888","0.9999394416809082"
"36600","0.9999384760856629","0.9999379515647888","0.9999394416809082"
"36700","0.999938452243805","0.999937891960144","0.9999394416809082"
"36800","0.9999384403228759","0.999937891960144","0.9999393820762634"
"36900","0.9999384045600891","0.999937891960144","0.9999393820762634"
